Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Retire,NextPercentile
Brian Kozlowski,0.03125,0.0799031476997578,0.2799043062200957,0.4695863746958637,0.6322115384615384,0.621867881548975,0.6425233644859814,0.7236533957845434,0.7152317880794702,0.6900826446280992,0.5885947046843177,0.5685071574642127,0.3961456102783726,0.3049792531120332,1,
Joey Galloway,0.612590799031477,0.8564593301435407,0.97323600973236,0.9831730769230768,0.9703872437357632,0.8925233644859814,0.8266978922716628,0.891832229580574,0.9380165289256198,0.9266802443991852,0.9570552147239264,0.9785867237687366,0.9937759336099584,0.936082474226804,0,0.8161157024793388
Jason Witten,0.390495867768595,0.7169042769857433,0.901840490797546,0.9229122055674518,0.9564315352697096,0.9608247422680412,0.9772727272727272,0.9854771784232366,0.9722222222222222,0.9694072657743786,0.9545454545454546,0.954183266932271,0.9294117647058824,0.9024856596558316,0,0.8543689320388349
Greg Olsen,0.3485477178423236,0.6783505154639176,0.8739669421487604,0.8402489626556017,0.8333333333333334,0.869980879541109,0.924901185770751,0.950199203187251,0.9588235294117649,0.9732313575525812,0.9359223300970874,0.8857677902621723,0.8379373848987108,0.8306306306306306,1,
Andre Johnson,0.6921487603305785,0.8940936863543788,0.9693251533742332,0.9635974304068522,0.95850622406639,0.9917525773195875,1.0,1.0,0.988095238095238,0.9904397705544932,0.984189723320158,0.9900398406374502,0.9450980392156862,0.8107074569789675,1,
Irving Fryar,0.216624685138539,0.696,0.8762376237623762,0.961730449251248,0.9306666666666666,0.9196891191709844,0.921832884097035,0.937984496124031,0.967828418230563,0.981132075471698,0.9869791666666666,0.9854721549636803,0.9904306220095692,0.9878345498783456,0,0.9783653846153846
Derrick Mason,0.1143552311435523,0.5600961538461539,0.7107061503416856,0.8411214953271028,0.9203747072599532,0.9735099337748344,0.987603305785124,0.9857433808553973,0.985685071574642,0.9464668094218416,0.946058091286307,0.9422680412371134,0.9731404958677686,0.975103734439834,0,0.9246031746031746
Ricky Proehl,0.5579514824797843,0.8578811369509044,0.8873994638069705,0.9029649595687332,0.8671875,0.8523002421307506,0.7583732057416268,0.7834549878345499,0.8798076923076923,0.876993166287016,0.8808411214953271,0.8618266978922716,0.8940397350993378,0.8884297520661157,0,0.8594704684317719
Brian Mitchell 2,0.0161725067385444,0.0232558139534883,0.099195710455764,0.2991913746630728,0.4869791666666667,0.6198547215496368,0.6578947368421053,0.754257907542579,0.7740384615384616,0.7425968109339408,0.6495327102803738,0.667447306791569,0.5033112582781457,0.4090909090909091,1,
Vernon Davis,0.2591006423982869,0.6265560165975104,0.7546391752577319,0.9028925619834712,0.9481327800829876,0.9662698412698412,0.9292543021032504,0.9130434782608696,0.8844621513944223,0.8450980392156863,0.8260038240917782,0.8388349514563107,0.8651685393258427,0.8213627992633518,1,
Darren Sproles,0.0797546012269938,0.0770877944325481,0.2302904564315352,0.5175257731958763,0.8099173553719008,0.8941908713692946,0.9444444444444444,0.9426386233269598,0.9387351778656128,0.9123505976095616,0.8372549019607843,0.8527724665391969,0.7398058252427184,0.7322097378277154,0,0.5101289134438306
Santana Moss,0.3395784543325527,0.695364238410596,0.9049586776859504,0.9531568228105908,0.9877300613496932,0.9850107066381156,0.9688796680497924,0.9463917525773196,0.9421487603305784,0.95850622406639,0.9345238095238096,0.9235181644359464,0.8715415019762845,0.7729083665338645,1,
Donald Driver,0.1731207289293849,0.5747663551401869,0.7330210772833724,0.9050772626931568,0.9173553719008264,0.9714867617107944,0.9795501022494888,0.9957173447537472,0.9896265560165975,0.9896907216494846,0.975206611570248,0.9564315352697096,0.9087301587301588,0.8087954110898662,1,
Tony Richardson,0.2296650717703349,0.4233576642335766,0.4735576923076923,0.4373576309794988,0.4252336448598131,0.629976580796253,0.6467991169977925,0.6177685950413223,0.5336048879837068,0.4969325153374233,0.556745182012848,0.5954356846473029,0.4432989690721649,0.262396694214876,0,0.2240663900414937
