Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Retire,NextPercentile
Jim Harbaugh,0.3984375,0.3411764705882353,0.7317073170731707,0.759493670886076,0.8552631578947368,0.8875,0.8607594936708861,0.8271604938271605,0.8863636363636364,0.9333333333333332,0.8888888888888888,0.8089887640449438,0.7303370786516854,0.6666666666666666,1,
Ken Anderson 2,0.3333333333333333,0.7435897435897436,0.9487179487179488,1.0,1.0,1.0,0.984126984126984,0.8769230769230769,0.8153846153846154,0.782608695652174,0.9859154929577464,0.9859154929577464,0.9876543209876544,0.9642857142857144,0,0.8048780487804879
Mike Vick,0.2317073170731707,0.5662650602409639,0.8313253012048193,0.8235294117647058,0.7931034482758621,0.8202247191011236,0.5531914893617021,0.2777777777777778,0.253012048192771,0.7209302325581395,0.8875,0.8108108108108109,0.7,0.6081081081081081,0,0.589041095890411
Joe Montana,0.1076923076923077,0.5362318840579711,0.9154929577464788,0.971830985915493,1.0,1.0,1.0,0.9882352941176472,0.984375,0.9647058823529412,1.0,0.9746835443037974,0.7763157894736842,0.625,0,0.569620253164557
Jeff Blake,0.075,0.0632911392405063,0.3209876543209876,0.7045454545454546,0.9222222222222224,0.9111111111111112,0.8764044943820225,0.7865168539325843,0.7888888888888889,0.5121951219512195,0.4578313253012048,0.3975903614457831,0.5294117647058824,0.6206896551724138,1,
Bubby Brister,0.2117647058823529,0.3359375,0.5176470588235295,0.5121951219512195,0.7215189873417721,0.6842105263157895,0.65,0.6962025316455697,0.7037037037037037,0.6704545454545454,0.3,0.2777777777777778,0.4831460674157303,0.6292134831460674,0,0.6444444444444445
Vince Evans,0.0158730158730158,0.1846153846153846,0.4153846153846154,0.6811594202898551,0.7183098591549296,0.380281690140845,0.4567901234567901,0.2619047619047619,0.2317073170731707,0.0705882352941176,0.515625,0.2352941176470588,0.6951219512195121,0.7848101265822784,0,0.9342105263157896
Alex Smith,0.0459770114942528,0.3258426966292135,0.4787234042553192,0.4444444444444444,0.5060240963855421,0.6162790697674418,0.85,0.7972972972972973,0.8285714285714286,0.8243243243243243,0.8904109589041096,0.875,0.9726027397260274,0.8970588235294118,0,0.704225352112676
Chris Chandler,0.1529411764705882,0.4878048780487805,0.6962025316455697,0.5131578947368421,0.575,0.4810126582278481,0.7407407407407407,0.7386363636363636,0.7888888888888889,0.7333333333333333,0.898876404494382,0.9101123595505618,0.8111111111111111,0.5975609756097561,0,0.5301204819277109
Rodney Peete,0.1341463414634146,0.5189873417721519,0.6973684210526315,0.7125,0.5316455696202531,0.5432098765432098,0.5227272727272727,0.6333333333333333,0.5888888888888889,0.6404494382022472,0.5393258426966292,0.3888888888888889,0.0853658536585365,0.216867469879518,0,0.2048192771084337
Charlie Batch,0.3146067415730337,0.6741573033707865,0.8444444444444444,0.8048780487804879,0.4457831325301205,0.4457831325301205,0.2470588235294117,0.4712643678160919,0.5393258426966292,0.7872340425531915,0.4777777777777778,0.3373493975903614,0.3720930232558139,0.6,0,0.5540540540540541
Tom Brady,0.1111111111111111,0.3780487804878049,0.5421686746987951,0.8433734939759037,0.8470588235294118,0.9770114942528736,0.9775280898876404,1.0,0.9777777777777776,0.9879518072289156,0.9534883720930232,0.9875,0.9864864864864864,0.9714285714285714,0,0.945945945945946
John Reaves,0.1538461538461538,0.2307692307692307,0.3461538461538461,0.3846153846153846,0.4655172413793103,0.5396825396825397,0.5076923076923077,0.3230769230769231,0.2463768115942029,0.1408450704225352,0.1830985915492957,0.1728395061728395,0.0357142857142857,0.0609756097560975,0,0.0705882352941176
Jim Plunkett,0.5666666666666667,0.4871794871794871,0.7692307692307693,0.8846153846153846,0.903846153846154,0.8275862068965517,0.746031746031746,0.5384615384615384,0.4,0.4057971014492754,0.5211267605633803,0.647887323943662,0.7777777777777778,0.8452380952380952,0,0.7317073170731707
