player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating,,
Johnny Unitas,263,136,51.7,2007,7.6,19,7.2,7,2.7,77,N/A,N/A,90.0,,
Milt Plum,189,102,54.0,1619,8.6,11,5.8,11,5.8,74,N/A,N/A,77.9,,
Bobby Layne,294,145,49.3,2510,8.5,14,4.8,12,4.1,78,N/A,N/A,77.6,,
M.C. Reynolds,195,105,53.9,1422,7.3,11,5.6,11,5.6,91,N/A,N/A,72.6,,
Billy Wade,341,181,53.1,2875,8.4,18,5.3,22,6.5,93,N/A,N/A,72.2,,
Tobin Rote,257,118,45.9,1678,6.5,14,5.5,10,3.9,65,N/A,N/A,69.5,,
Charlie Conerly,184,88,47.8,1199,6.5,10,5.4,9,4.9,44,N/A,N/A,66.8,,
Norm Van Brocklin,374,198,52.9,2409,6.4,15,4.0,20,5.3,91,N/A,N/A,64.1,,
Y.A. Tittle,208,120,57.7,1467,7.0,9,4.3,15,7.2,64,N/A,N/A,63.9,,
John Brodie,172,103,59.9,1224,7.1,6,3.5,13,7.6,61,N/A,N/A,61.8,,
Lamar McHan,198,91,46.0,1291,6.5,12,6.1,13,6.6,71,N/A,N/A,60.4,,
Ed Brown,218,102,46.8,1418,6.5,10,4.6,17,7.8,79,N/A,N/A,51.0,,
