player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating
Earl Morrall,317,182,57.4,2909,9.2,26,8.2,17,5.4,84,24,180,93.2
Don Meredith,309,171,55.3,2500,8.1,21,6.8,12,3.9,65,30,230,88.4
Bill Nelsen,293,152,51.9,2366,8.1,19,6.5,10,3.4,87,11,102,86.4
Fran Tarkenton,337,182,54.0,2555,7.6,21,6.2,12,3.6,84,27,255,84.6
Bill Munson,329,181,55.0,2311,7.0,15,4.6,8,2.4,86,39,279,82.3
Sonny Jurgensen,292,167,57.2,1980,6.8,17,5.8,11,3.8,99,21,183,81.7
John Brodie,404,234,57.9,3020,7.5,22,5.5,21,5.2,65,25,159,78.0
Roman Gabriel,366,184,50.3,2364,6.5,19,5.2,16,4.4,60,27,226,70.0
Billy Kilmer,315,167,53.0,2060,6.5,15,4.8,17,5.4,51,26,170,66.9
Dick Shiner,304,148,48.7,1856,6.1,18,5.9,17,5.6,61,33,240,64.5
Joe Kapp,248,129,52.0,1695,6.8,10,4.0,17,6.8,61,31,278,58.8
Jim Hart,316,140,44.3,2059,6.5,15,4.8,18,5.7,80,15,129,58.2
Norm Snead,291,152,52.2,1655,5.7,11,3.8,21,7.2,55,20,154,51.8
