player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating,,
Adrian Burk,231,123,53.2,1740,7.5,23,10.0,17,7.4,84,N/A,N/A,80.4,,
Y.A. Tittle,295,170,57.6,2205,7.5,9,3.0,9,3.0,70,N/A,N/A,78.7,,
Bobby Layne,246,135,54.9,1818,7.4,14,5.7,12,4.9,55,N/A,N/A,77.3,,
Charlie Conerly,210,103,49.0,1439,6.8,17,8.1,11,5.2,68,N/A,N/A,76.7,,
Otto Graham,240,142,59.2,2092,8.7,11,4.6,17,7.1,64,N/A,N/A,73.5,,
Norm Van Brocklin,260,139,53.5,2637,10.1,13,5.0,21,8.1,80,N/A,N/A,71.9,,
Gary Kerkorian,217,117,53.9,1515,7.0,9,4.2,12,5.5,78,N/A,N/A,66.9,,
Jim Finks,306,164,53.6,2003,6.5,14,4.6,19,6.2,78,N/A,N/A,63.4,,
George Blanda,281,131,46.6,1929,6.9,15,5.3,17,6.0,76,N/A,N/A,62.1,,
Bobby Thomason,170,83,48.8,1242,7.3,10,5.9,13,7.7,63,N/A,N/A,61.0,,
Tobin Rote,382,180,47.1,2311,6.0,14,3.7,18,4.7,82,N/A,N/A,59.1,,
Lamar McHan,255,105,41.2,1475,5.8,6,2.4,22,8.6,70,N/A,N/A,32.4,,
