player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating,,
Milt Plum,250,151,60.4,2297,9.2,21,8.4,5,2.0,86,N/A,N/A,110.4,,
Norm Van Brocklin,284,153,53.9,2471,8.7,24,8.4,17,6.0,64,N/A,N/A,86.5,,
Billy Wade,182,106,58.2,1294,7.1,12,6.6,11,6.0,63,N/A,N/A,77.0,,
Johnny Unitas,378,190,50.3,3099,8.2,25,6.6,24,6.3,80,N/A,N/A,73.7,,
Bart Starr,172,98,57.0,1358,7.9,4,2.3,8,4.7,91,N/A,N/A,70.8,,
Bobby Layne,209,103,49.3,1814,8.7,13,6.2,17,8.1,70,N/A,N/A,66.2,,
John Roach,188,87,46.3,1423,7.6,17,9.0,19,10.1,57,N/A,N/A,62.7,,
John Brodie,207,103,49.8,1111,5.4,6,2.9,9,4.3,65,N/A,N/A,57.5,,
Ralph Guglielmi,223,125,56.0,1547,6.9,9,4.0,19,8.5,50,N/A,N/A,55.7,,
Eddie LeBaron,225,111,49.3,1736,7.7,12,5.3,25,11.1,76,N/A,N/A,53.5,,
Jim Ninowski,283,134,47.4,1599,5.7,2,0.7,18,6.4,55,N/A,N/A,40.9,,
Zeke Bratkowski,175,87,49.7,1051,6.0,6,3.4,21,12.0,59,N/A,N/A,40.4,,
