player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating
Fran Tarkenton,409,220,53.8,2918,7.1,23,5.6,8,2.0,65,36,289,87.2
Roman Gabriel,399,217,54.4,2549,6.4,24,6.0,7,1.8,93,14,112,86.8
Craig Morton,302,162,53.6,2619,8.7,21,7.0,15,5.0,67,30,246,85.4
Sonny Jurgensen,442,274,62.0,3102,7.0,22,5.0,15,3.4,88,40,322,85.4
Bill Nelsen,352,190,54.0,2743,7.8,23,6.5,19,5.4,82,17,164,78.8
Joe Kapp,237,120,50.6,1726,7.3,19,8.0,13,5.5,83,28,198,78.5
John Brodie,347,194,55.9,2405,6.9,16,4.6,15,4.3,80,16,134,74.9
Billy Kilmer,360,193,53.6,2532,7.0,20,5.6,17,4.7,52,22,212,74.9
Charley Johnson,260,131,50.4,1847,7.1,13,5.0,13,5.0,84,11,101,69.5
Norm Snead,379,190,50.1,2768,7.3,19,5.0,23,6.1,80,21,170,65.7
Johnny Unitas,327,178,54.4,2342,7.2,12,3.7,20,6.1,52,12,93,64.0
Dick Shiner,209,97,46.4,1422,6.8,7,3.4,10,4.8,63,24,157,60.3
