player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating
Bart Starr,251,156,62.1,2257,9.0,14,5.6,3,1.2,83,N/A,N/A,105.0
Frank Ryan,382,200,52.4,2974,7.8,29,7.6,14,3.7,54,N/A,N/A,88.2
Don Meredith,344,177,51.5,2805,8.2,24,7.0,12,3.5,95,N/A,N/A,87.7
Sonny Jurgensen,436,254,58.3,3209,7.4,28,6.4,19,4.4,86,N/A,N/A,84.5
Johnny Unitas,348,195,56.0,2748,7.9,22,6.3,24,6.9,89,N/A,N/A,74.0
Fran Tarkenton,358,192,53.6,2561,7.2,17,4.8,16,4.5,68,N/A,N/A,73.8
Roman Gabriel,397,217,54.7,2540,6.4,10,2.5,16,4.0,84,N/A,N/A,65.9
John Brodie,427,232,54.3,2810,6.6,16,3.8,22,5.2,65,N/A,N/A,65.8
Charley Johnson,205,103,50.2,1334,6.5,10,4.9,11,5.4,69,N/A,N/A,65.0
Norm Snead,226,103,45.6,1275,5.6,8,3.5,11,4.9,48,N/A,N/A,55.1
Karl Sweetan,309,157,50.8,1809,5.8,4,1.3,14,4.5,99,N/A,N/A,54.3
Rudy Bukich,309,147,47.6,1858,6.0,10,3.2,21,6.8,80,N/A,N/A,49.3
Randy Johnson,295,129,43.7,1795,6.1,12,4.1,21,7.1,53,N/A,N/A,47.8
