player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating,,
Y.A. Tittle,367,221,60.2,3145,8.6,36,9.8,14,3.8,70,N/A,N/A,104.8,,
Frank Ryan,256,135,52.7,2026,7.9,25,9.8,13,5.1,83,N/A,N/A,90.4,,
Johnny Unitas,410,237,57.8,3481,8.5,20,4.9,12,2.9,64,N/A,N/A,89.7,,
Earl Morrall,328,174,53.0,2621,8.0,24,7.3,14,4.3,75,N/A,N/A,86.2,,
Bart Starr,244,132,54.1,1855,7.6,15,6.2,10,4.1,53,N/A,N/A,82.3,,
Charley Johnson,423,222,52.5,3280,7.8,28,6.6,21,5.0,78,N/A,N/A,79.5,,
Fran Tarkenton,297,170,57.2,2311,7.8,15,5.0,15,5.0,67,N/A,N/A,78.0,,
Billy Wade,356,192,53.9,2301,6.5,15,4.2,12,3.4,63,N/A,N/A,74.0,,
Don Meredith,310,167,53.9,2381,7.7,17,5.5,18,5.8,55,N/A,N/A,73.1,,
Ed Brown,362,168,46.4,2982,8.2,21,5.8,20,5.5,85,N/A,N/A,71.4,,
Roman Gabriel,281,130,46.3,1947,6.9,8,2.9,11,3.9,77,N/A,N/A,62.7,,
Norm Snead,363,175,48.2,3043,8.4,13,3.6,27,7.4,77,N/A,N/A,58.1,,
Lamar McHan,196,83,42.4,1243,6.3,8,4.1,11,5.6,68,N/A,N/A,54.0,,
