player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating,,
Johnny Unitas,282,164,58.2,2530,9.0,23,8.2,12,4.3,61,N/A,N/A,97.4,,
John Brodie,391,242,61.9,3112,8.0,30,7.7,16,4.1,59,N/A,N/A,95.3,,
Rudy Bukich,312,176,56.4,2641,8.5,20,6.4,9,2.9,80,N/A,N/A,93.7,,
Bart Starr,251,140,55.8,2055,8.2,16,6.4,9,3.6,77,N/A,N/A,89.0,,
Earl Morrall,302,155,51.3,2446,8.1,22,7.3,12,4.0,89,N/A,N/A,86.3,,
Fran Tarkenton,329,171,52.0,2609,7.9,19,5.8,11,3.3,72,N/A,N/A,83.8,,
Don Meredith,305,141,46.2,2415,7.9,22,7.2,13,4.3,65,N/A,N/A,79.9,,
Norm Snead,288,150,52.1,2346,8.2,15,5.2,13,4.5,78,N/A,N/A,78.0,,
Frank Ryan,243,119,49.0,1751,7.2,18,7.4,13,5.3,80,N/A,N/A,75.3,,
Charley Johnson,322,155,48.1,2439,7.6,18,5.6,15,4.7,78,N/A,N/A,73.0,,
Sonny Jurgensen,356,190,53.4,2367,6.7,15,4.2,16,4.5,55,N/A,N/A,69.6,,
Bill Munson,267,144,53.9,1701,6.4,10,3.8,14,5.2,47,N/A,N/A,64.2,,
Bill Nelsen,270,121,44.8,1917,7.1,8,3.0,17,6.3,87,N/A,N/A,52.7,,
Milt Plum,308,143,46.4,1710,5.5,12,3.9,19,6.2,55,N/A,N/A,51.2,,
