player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating,,
Billy Wade,250,139,55.6,2258,9.0,22,8.8,13,5.2,98,N/A,N/A,93.7,,
Milt Plum,302,177,58.6,2416,8.0,18,6.0,10,3.3,77,N/A,N/A,90.3,,
Sonny Jurgensen,416,235,56.5,3723,8.9,32,7.7,24,5.8,69,N/A,N/A,88.1,,
Y.A. Tittle,285,163,57.2,2272,8.0,17,6.0,12,4.2,62,N/A,N/A,85.3,,
John Brodie,283,155,54.8,2588,9.1,14,5.0,12,4.2,70,N/A,N/A,84.7,,
Bart Starr,295,172,58.3,2418,8.2,16,5.4,16,5.4,78,N/A,N/A,80.3,,
Fran Tarkenton,280,157,56.1,1997,7.1,18,6.4,17,6.1,71,N/A,N/A,74.7,,
Sam Etcheverry,196,96,49.0,1275,6.5,14,7.1,11,5.6,78,N/A,N/A,70.4,,
Eddie LeBaron,236,120,50.9,1741,7.4,14,5.9,16,6.8,80,N/A,N/A,66.7,,
Johnny Unitas,420,229,54.5,2990,7.1,16,3.8,24,5.7,72,N/A,N/A,66.1,,
Zeke Bratkowski,230,124,53.9,1547,6.7,8,3.5,13,5.7,84,N/A,N/A,63.1,,
Jim Ninowski,247,117,47.4,1921,7.8,7,2.8,18,7.3,84,N/A,N/A,53.0,,
Norm Snead,375,172,45.9,2337,6.2,11,2.9,22,5.9,80,N/A,N/A,51.6,,
