player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating,,
Bart Starr,285,178,62.5,2438,8.6,12,4.2,9,3.2,83,N/A,N/A,90.7,,
Y.A. Tittle,375,200,53.3,3224,8.6,33,8.8,20,5.3,69,N/A,N/A,89.5,,
Don Meredith,212,105,49.5,1679,7.9,15,7.1,8,3.8,69,N/A,N/A,84.2,,
John Brodie,304,175,57.6,2272,7.5,18,5.9,16,5.3,80,N/A,N/A,79.0,,
Johnny Unitas,389,222,57.1,2967,7.6,23,5.9,23,5.9,80,N/A,N/A,76.5,,
Norm Snead,354,184,52.0,2926,8.3,22,6.2,22,6.2,85,N/A,N/A,74.7,,
Sonny Jurgensen,366,196,53.5,3261,8.9,22,6.0,26,7.1,84,N/A,N/A,74.3,,
Billy Wade,412,225,54.6,3172,7.7,18,4.4,24,5.8,73,N/A,N/A,70.0,,
Milt Plum,325,179,55.1,2378,7.3,15,4.6,20,6.2,80,N/A,N/A,68.2,,
Fran Tarkenton,329,163,49.5,2595,7.9,22,6.7,25,7.6,89,N/A,N/A,66.9,,
Charley Johnson,308,150,48.7,2440,7.9,16,5.2,20,6.5,86,N/A,N/A,65.9,,
Zeke Bratkowski,219,110,50.2,1541,7.0,9,4.1,16,7.3,80,N/A,N/A,56.5,,
Bobby Layne,233,116,49.8,1686,7.2,9,3.9,17,7.3,62,N/A,N/A,56.2,,
