player name,attempts,completions,completion %,passing yards,yards per attempt,touchdowns,touchdown %,interceptions,interception %,Long,Sacks,Sack loss yards,QB rating,,
Bart Starr,272,163,59.9,2144,7.9,15,5.5,4,1.5,73,N/A,N/A,97.1,,
Johnny Unitas,305,158,51.8,2824,9.3,19,6.2,6,2.0,74,N/A,N/A,96.4,,
Fran Tarkenton,306,171,55.9,2506,8.2,22,7.2,11,3.6,64,N/A,N/A,91.8,,
Sonny Jurgensen,385,207,53.8,2934,7.6,24,6.2,13,3.4,80,N/A,N/A,85.4,,
Milt Plum,287,154,53.7,2241,7.8,18,6.3,15,5.2,92,N/A,N/A,78.5,,
Frank Ryan,334,174,52.1,2404,7.2,25,7.5,19,5.7,62,N/A,N/A,76.7,,
Norm Snead,283,138,48.8,1906,6.7,14,5.0,12,4.2,87,N/A,N/A,69.6,,
Charley Johnson,420,223,53.1,3045,7.2,21,5.0,24,5.7,78,N/A,N/A,69.4,,
Billy Wade,327,182,55.7,1944,5.9,13,4.0,14,4.3,68,N/A,N/A,68.6,,
John Brodie,392,193,49.2,2498,6.4,14,3.6,16,4.1,83,N/A,N/A,64.6,,
Don Meredith,323,158,48.9,2143,6.6,9,2.8,16,5.0,49,N/A,N/A,59.1,,
Bill Munson,223,108,48.4,1533,6.9,9,4.0,15,6.7,95,N/A,N/A,56.5,,
Ed Brown,272,121,44.5,1990,7.3,12,4.4,19,7.0,54,N/A,N/A,55.2,,
Y.A. Tittle,281,147,52.3,1798,6.4,10,3.6,22,7.8,54,N/A,N/A,51.6,,
