Player Name,Attempts,Yards,Yards Per Attempt,Long,Touchdowns
Eddie Price,271,971,3.58,80,7
Rob Goode,208,951,4.57,33,9
Dan Towler,126,854,6.78,79,6
Bob Hoernschemeyer,132,678,5.14,85,2
Joe Perry,136,677,4.98,58,3
John Dottley,127,670,5.28,38,3
Dick Hoerner,94,569,6.05,43,6
Tobin Rote,76,523,6.88,55,3
Charlie Trippi,78,501,6.42,32,4
Dub Jones,104,492,4.73,43,7
Frank Ziegler,113,418,3.7,34,2
George Gulyanics,105,403,3.84,30,4
Ken Carpenter,85,402,4.73,30,4
Julie Rykovich,83,399,4.81,56,4
Bill Dudley,91,398,4.37,40,2
Verl Lillywhite,67,397,5.93,60,1
Fran Rogel,109,385,3.53,51,3
Zollie Toth,119,384,3.23,16,4
Elmer Angsman,121,380,3.14,28,3
Pat Harder,101,380,3.76,28,6
Chuck Hunsinger,73,369,5.05,39,3
Joe Scott,94,367,3.9,37,1
Doak Walker,79,356,4.51,34,2
Sherman Howard,94,343,3.65,31,4
Lynn Chandnois,108,332,3.07,34,2
George Taliaferro,62,330,5.32,65,3
Chuck Ortmann,59,327,5.54,32,0
Steve Van Buren,112,327,2.92,17,6
Jim Parmer,92,316,3.43,15,2
Pete Schabarum,76,311,4.09,67,2
Johnny Strzykalski,81,296,3.65,13,3
Bobby Layne,61,290,4.75,36,1
Billy Cross,53,283,5.34,39,3
Marion Motley,61,273,4.48,26,1
Emerson Cole,46,252,5.48,23,1
Joe Geri,90,252,2.8,17,3
Ralph Pasquariello,53,251,4.74,28,1
Don Paul,37,247,6.68,68,3
Tank Younger,36,223,6.19,24,1
Glenn Davis,64,200,3.13,23,1
Fred Cone,56,190,3.39,16,1
Joe Arenas,34,183,5.38,14,3
Emil Sitko,52,183,3.52,61,0
Johnny Papit,44,175,3.98,33,0
Johnny Lujack,47,171,3.64,22,7
Bishop Strickland,34,165,4.85,15,0
Buddy Young,46,165,3.59,17,1
Clyde Scott,45,161,3.58,40,1
Leon Heath,64,159,2.48,16,0
Frankie Albert,35,146,4.17,34,3
Vitamin Smith,52,143,2.75,31,1
Harry Gilmer,19,141,7.42,37,0
Tony Canadeo,54,131,2.43,15,1
George Thomas,42,130,3.1,17,0
Rex Bumgardner,45,126,2.8,20,1
Billy Grimes,44,123,2.8,18,1
Billy Stone,30,123,4.1,42,1
Al Pollard,26,121,4.65,28,0
Forrest Griffith,54,115,2.13,27,0
Kyle Rote,21,114,5.43,31,1
Dan Sandifer,35,113,3.23,13,1
Harry Dowda,29,111,3.83,32,0
Bob Celeri,36,107,2.97,17,0
Jerry Williams,21,106,5.05,32,2
Fred Morrison,29,96,3.31,26,0
Lindy Pearson,22,88,4.0,25,0
Wilford White,9,86,9.56,38,1
Chuck Drazenovich,34,76,2.24,7,3
Jim Monachino,21,74,3.52,7,2
Breezy Reid,23,73,3.17,33,0
Charlie Conerly,17,65,3.82,18,1
Don Phelps,16,65,4.06,10,1
Norm Standlee,16,65,4.06,13,0
Jack Cloud,29,61,2.1,19,1
Tommy Kalmanir,16,61,3.81,23,0
Ebert Van Buren,16,60,3.75,11,0
Jerry Nuzum,27,56,2.07,9,1
Brad Rowland,10,50,5.0,20,0
Carl Taseff,13,49,3.77,15,2
Bob Waterfield,9,49,5.44,25,3
Ray Pelfrey,3,44,14.67,24,0
Jim Hardy,12,38,3.17,16,0
John Panelli,13,38,2.92,18,0
Ray Mathews,21,37,1.76,15,0
John Amberg,7,35,5.0,8,0
Bob White,8,33,4.13,9,0
Harry Jagade,7,30,4.29,22,0
Otto Graham,35,29,0.83,12,3
Bosh Pritchard,42,29,0.69,9,0
Jim Finks,3,27,9.0,22,0
John Rauch,7,26,3.71,11,0
Jim Doran,2,23,11.5,25,0
Dom Moselle,12,23,1.92,7,1
Steve Romanik,12,23,1.92,10,1
Earl Girard,4,20,5.0,32,0
Vinnie Yablonski,14,20,1.43,6,0
Y.A. Tittle,13,18,1.38,5,1
Ollie Cline,3,15,5.0,10,0
Bill Svoboda,5,15,3.0,6,0
Travis Tidwell,11,14,1.27,13,0
Frank Tripucka,1,14,14.0,14,0
Adrian Burk,28,12,0.43,11,1
Pete D'Alonzo,2,11,5.5,7,0
Joe Hollingsworth,7,11,1.57,6,0
J.R. Boone,3,9,3.0,6,0
Bob Jackson,5,9,1.8,6,0
Bill Mackrides,7,9,1.29,3,0
Bob Mann,2,9,4.5,9,0
George Ratterman,3,9,3.0,7,0
Eddie Saenz,3,8,2.67,6,0
Billy Cox,2,7,3.5,5,0
Fred Enke,4,6,1.5,4,0
Jim Cason,1,5,5.0,5,0
Don Kindt,2,5,2.5,3,0
Rip Collins,5,4,0.8,6,0
Gene Schroeder,1,4,4.0,4,0
Al Campana,2,3,1.5,3,0
Elroy Hirsch,1,3,3.0,3,0
Norm Van Brocklin,7,2,0.29,4,2
Truett Smith,1,1,1.0,1,0
Bob Williams,5,0,0.0,3,0
John Hoffman,1,0
Gordie Soltau,1,0
Sammy Baugh,11,7,0
Bobby Thomason,5,10,0
Leon Hart,4,3,0
Jerry Davis,1,0
Bev Wallace,1,0
Cliff Lewis,3,1,0
