Player Name,Attempts,Yards,Yards Per Attempt,Long,Touchdowns
Bill Dudley,162,696,4.3,66,5
Merl Condit,129,647,5.02,63,2
Gary Famiglietti,118,503,4.26,21,8
Andy Farkas,125,468,3.74,22,3
Dick Riffle,115,467,4.06,44,4
Marshall Goldberg,116,369,3.18,29,1
Merle Hapes,95,363,3.82,52,3
Dante Magnani,59,344,5.83,71,1
Frank Maznicki,54,343,6.35,42,1
Gaylon Smith,83,332,4.0,50,2
Ted Fritsch,74,323,4.36,55,0
Pug Manders,93,316,3.4,23,6
Dean McAdams,110,314,2.85,25,0
Bud Schwenk,111,313,2.82,28,2
Hugh Gallarneau,68,292,4.29,20,4
Harry Clarke,58,273,4.71,26,4
Tony Canadeo,89,272,3.06,50,3
Mickey Sanzotta,71,268,3.77,18,0
Chuck Sample,57,255,4.47,31,4
Ray Nolting,57,245,4.3,39,2
Lou Brock,95,237,2.49,24,2
Harry Hopp,66,230,3.48,44,0
Andy Tomasic,60,214,3.57,34,0
Elmer Hackney,34,208,6.12,78,2
Bob Davis,43,207,4.81,44,2
Ray Hare,27,197,7.3,47,1
Dick Todd,65,195,3.0,22,0
Bob Seymour,54,190,3.52,18,1
Ward Cuff,38,189,4.97,15,0
Hank Soar,49,187,3.82,49,1
Ted Williams,50,183,3.66,33,2
Joe Hoague,65,168,2.58,42,1
Bosh Pritchard,38,166,4.37,36,0
John Petty,41,149,3.63,14,2
Dick Poillon,55,148,2.69,13,0
George Gonda,17,147,8.65,68,2
Bob Morrow,45,145,3.22,16,1
Andy Marefos,48,138,2.88,14,1
Bobby Robertson,46,132,2.87,34,0
Frank Grigonis,37,131,3.54,12,1
Leo Cantor,67,124,1.85,18,2
Ernie Steele,24,124,5.17,55,0
Tuffy Leemans,51,116,2.27,16,3
Curt Sandig,50,116,2.32,39,3
Len Janiak,34,109,3.21,20,0
Lou Tomasetti,45,102,2.27,14,0
Joe Laws,29,100,3.45,17,0
Steve Lach,30,97,3.23,9,0
Cecil Isbell,36,83,2.31,32,1
Ned Mathews,21,79,3.76,14,0
Lloyd Cardwell,6,78,13.0,80,1
Steve Juzwik,15,75,5.0,39,2
Andy Uram,24,75,3.13,8,0
Dick Erdlitz,21,69,3.29,17,1
Emil Banjavic,11,67,6.09,45,0
John Polanski,17,67,3.94,13,0
George Morris,22,65,2.95,28,0
Len Barnum,30,64,2.13,7,0
Ray McLean,26,63,2.42,15,0
Sammy Baugh,20,61,3.05,28,1
Billy Jefferson,12,58,4.83,13,0
Cece Hare,14,57,4.07,11,0
Roy Zimmerman,12,56,4.67,16,0
Corby Davis,28,55,1.96,12,0
Bert Johnson,27,54,2.0,13,0
Tommy Colella,23,51,2.22,34,0
Johnny Binotto,17,47,2.76,30,0
Jack Stackpool,15,47,3.13,9,0
Harry Seltzer,14,44,3.14,24,0
Johnny Knolla,15,43,2.87,14,0
Joe Stringfellow,16,41,2.56,11,0
Joe Bukant,17,34,2.0,15,0
Walt Fedora,16,34,2.13,12,0
Don Lieberum,11,29,2.64,19,0
Bill Hutchinson,7,27,3.86,15,0
Al Owen,8,27,3.38,6,0
Wilbur Moore,10,25,2.5,18,0
Bob McChesney,2,22,11.0,23,0
Dick Weisgerber,5,21,4.2,6,0
Perry Schwartz,2,20,10.0,17,0
Bill Lazetich,3,19,6.33,18,1
Bill Geyer,9,18,2.0,6,0
Dutch Elston,1,15,15.0,15,0
Irv Hall,8,14,1.75,11,0
Fred Meyer,2,13,6.5,10,0
Gerry Courtney,8,12,1.5,11,1
Rufus Deal,5,12,2.4,6,0
Bob Masterson,3,12,4.0,11,0
John Martin,30,10,0.33,27,0
Bill Osmanski,2,9,4.5,14,0
Buddy Parker,1,9,9.0,9,0
Frank Morris,3,7,2.33,6,0
Hubbard Law,1,6,6.0,6,0
Chet Wetterlund,23,6,0.26,12,0
Don Hutson,3,4,1.33,9,0
Bob Kahler,8,4,0.5,13,0
Jack Vetter,1,4,4.0,4,0
Bob Masters,1,3,3.0,3,0
Bob Nowaskey,1,3,3.0,3,0
Lee Shaffer,1,3,3.0,3,0
Marv Whited,1,3,3.0,3,0
Thurman Jones,1,2,2.0,2,0
Lloyd Cheatham,1,1,1.0,1,0
Johnny Goodyear,2,1,0.5,1,0
Len Supulski,1,1,1.0,1,0
Larry Craig,2,0,0.0,4,0
Curt Mecham,3,0,0.0,5,0
Bob Trocolor,26,0,0.0,19,0
Jack Boone,3,3,0
Murray Evans,1,0
Ed Justice,3,2,0
Adolph Kissell,2,11,0
John Petchel,1,0
Parker Hall,41,13,1
Al Donelli,2,0,0
Sid Luckman,13,9,0
Johnny Hall,2,0,0
Hal McCullough,21,14,0
Charlie O'Rourke,18,17,1
Jack Jacobs,32,13,0
Tommy Thompson,92,22,1
