Player Name,Attempts,Yards,Yards Per Attempt,Long,Touchdowns
Bill Paschal,147,572,3.89,54,10
Jack Hinkle,116,571,4.92,56,3
Harry Clarke,120,556,4.63,20,2
Ward Cuff,80,523,6.54,65,3
Tony Canadeo,94,489,5.2,35,3
Ernie Steele,85,409,4.81,47,4
Johnny Butler,87,362,4.16,69,3
Johnny Grigas,105,333,3.17,28,3
Andy Farkas,110,327,2.97,36,5
Dante Magnani,51,310,6.08,79,2
Bob Thurbon,71,291,4.1,25,5
Frankie Sinkwich,93,266,2.86,17,1
Pug Manders,89,266,2.99,43,3
Bob Seymour,65,232,3.57,40,0
Joe Laws,43,232,5.4,31,0
Wilbur Moore,40,231,5.78,47,2
Gary Famiglietti,64,229,3.58,31,2
Ray Nolting,38,209,5.5,22,1
Tony Falkenstein,58,198,3.41,59,1
Merl Condit,67,190,2.84,25,1
Irv Comp,77,182,2.36,27,3
Chuck Fenenbock,46,180,3.91,25,0
Ted Fritsch,54,169,3.13,14,4
Frank Seno,26,152,5.85,52,0
Dave Brown,32,131,4.09,14,0
Bob Morrow,38,129,3.39,9,2
Ray McLean,35,127,3.63,34,1
Ken Heineman,49,126,2.57,43,0
Ned Mathews,38,124,3.26,42,1
Bill Osmanski,37,102,2.76,9,1
Harry Hopp,56,99,1.77,16,3
John Martin,30,98,3.27,15,0
Ray Hare,21,96,4.57,16,0
Joe Bukant,42,87,2.07,10,0
Elmer Hackney,27,87,3.22,16,2
Bronko Nagurski,16,84,5.25,11,1
Carl Kinscherf,49,77,1.57,10,1
Charlie Gauer,12,69,5.75,25,0
Lou Brock,45,67,1.49,9,2
Tuffy Leemans,37,59,1.59,13,0
Andy Uram,15,53,3.53,9,0
Johnny Hall,22,51,2.32,14,0
Ben Kish,22,50,2.27,11,0
Frank Martin,25,50,2.0,22,0
Doug McEnulty,16,45,2.81,9,0
Don Hutson,6,41,6.83,16,0
Cecil Johnson,26,38,1.46,19,0
Bill Geyer,16,36,2.25,15,1
Emery Nix,19,26,1.37,25,0
Frank Akins,10,25,2.5,11,0
Tommy Colella,15,24,1.6,18,0
Ted Laux,9,23,2.56,12,0
Joe Aguirre,1,21,21.0,21,0
Cal Purdin,9,20,2.22,13,0
Jack Jenkins,4,20,5.0,8,0
Bull Karcis,12,19,1.58,7,0
Bill Callihan,5,17,3.4,6,1
Bob Masters,4,16,4.0,10,0
Frank Sachse,8,14,1.75,7,0
Mike Corgan,5,14,2.8,8,0
George Smith,4,12,3.0,4,0
Tony Bova,1,11,11.0,11,0
Jodie Marek,6,9,1.5,7,0
Hank Soar,2,8,4.0,5,0
Joe Sulaitis,1,6,6.0,6,0
Marshall Goldberg,6,6,1.0,5,0
Lloyd Cardwell,3,6,2.0,2,0
Marshall Edwards,1,5,5.0,5,0
Bob Kahler,1,5,5.0,5,0
Steve Sader,3,5,1.67,16,0
Joe Setcavage,1,3,3.0,3,0
Larry Craig,1,3,3.0,3,0
Lee Shaffer,1,3,3.0,3,0
Murray Evans,2,3,1.5,2,0
Bob Steuber,1,3,3.0,3,0
Jim Lankas,2,2,1.0,1,0
Ben Starret,1,1,1.0,1,0
Walt Rankin,2,1,0.5,1,0
Bob Keene,1,1,1.0,1,0
Art Van Tone,2,1,0.5,2,0
Bob Trocolor,6,11,0
Ben Hightower,1,0
Dean Steward,1,0
Tilly Manton,2,2,0
Leo Stasica,9,4,0
Ronnie Cahill,62,25,0
George Cafego,34,20,0
Walt Masters,14,4,0
Bob Snyder,6,3,0
Allie Sherman,17,5,1
Dean McAdams,40,14,0
Sid Luckman,22,8,1
Roy Zimmerman,33,12,1
Sammy Baugh,19,4,0
