Player Name,Attempts,Yards,Yards Per Attempt,Long,Touchdowns
Gale Sayers,236,1032,4.37,28,8
Calvin Hill,204,942,4.62,55,8
Tom Matte,235,909,3.87,26,11
Larry Brown,202,888,4.4,57,4
Tom Woodeshick,186,831,4.47,21,4
Walt Garrison,176,818,4.65,21,2
Leroy Kelly,196,817,4.17,31,9
Andy Livingston,181,761,4.2,18,5
Cannonball Butler,163,655,4.02,39,3
Dave Osborn,186,643,3.46,58,7
Tony Baker,134,642,4.79,54,1
Larry Smith,166,599,3.61,46,1
Ken Willard,171,557,3.26,18,7
Doug Cunningham,147,541,3.68,33,3
Travis Williams,129,536,4.16,39,4
Dick Hoak,151,531,3.52,13,2
Junior Coffey,131,511,3.9,20,2
Cid Edwards,107,504,4.71,48,3
Johnny Roland,138,498,3.61,21,5
Ron Johnson,138,472,3.42,48,7
Les Josephson,124,461,3.72,17,0
Bill Brown,126,430,3.41,30,3
Charlie Harraway,141,428,3.04,17,6
Bobby Douglass,51,408,8.0,39,2
Oscar Reed,83,393,4.73,23,1
Joe Morrison,107,387,3.62,13,4
Bill Triplett,111,377,3.4,33,3
Harmon Wages,72,375,5.21,66,2
Dave Hampton,80,365,4.56,53,4
Leroy Keyes,121,361,2.98,28,3
Altie Taylor,118,348,2.95,26,0
Earl Gros,116,343,2.96,16,4
Cyril Pinder,60,309,5.15,50,1
Paul Gipson,62,303,4.89,33,1
Ernie Koy,76,300,3.95,24,2
Reece Morrison,59,300,5.08,54,1
Donny Anderson,87,288,3.31,16,1
Nick Eddy,78,272,3.49,26,2
Jim Grabowski,73,261,3.58,22,1
Warren Bankston,62,259,4.18,15,1
Charlie Bryant,50,246,4.92,41,0
Mel Farr,58,245,4.22,52,4
Greg Landry,33,243,7.36,26,1
Clint Jones,54,241,4.46,80,3
Terry Cole,73,204,2.79,27,2
Larry Watkins,62,201,3.24,12,1
Jimmy Thomas,23,190,8.26,75,1
Ronnie Bull,44,187,4.25,16,0
Dan Reeves,59,173,2.93,12,4
Willis Crenshaw,55,172,3.13,26,3
Fran Tarkenton,37,172,4.65,21,0
Bo Scott,44,157,3.57,20,0
Roman Gabriel,35,156,4.46,22,5
Sonny Jurgensen,17,156,9.18,33,1
Les Shy,42,154,3.67,23,1
Brian Piccolo,45,148,3.29,15,2
Jerry Hill,49,143,2.92,14,2
Randy Minniear,35,141,4.03,16,1
Tucker Frederickson,33,136,4.12,19,0
Tommy Mason,33,135,4.09,17,1
Elijah Pitts,35,134,3.83,13,0
Roy Shivers,27,115,4.26,17,2
Terry Hanratty,10,106,10.6,31,0
Joe Kapp,22,104,4.73,18,0
Don McCall,30,98,3.27,14,0
MacArthur Lane,25,93,3.72,13,1
John Fuqua,20,89,4.45,35,0
Ernie Wheelwright,25,85,3.4,17,4
Mike Hull,29,81,2.79,14,1
Preston Pearson,24,81,3.38,10,0
Jim Mitchell,5,77,15.4,40,0
Don Shy,21,75,3.57,22,1
Bill Tucker,20,72,3.6,24,2
Kent Nix,10,70,7.0,20,0
Bob Berry,20,68,3.4,30,0
John Brodie,11,62,5.64,15,0
Jack Concannon,22,62,2.82,30,1
Craig Morton,16,62,3.88,15,1
Danny Abramowicz,3,61,20.33,28,0
Bart Starr,7,60,8.57,18,0
Roger Staubach,15,60,4.0,19,1
Bruce Lemmerman,10,57,5.7,20,1
Willie Ellison,20,56,2.8,15,1
Randy Johnson,11,55,5.0,13,1
Dick Shiner,14,55,3.93,18,1
Perry Williams,18,55,3.06,13,0
Ross Montgomery,15,52,3.47,6,0
Charley Johnson,17,51,3.0,15,1
Sam Havrilak,5,49,9.8,29,1
Tom McCauley,2,49,24.5,32,0
Steve Spurrier,5,49,9.8,29,0
Roy Jefferson,4,46,11.5,22,0
Perry Lee Dunn,13,45,3.46,11,0
Bob Windsor,5,39,7.8,13,0
