Player Name,Attempts,Yards,Yards Per Attempt,Long,Touchdowns
Jim Brown,215,1257,5.85,71,9
Jim Taylor,230,1101,4.79,32,11
John David Crow,183,1071,5.85,57,6
Nick Pietrosante,161,872,5.42,57,8
J.D. Smith,174,780,4.48,41,5
Tom Tracy,192,680,3.54,28,5
Paul Hornung,160,671,4.19,37,13
John Henry Johnson,118,621,5.26,87,2
Mel Triplett,124,573,4.62,40,4
Rick Casares,160,566,3.54,35,5
Bobby Mitchell,111,506,4.56,50,5
Clarence Peaks,86,465,5.41,57,3
Dan Lewis,92,438,4.76,74,1
Jon Arnett,104,436,4.19,31,2
Frank Mestnik,104,429,4.13,55,3
Don Bosseler,109,428,3.93,29,2
Johnny Morris,73,417,5.71,61,3
Lenny Moore,91,374,4.11,57,4
Willie Galimore,74,368,4.97,54,1
L.G. Dupre,104,362,3.48,18,3
Mal Hammack,96,347,3.61,24,2
Hugh McElhenny,95,347,3.65,38,0
Joe Morrison,103,346,3.36,19,2
Don McIlhenny,96,321,3.34,21,1
Billy Ray Barnes,117,315,2.69,23,4
Ted Dean,113,304,2.69,32,0
Alex Hawkins,76,267,3.51,17,2
Alan Ameche,80,263,3.29,16,3
Ralph Guglielmi,79,247,3.13,16,0
Joe Childress,34,240,7.06,28,0
Joe Marconi,42,240,5.71,75,3
Tom Moore,45,237,5.27,59,4
Frank Gifford,77,232,3.01,15,4
Johnny Olszewski,75,227,3.03,15,3
C.R. Roberts,73,213,2.92,30,2
Dick James,73,199,2.73,27,4
Johnny Unitas,36,195,5.42,27,0
John Brodie,18,171,9.5,30,1
Billy Wade,26,171,6.58,66,2
Ollie Matson,61,170,2.79,27,1
Ken Webb,59,166,2.81,17,2
Prentice Gautt,28,159,5.68,23,1
Walt Kowalczyk,50,156,3.12,34,1
Dick Bass,31,153,4.94,33,0
Tommy Wilson,41,139,3.39,35,0
Ed Sutton,20,135,6.75,44,0
Billy Pricer,46,131,2.85,11,1
Gene Babb,39,115,2.95,12,0
John Adams,23,114,4.96,62,0
Larry Krutko,17,99,5.82,18,0
Phil King,26,97,3.73,30,0
Joe Perry,36,95,2.64,21,1
Eddie LeBaron,17,94,5.53,23,1
Bobby Joe Conrad,23,91,3.96,33,0
Ed Brown,19,89,4.68,38,2
Frank Ryan,19,85,4.47,24,1
Merrill Douglas,11,82,7.45,29,0
Jim Ninowski,32,81,2.53,14,5
Charlie Scales,26,81,3.12,9,0
Sam Horner,22,80,3.64,16,0
Terry Barr,17,74,4.35,19,1
Lamar McHan,8,67,8.38,35,1
Clendon Thomas,16,63,3.94,33,0
Y.A. Tittle,10,61,6.1,28,0
Jamie Caleb,8,60,7.5,30,1
Jimmy Orr,8,57,7.13,19,0
Jim Podoley,29,52,1.79,9,0
Alex Webster,22,48,2.18,10,0
King Hill,16,47,2.94,10,1
Jerry Norton,2,47,23.5,26,0
Willie West,7,45,6.43,14,0
John Roach,19,39,2.05,19,1
Ed Vereb,19,38,2.0,15,0
Earl Morrall,10,37,3.7,17,1
Preston Carpenter,17,36,2.12,20,0
Timmy Brown,9,35,3.89,13,2
Howard Cassady,17,28,1.65,16,1
Tom Barnett,6,25,4.17,16,0
Ray Brown,2,25,12.5,23,0
Lew Carpenter,1,24,24.0,24,0
Jim Welch,5,23,4.6,7,0
Larry Hickman,7,22,3.14,4,0
Zeke Bratkowski,8,20,2.5,10,0
M.C. Reynolds,4,20,5.0,12,0
Theron Sapp,9,20,2.22,7,0
Don Chandler,2,19,9.5,24,0
Yale Lary,1,19,19.0,19,0
Gary Glick,1,15,15.0,15,0
Rex Johnston,4,12,3.0,17,0
Bobby Layne,19,12,0.63,13,2
Bart Starr,7,12,1.71,13,0
Max McGee,2,11,5.5,16,0
Buddy Dial,1,8,8.0,8,0
Boyd Dowler,1,8,8.0,8,0
Bob Waters,1,8,8.0,8,0
Buddy Humphrey,2,7,3.5,6,0
Johnny Sample,1,7,7.0,7,0
Bill Anderson,1,6,6.0,6,0
Sonny Jurgensen,4,5,1.25,9,0
Don Meredith,3,4,1.33,8,0
Abe Woodson,4,4,1.0,4,0
Don Heinrich,2,3,1.5,3,0
Pete Retzlaff,2,3,1.5,7,0
Carl Taseff,4,3,0.75,4,0
Ray Norton,2,2,1.0,9,0
Charlie Conerly,14,1,0.07,17,0
Eagle Day,3,1,0.33,5,0
Lee Grosscup,3,1,0.33,5,0
Ed Kovac,4,1,0.25,5,0
Len Dawson,1,0,0.0,0,0
Dave Middleton,3,1,0
Bo Farrington,1,0
Paul Winslow,2,3,0
Angelo Coia,3,25,0
Frank Clarke,1,0
Rudy Bukich,3,0,0
Sam Baker,1,0
Charlie Bivins,1,0
George Shaw,15,15,0
Norm Van Brocklin,11,1,0
Del Shofner,1,0
Rich Kreitling,2,0
Milt Plum,17,7,2
