Player Name,Attempts,Yards,Yards Per Attempt,Long,Touchdowns
Gale Sayers,229,1231,5.38,58,8
Leroy Kelly,209,1141,5.46,70,15
Dick Bass,248,1090,4.4,50,8
Bill Brown,251,829,3.3,33,6
Ken Willard,191,763,3.99,49,5
Dan Reeves,175,757,4.33,67,8
Ernie Green,144,750,5.21,35,3
Don Perkins,186,726,3.9,24,8
Junior Coffey,199,722,3.63,37,4
Jim Taylor,204,705,3.46,19,4
Johnny Roland,192,695,3.62,50,5
Timmy Brown,161,548,3.4,24,3
Willie Asbury,169,544,3.22,45,7
Tony Lorick,143,524,3.66,41,3
Tom Nowatzke,151,512,3.39,21,6
John David Crow,121,477,3.94,31,1
A.D. Whitfield,93,472,5.08,63,2
Ernie Wheelwright,121,458,3.79,65,3
Amos Marsh,134,433,3.23,27,3
Earl Gros,102,396,3.88,26,7
Jerry Hill,104,395,3.8,14,0
Elijah Pitts,115,393,3.42,20,7
Tom Matte,86,381,4.43,30,0
Fran Tarkenton,62,376,6.06,28,4
Prentice Gautt,110,370,3.36,23,1
Willis Crenshaw,94,360,3.83,33,0
Dave Osborn,87,344,3.95,25,1
Tom Woodeshick,85,330,3.88,21,4
Chuck Mercein,94,327,3.48,22,0
Ronnie Bull,100,318,3.18,13,0
Joe Morrison,67,275,4.1,20,2
Allen Jacobs,77,273,3.55,19,1
Tom Moore,104,272,2.62,18,1
Charley Taylor,87,262,3.01,24,3
Steve Thurlow,80,260,3.25,20,0
Don Meredith,38,242,6.37,22,5
Izzy Lang,52,239,4.6,39,1
Tommy Mason,58,235,4.05,52,2
Joe Don Looney,63,220,3.49,24,4
Karl Sweetan,34,219,6.44,34,1
Dick Hoak,81,212,2.62,16,1
Lenny Moore,63,209,3.32,18,3
Dave Kopay,47,204,4.34,32,1
Paul Hornung,76,200,2.63,9,2
Gary Wood,28,196,7.0,28,3
Jack Concannon,25,195,7.8,29,2
Ralph Kurek,52,179,3.44,12,1
Jon Arnett,55,178,3.24,21,1
Roman Gabriel,52,176,3.38,14,3
Dan Lewis,32,164,5.13,57,1
Frank Ryan,36,156,4.33,17,0
Ernie Koy,66,146,2.21,13,0
Jim Lindsey,57,146,2.56,14,1
Randy Johnson,35,142,4.06,21,4
Bobby Mitchell,13,141,10.85,48,1
Gary Lewis,36,130,3.61,15,2
Jim Grabowski,29,127,4.38,36,1
Les Shy,17,118,6.94,68,1
Cannonball Butler,46,114,2.48,19,2
Donny Anderson,25,104,4.16,15,2
Bart Starr,21,104,4.95,21,2
George Mira,10,103,10.3,38,0
Ollie Matson,29,101,3.48,28,1
Les Josephson,14,97,6.93,14,0
Jim Stiger,24,95,3.96,19,0
Bobby Smith,24,93,3.88,21,0
Amos Bullocks,29,83,2.86,13,1
Bobby Felts,34,83,2.44,14,2
Bobby Walden,5,82,16.4,45,0
Walt Garrison,16,62,3.88,13,1
Milt Plum,12,59,4.92,15,0
Perry Lee Dunn,22,52,2.36,10,0
Mel Renfro,8,52,6.5,27,0
Bruce McLenna,16,51,3.19,19,0
Craig Morton,7,50,7.14,12,0
Frank Clarke,8,49,6.13,26,0
Johnny Unitas,20,44,2.2,16,1
Tommy Davis,3,43,14.33,22,0
Homer Jones,5,43,8.6,11,0
Charlie Harraway,7,40,5.71,18,0
Phil King,17,40,2.35,12,0
Ron Rector,9,40,4.44,20,0
Charley Johnson,20,39,1.95,9,2
Gary Collins,2,38,19.0,36,0
Charlie Scales,10,38,3.8,10,0
Tom Barrington,10,37,3.7,21,0
Jerry Rhome,7,37,5.29,11,0
Roy Jefferson,2,36,18.0,24,0
Don Chandler,1,33,33.0,33,0
Randy Schultz,7,32,4.57,20,0
Norm Snead,15,32,2.13,17,1
Charlie Bryant,5,31,6.2,18,0
Billy Gambrell,3,26,8.67,24,0
Terry Nofsinger,18,25,1.39,12,2
Bill Triplett,13,25,1.92,5,0
Bernie Casey,1,23,23.0,23,0
Billy Kilmer,3,23,7.67,13,0
Preston Ridlehuber,4,23,5.75,12,0
Danny Villanueva,1,23,23.0,23,0
Billy Lothridge,1,22,22.0,22,0
Nick Pietrosante,7,20,2.86,8,0
Pat Studstill,2,20,10.0,15,0
Ron Vander Kelen,4,19,4.75,15,0
John Brodie,5,18,3.6,7,3
Bill Nelsen,6,18,3.0,9,0
Dick Leftridge,8,17,2.13,5,2
Jerry Stovall,1,17,17.0,17,0
Billy Ray Barnes,5,16,3.2,4,1
Tom Kennedy,5,16,3.2,10,0
Sam Baker,1,15,15.0,15,0
Dennis Claridge,5,15,3.0,12,0
Rudy Bukich,18,14,0.78,12,2
Sonny Jurgensen,12,14,1.17,16,0
Bob Berry,3,12,4.0,5,0
Earl Morrall,5,12,2.4,9,0
Brian Piccolo,3,12,4.0,5,0
Jimmy Sidle,1,12,12.0,12,0
Dick Shiner,1,10,10.0,10,0
Gary Cuozzo,1,9,9.0,9,0
Jackie Smith,1,8,8.0,8,0
Zeke Bratkowski,4,7,1.75,4,0
Jim Jackson,4,7,1.75,4,0
Ed Meador,1,7,7.0,7,0
J.D. Smith,7,7,1.0,2,1
Jim Todd,2,6,3.0,3,0
Fred Hill,1,5,5.0,5,0
Joe Marconi,3,5,1.67,3,0
Roy Shivers,1,5,5.0,5,0
Mike Lind,3,4,1.33,3,0
Willie Walker,1,4,4.0,4,0
Rudy Johnson,3,3,1.0,3,0
Bill Munson,4,3,0.75,2,0
Dick Gordon,1,2,2.0,2,0
Ken Iman,1,2,2.0,2,0
Joe Kantor,1,2,2.0,2,0
Jeff Williams,1,2,2.0,2,0
Bob Hayes,1,0
Dave Parks,1,0
King Hill,7,2,0
Greg Larson,0,0.0,0
Ron Meyer,1,0
Larry Rakestraw,1,0
John Mackey,1,0
Jim Jones,1,0
Ron Smith,4,2,0
Preston Carpenter,1,0
Jim Ninowski,3,4,0
George Izo,2,0
