Player Name,Attempts,Yards,Yards Per Attempt,Long,Touchdowns
Leroy Kelly,248,1239,5.0,65,16
Ken Willard,227,967,4.26,69,7
Tom Woodeshick,217,947,4.36,54,3
Dick Hoak,175,858,4.9,77,3
Gale Sayers,138,856,6.2,63,2
Don Perkins,191,836,4.38,28,4
Willis Crenshaw,203,813,4.0,66,6
Bill Brown,222,805,3.63,32,11
Donny Anderson,170,761,4.48,42,5
Tom Matte,183,662,3.62,23,9
Don McCall,155,637,4.11,48,4
Willie Ellison,151,616,4.08,52,5
Mel Farr,128,597,4.66,46,3
Earl Gros,151,579,3.83,44,3
Gary Lewis,141,573,4.06,22,1
Clint Jones,128,536,4.19,43,1
Jim Grabowski,135,518,3.84,25,3
Dick Bass,121,494,4.08,20,1
Tucker Frederickson,142,486,3.42,19,1
Ronnie Bull,107,472,4.41,24,3
Johnny Roland,121,455,3.76,45,2
Brian Piccolo,123,450,3.66,19,2
Craig Baynham,103,438,4.25,22,5
Terry Cole,104,418,4.02,21,3
Gerry Allen,123,399,3.24,20,4
Tommy Mason,108,395,3.66,19,3
Ernie Koy,89,394,4.43,26,3
Bill Triplett,120,384,3.2,17,0
Cannonball Butler,94,365,3.88,60,2
Bobby Duhon,101,362,3.58,13,3
Jerry Hill,91,360,3.96,21,1
Tony Lorick,104,344,3.31,36,0
Charlie Harraway,91,334,3.67,23,0
Fran Tarkenton,57,301,5.28,22,3
Walt Garrison,45,271,6.02,22,5
Joe Kapp,50,269,5.38,27,3
Virgil Carter,48,265,5.52,31,4
Elijah Pitts,72,264,3.67,14,2
Ronnie Blye,53,243,4.58,17,1
Izzy Lang,69,235,3.41,17,0
Bob Brunet,71,227,3.2,15,0
Perry Lee Dunn,72,219,3.04,15,3
Cid Edwards,31,214,6.9,42,1
Harmon Wages,59,211,3.58,31,0
Dave Kopay,53,207,3.91,22,0
Roy Shivers,44,184,4.18,42,4
Steve Thurlow,51,184,3.61,11,0
Les Shy,64,179,2.8,17,1
Dan Reeves,40,178,4.45,25,4
Nick Eddy,48,176,3.67,20,0
Jackie Smith,12,163,13.58,37,3
Timmy Brown,39,159,4.08,10,2
Ernie Green,41,152,3.71,14,0
Jim Lindsey,53,152,2.87,9,4
Randy Schultz,43,152,3.53,15,0
Billy Harris,53,144,2.72,11,0
Charlie Leigh,23,144,6.26,20,1
Dave Osborn,42,140,3.33,23,0
Bob Berry,26,139,5.35,45,2
Roman Gabriel,34,139,4.09,19,4
Mike Dennis,29,136,4.69,16,0
Henry Dyer,55,136,2.47,15,1
Bill Tucker,30,135,4.5,18,3
Pete Larson,44,132,3.0,16,1
A.D. Whitfield,37,125,3.38,17,0
Don Meredith,22,123,5.59,16,1
Cyril Pinder,40,117,2.93,21,0
Tom Nowatzke,36,116,3.22,11,1
Tom Barrington,45,111,2.47,22,0
Bill Munson,25,109,4.36,20,1
Don Shy,35,106,3.03,39,1
Jack Concannon,28,104,3.71,16,2
John Mackey,10,103,10.3,33,0
Ernie Wheelwright,21,99,4.71,15,1
Randy Johnson,11,97,8.82,26,1
Billy Kilmer,21,97,4.62,22,2
Ralph Kurek,17,95,5.59,23,1
Brendan McCarthy,31,86,2.77,18,1
Preston Pearson,19,78,4.11,13,0
MacArthur Lane,23,74,3.22,11,0
John Brodie,18,71,3.94,15,0
Frank Ryan,11,64,5.82,19,0
