Name,Combined,Assists,Solos,Sacks
Ralph Anderson,0,0,0,0
Bob Brown 2,0,0,0,0
Al Coleman,0,0,0,0
Dave Costa 2,0,0,0,0
Claude Humphrey,0,0,0,0
Mike Lewis,0,0,0,0
Bill Malinchak,0,0,0,0
Joe Owens,0,0,0,0
Joe Sweet,0,0,0,0
Mark Washington 2,0,0,0,0
Sherman White,0,0,0,0
