Name,Combined,Assists,Solos,Sacks
Benny Barnes,0,0,0,0
Ken Criter,0,0,0,0
Fred Dryer,0,0,0,0
Cedrick Hardman,0,0,0,0
Curtis Johnson 2,0,0,0,0
Steve Kiner,0,0,0,0
Tony Plummer,0,0,0,0
Dwight White,0,0,0,0
Roy Winston,0,0,0,0
