Name,Combined,Assists,Solos,Sacks
Mike Adamle,0,0,0,0
Coy Bacon,0,0,0,0
Dave Brown 3,0,0,0,0
Ron Fernandes,0,0,0,0
Tommy Hart,0,0,0,0
Tom Henderson,0,0,0,0
Ted Hendricks,0,0,0,0
Claude Humphrey,0,0,0,0
Aaron Kyle,0,0,0,0
John Lohmeyer,0,0,0,0
Ron Mcdole,0,0,0,0
Mack Mitchell,0,0,0,0
Johnny Musso,0,0,0,0
Loren Toews,0,0,0,0
