PLAYER NAME,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
A B Brown,0.0280627125464945,-0.0185757519308447,0.0006773323593783,-0.0504553916185732,0.0033105745715056,-0.0125657794535691,0.0195300957844944,-0.0193624144373487,0.0790310430158901,-0.0339067124917975,-0.0352962529714353,0.0162160624258645,-0.0107877654234565,0.0088314007572564,-0.0188429961587151,0.0037838805240154,-0.0064618445577594,0.0100816065704534,-0.0190547850136198,0.0423059879613974,-0.0140145095393666,0.0056795503831121,-0.0115744139298246,-0.020717163699437,0.0487403814512142,0.0386595423092991,-0.0111683715429355,-0.0095385324069708,0.0051437615215712,-0.0103728022811155,0.0136451865149676,-0.0437871181890496,0.0140415756581187,-0.0174318835448941,0.0102829364479209,-0.0050297163415245,0.0084167924260477,-0.0200953044748983
A J Dillon,-0.0102814052448945,-0.0129592911699731,0.0527789785447606,0.0200528994198813,0.0023268254266541,0.0065204203565008,0.0273997670994939,-0.0259814731522778,-0.0335772181428328,0.010240732556791,-0.0246023347508206,0.0133970620641369,0.0063146050448857,0.0015429158068853,0.0159226897517205,-0.0213636670806082,0.0470016713333339,0.035241251254639,0.0051765280258267,-0.0195150273133191,-0.0452978533179775,-0.0199126319240976,-0.0487480939646243,-0.0244877712844295,0.0220227852983325,-0.0095255154078048,0.0326802742912765,0.0023167412135497,0.0013899788174473,-0.0017212425492671,-0.0367773716733919,-0.0448637836036894,0.0156271700450459,0.0284717644650768,-0.0126894352498176,-0.0094689405495553,-0.0478003761617151,-0.0124848407812809
Aaron Craver,0.0037533402948849,0.0263475207384428,0.0283229509281345,-0.0280515919434198,-0.0217640941038485,0.001046605175507,-0.0161404895943771,-0.028749213152858,-0.0036423363402542,0.0325384867189961,0.0287373212781664,-0.0041218884490056,-0.013384395241098,0.0352629298861398,-0.0208111552958787,0.0018042803539694,0.0207700765657616,-0.0631861930087596,-0.0275027174088268,0.0007467968700479,-0.0137696364993044,0.0149709862526331,0.023442996107125,-0.0326850042473656,0.0260169576656948,0.0152202725349562,0.0165576199860254,-0.0146728229121008,0.0161385519471024,-0.0031955126864813,-0.0375729949366096,-0.0021517556313427,0.0393643432742155,0.0185498295230456,0.0098745726786085,0.034398233934522,-0.0032780884029407,0.0465457583030841
Aaron Hayden,0.0165634938882832,-0.0150499330515971,0.0125673950057444,0.0076773952271811,0.017049744945048,-0.0395815597640882,0.0198866983089619,-0.0145683101115737,-0.0271030492133423,-0.0052558324223824,0.0058938952454875,0.0192491437937625,0.0132935488526335,-0.0033962181252005,0.0136148948390773,-0.0212711738795871,-0.0012284467071336,0.0109606611591344,-0.016078444252751,-0.0359527645895539,-0.0058274874942301,-0.0361300222534353,-0.012121750332976,0.0266087255371376,-0.0155735236901627,0.0234448433475624,0.0090076662949425,0.0081191910756754,-0.0105462586346339,-0.0025151918075411,0.0011521786968304,0.0238582796630823,-0.0117154000251825,-0.0014104126745624,-0.0108820485507851,-0.0269137642786115,-0.0133199831529834,-0.0111126609821859
Aaron Stecker,-0.004916278175262,0.0287012270004661,-0.0003382493440149,-0.0391519293352701,-0.0342550530223444,-0.0083403200472626,-0.0175729558107703,0.0242685587774549,-0.0365965576268331,0.0169810990035129,-0.0001477423037234,-0.0140732207830345,-0.018271004738113,0.0471870175490743,-0.0175225694595202,-0.0307358524977352,0.0333742867641656,-0.0168791296892194,0.0239406759747993,-0.0087762954648313,-0.0330144198820755,0.0366953025285071,0.0085435116432776,0.0030955687091829,0.0207776513030473,0.0367532030363779,0.0155516011846713,0.044564875916226,-0.0392162686504143,-0.0013460715826875,0.0154514816333747,0.0261123164876506,0.0452384874858506,-0.0109488759719776,-0.0543276528150802,0.007974714391794,-0.0170774149159224,-0.0093761822975158
Abdul Karim Al Jabbar,-0.0329893415283926,-0.0445345475436729,-0.0184153504050425,0.0274700044740177,0.0219537089645283,0.0089347487205005,0.0849797369613477,-0.0061027880966474,0.0052119210578373,0.004364150075223,0.0108648917847156,0.0321058919682649,-0.0565686295890725,-0.0784822643223051,-0.0165553851948857,0.0001236855751512,0.0422354692182785,-0.0736475005006955,-0.0492576692127394,0.0021805224253141,-0.0069937503626763,0.0180559320829199,-0.0242254898870405,0.019875674015386,0.0014985674517694,-0.0321317822238663,0.0372243378129273,-0.0175523697263888,-0.0323251353915466,0.0550882574551346,0.0147183789890047,-0.0150952717733542,-0.0412582377259357,0.0541282997480735,-0.0528254206629489,0.0255605655985814,-0.0242834717012037,0.02112879091914
Adam Prentice,0.0342657916678493,-0.017249843156984,0.000100742458317,-0.0355112997228423,0.0355459367411433,0.0159248749472491,0.0303861550771151,-0.0261753633417098,0.009604093066172,-0.0188682931513092,0.0076346475978241,0.0538340842963705,-0.0133709497155656,0.0271565246115839,0.001592172880538,-0.0026166567862486,-0.0303084865227894,0.0267219457308178,0.0077639259717772,-0.0161667473922888,0.0107348032475062,0.0166371025058719,-0.0054520369347895,0.0023535162256157,0.0117807065240103,0.0173418760253313,-0.0396661738463975,0.0169479810331577,0.0033636388040257,-0.0027301918774068,0.0189620122953572,0.013200434391049,-0.0028072764886704,-0.006320198451737,0.0190885578797465,-0.0056617829888645,0.0188082292408898,-0.0144508333260869
Adam Walker,0.0321143096353849,-0.0178215265703285,0.0072436794067184,-0.0049552126680999,0.0096815527227129,0.0016493695790306,-0.0011391548250356,-0.0123257527480292,0.0342125820492791,-0.0139598837760605,-0.0021865575902234,0.0048133505858327,0.0008068427911155,0.0108767781707012,0.0056689854589268,-0.0219457778806352,-0.001965713382144,0.009666125462251,0.0022278111029031,-0.0013644802211218,0.0050564654643215,0.0073065351264277,9.698256869084768e-05,-0.0072419025445041,0.0151230368195023,0.0108222824244489,-0.0011813869915134,0.0042635170348739,0.0074653141884979,-0.0056349952182609,0.012041965039122,0.0170845162506185,-0.0082011250238956,-0.0038675546401154,0.0020675141362766,-0.0019744405284507,0.0065508480753225,0.004840849238293
Adger Armstrong,0.0125080481210899,0.0343988015945408,0.001247151664236,-0.0029537420702747,0.0255288170260006,-0.0070826863558886,-0.0058614710910327,0.0045313728742055,0.000460174309169,0.0114235191695115,-0.0014199957922621,0.0043740818045008,0.0245506130478278,-0.0107447079675617,-0.0399967552376026,-0.0175669259985642,-0.0301881669221004,-0.0108285982373608,-0.0335338600122258,0.0211237847605695,0.042664762378662,-0.0323095119981267,0.0037412297515087,-0.0302550500380035,-0.0527450865483537,-0.0438063697189563,-0.0344048617490893,0.0025166249205923,0.0012139138785586,0.0123979012743282,0.015247663109195,-0.0209360999572177,0.025090015112522,0.0181022674365568,-0.0264476377298215,0.002341079236877,-0.0158634268861263,-0.0151246953922028
Adimchinobe Echemandu,0.0338487276273484,-0.0146622868138417,-0.0214597300786657,0.0050553203588974,0.0129712986015887,0.0306302240948988,-0.0031198228920151,0.0098691159995074,-0.0323051711729829,-0.0025964727504191,-0.0072147170556762,-0.0042551614467017,-0.0010169982384772,-0.006595159859642,-0.0171917439477618,-0.0141186834878384,0.0075126284838421,-0.0055835671239665,0.0039723485398368,-0.0140629028034124,0.0126294225169239,0.0091536035199291,0.0110588609554619,-0.0017534140381248,0.0142671062568911,-0.0016065800275383,-0.0122919439891864,-0.0030012294999816,-0.0111776166898177,0.0051681722930484,-0.0056053076805002,0.0037424503933911,0.0039763431870034,-0.000356552739118,0.0128274494414602,0.0075339778421188,-0.0030002853751681,0.0049675182442712
