PLAYER NAME,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Aaron Elling,-0.0891695261844517,-0.0199050328636481,-0.0184615148358666,0.0024254900073415,-0.0329062848376565,0.0643666906548308,-0.1012571084016653,0.0047014566595084,-0.0269426618491634,0.0875271794362883,-0.0002645685053412,0.0279150308343525,-0.0322337530127175,0.0002398790073402,-0.1049007495292879,0.0018877210746404,-0.002953689652891,0.0241094301211474,-0.0553228108860826,0.022725449214555,-0.060097719928804,0.064359438194723,-0.0073223531513175,0.0436376171342247,-0.1209703219854325,0.0412401117352504,-0.0881809722883348,0.0592599002216684,-0.0237500810305705,-0.057676226545524,0.0540083986869069,-0.1597664493415458,-0.0062255542515339
Adam Vinatieri,0.1125759042741945,0.1527483435076615,0.0245135611317295,-0.0807410631209402,-0.0939808359373151,0.0139641335699792,-0.0738211519082501,-0.0067139688840074,-0.0143971439516314,0.0788354302281225,-0.0462345646119466,-0.0867494857633602,-0.0945740661770518,-0.0777700357611285,0.0605588767402865,0.0530284262087464,0.1482042629417199,0.1081859950170272,0.0494274396682737,0.007104925746832,0.0490735739960432,-0.1499810445154388,0.0365425994220445,0.2029584326115868,-0.0637557991806818,-0.0308187160276946,-0.1159742893499761,0.0218199076895583,0.0499573044810353,0.0428571800748862,0.0129143419378792,-0.0871938202646267,0.151423395650376
Al Del Greco,0.0770794337732701,0.0566977569645545,-0.0221038707007681,-0.1036049124861283,0.0073634427355054,-0.0536039627606183,0.0008073323261753,-0.0247173239241818,-0.0239474231886833,-0.0212864957408596,-0.1097004560013301,-0.0123617671923706,0.0166632260704289,0.0150564507830939,-0.1026309871868375,0.054092727180664,0.007054719101073,-0.0684768349976719,0.0204989081474525,-0.1035608258083478,-0.0536244446094369,0.0784561919668031,-0.0851094948999261,-0.0067993312026598,0.0502664752116013,-0.0122721533164877,-0.0114008068338424,0.132628534016223,-0.1018660788945419,0.0259982015669686,0.007948381497174,-0.0309248551215141,-0.110158081722309
Aldrick Rosas,0.0071800955161435,-0.1176386208732389,-0.2155217775740298,0.2820977685603704,-0.3271319703642786,-0.4733490378797783,-0.2090985154561392,-0.3415052826473515,0.1935713570135194,0.0111794549852072,0.0127185864720665,0.0709097486820195,0.177045130096271,-0.0336141265673137,-0.0481420254501201,0.0402962239151973,-0.1329330293939279,0.0269019476275655,0.0028989758206828,0.0805083138371956,-0.0181049778497094,-0.0655027424728616,0.1405312063069838,0.0032089399064767,0.0197392379778927,-0.0830301140900694,-0.2085142634903515,0.0750733660357342,0.0253593592348384,0.125935638081638,-0.0906740230285736,0.0983120257903165,0.0067120847100392
Alex Henery,0.0037917718478944,-0.1071095948346341,-0.1629379961325069,0.1317097992144922,-0.2626438203582309,-0.1295146536010813,0.1491273111049279,0.3787057816156431,0.0537231532064256,0.0826879249545738,-0.1638067747701695,0.0236093286294325,-0.0124717229800541,0.0744294815069984,-0.0439360570487273,-0.0738432707283027,0.0350971730162205,0.0568720730318887,-0.042728815505506,0.044526561538642,0.0144212352184673,0.0443070078762846,-0.0780020908857483,-0.0429401048609013,-0.055371956160585,0.0265513951812325,0.1000764356431854,0.011486467468607,0.0081118070343565,-0.0156329932051136,0.1081313160329444,-0.0449248453446335,0.0439947282284361
Ali Haji-Sheikh,-0.0123614345025711,-0.0511874975316493,-0.0239780639438358,0.0519944940942397,-0.0056523613060083,0.0919090718293345,-0.0325981334802407,-0.0279309642678606,0.0060484432684629,0.1586926280172441,0.0006222823609266,0.0261032021754064,0.0023076226325108,-0.0239627734297257,-0.0533961471945889,0.1239494303688703,-0.0491758480448316,0.0782340592608842,-0.0632881940222219,-0.0955254872011297,0.0276565054422435,0.0428802089608745,0.0074089534077028,0.067767565275478,0.034033369225484,0.0151687497690481,-0.1001895577249582,0.0265802892214789,0.0754523693660751,0.0342794733713405,0.0369203176368284,-0.1402417355900561,-0.0859898907612498
Benny Ricardo,-0.0465790216474964,-0.0072830667993537,0.0820385785555833,0.058141280109976,0.0475210952851125,-0.0128436617097809,0.0532642707705334,0.0274720196902668,0.1304674563845632,0.0148095436629911,-0.128577556349547,0.0382172364012289,0.0249034218374986,-0.0442768045766483,0.1144711408205712,0.0775445384637391,0.1064592259124867,0.0047621030717087,0.0398114858254147,-0.0896567354827718,0.153896620101019,0.0037204878111867,0.0539695182403096,0.0435318027828999,0.054768147284678,0.0706638697385422,-0.0393452760810033,-0.024518948361027,0.0127450001082913,0.0834239382493158,0.1525837820163137,-0.008079669832686,-0.013657377764901
Bill Bell,-0.0861479195875725,-0.0942379323547442,0.1236770575173985,-0.0389755862763455,-0.074280225905119,-0.0038162214647071,-0.0841858523757478,0.003915091259202,-0.0380165004616911,-0.0371004096368627,0.0090791436074257,-0.0544467864321494,0.0161036024913149,0.0134629133793572,-0.0282224828323973,0.0700854336329187,-0.0020869689516073,-0.069298820556856,-0.0460075140408372,0.129520964899347,0.0033649021450055,0.0499789921733055,-0.0140561433317959,0.0246884027460601,-0.0649765150989496,-0.036263093030168,0.0962500546905964,0.0672074787314891,0.0595891877347341,-0.0405010645115619,0.0310399028900305,0.023478622845887,0.0349364915267821
Bill Capece,-0.0472991760645535,-0.0753515276937621,-0.0560407029884659,-0.0418797871461892,-0.0408085263550982,0.0066611894684029,0.0686870898155882,-0.0758432719817762,-0.2521036166502617,0.0899759332627304,-0.0323012538972445,0.0869649170653987,0.084082607781564,-0.0701143339483071,-0.0409577109168681,0.0147892615137399,0.0924637204698606,-0.0190908504429025,0.0802112028130668,0.0603884558179515,-0.0067852620283946,0.0221017731587887,0.06827515792047,0.058525444296711,-0.0555377925075314,0.0596601859877917,-0.0019804193700433,-0.0086726695701243,-0.0443077989649812,0.0760078918853083,-0.0157946484321126,0.0254115111743404,-0.0230237075017147
Bill Gramatica,-0.0294588005285947,-0.06576022688629,-0.1078247949280722,-0.0364998533591228,0.0471199747715304,0.0822413928601675,0.003214158965815,-0.0008793553709814,0.1318468546229689,0.0026219703649795,-0.0716991461967252,-0.0142408214930333,-0.0264820405634918,0.0129742514287575,0.1796278068651177,-0.0136866153965366,-0.0702288018670307,0.0485700702350965,-0.01598552442043,-0.1429992104564863,0.0177003574120527,0.0448223692647007,-0.0664089680900717,-0.0106887391109647,0.0613031425565576,-0.0824036675967854,-0.0132331809639581,-0.075973016542398,0.0337867197960951,0.0273114507530921,-0.0458031984105829,0.0933024331196588,-0.0743041957308618
