PLAYER NAME,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
A J Feeley,-0.0334618437396649,0.0376626545847862,-0.0200279460970647,-0.0363162303915499,0.0134695855462899,0.011014335876011,-0.0565205671529801,0.05469069152082,-0.063287532973232,0.0241512073489767,-0.0723695903811117,0.0147966571910279,-0.0774073188695478,0.0001286022256651,0.0401908984966075,0.0172228535125018,-0.07176387559617,0.0461378607711097,-0.0097048279618459,0.0349486256552609,-0.0796253386935209,0.1155599514185322,-0.0328244860157718,0.0214481865812757,-0.0022855558491006,0.0025933909428835,-0.0094708881269317,0.0848350631221349,-0.0597584685114191,0.0281921214613094,-0.0248822690458387,0.0236795913463198,0.0028316619502398,-0.0278817300233119,0.0092879228010336,0.009297488216786,0.0417073465093833,-0.0293578110092989,-0.0821121548592322,-0.0867725812437157,0.0834298393000977,-0.0454392094688895,-0.0042027122691372,-0.0065530502179823,-0.0286841699049199,0.0649417884270579,-0.0211488368024165
Aaron Brooks,0.0971850434450114,-0.0756269448586809,0.0264302771239328,0.0105423298436382,-0.0120102251689486,0.1009815976154874,0.0423175321101611,-0.0156246602818954,0.0033037280119229,0.0825281908122613,-0.0025150713954815,-0.0223772197674046,0.0026838061119507,0.0745499349916191,0.0295630741761688,-0.04744039936904,0.0581605883742736,0.0956701835919536,0.0777870774703539,-0.0228840895629651,-0.0289252684489719,-0.0372562043021713,-0.0818349584834027,0.0182548222486617,-0.0689981787247476,-0.0458383890435699,-0.0489107573923743,-0.0815169213436725,-0.0409606019680814,-0.0368143350896049,0.009726760860135,0.0058950545060093,-0.0721120237385821,-0.0230106881733454,-0.0052308308456967,-0.0941374089832085,-0.0086334340834462,0.0262533330638105,-0.0002061286906846,0.0818906092280155,0.0192082927795822,0.0116370075947694,0.0075537831659752,-0.0141641410589156,-0.0516266716062972,0.1121642384541154,0.0309778968696984
Akili Smith,-0.0023370319062702,-0.0348534572077999,0.07892710590714,-0.0104584219905174,-0.0307981902674031,0.0120834592300333,0.0491509648625363,-0.0384642256205841,-0.0187734614989448,-0.0060607458242482,0.0398200014281877,0.075941268538568,-0.0141396753540792,0.0505742027260386,0.0604207859471056,-0.0065043092125189,0.0309696484540274,0.0182724678122706,-0.0748375916780845,0.0109066012303297,-0.0059236428280838,0.0464989931370286,-0.0146695543650916,-0.0458142898079306,0.0594797486611397,-0.0110541196144284,0.113187679788348,-0.027217577320385,-0.0654896849217728,0.0852816954296049,-0.026527401760357,-0.0261199364212349,0.0283369589970049,-0.0200198008869418,0.0188223244315912,-0.0049356189211288,-0.0076334900808402,-0.016898482846456,0.0326581590738721,-0.0118572433005744,-0.0035417258771738,0.0161240611649245,0.0355596369926546,-0.0688244817131036,0.0195755185115498,-0.0620644172063051,-0.0399798415316651
Al Woodall,-0.0224767500345896,0.0306181712791351,-0.0036336499075126,0.0730216908025647,-0.0709210073150189,-0.0061076078634029,0.0162920473829649,0.0170703307060225,-0.0314253551751735,0.0332784559827632,0.024111731415324,0.0239318357084428,-0.0025829287324383,-0.0190767002488418,0.0148871790514814,0.0228631590759431,-0.0079207023245745,0.0102153459258158,-0.0571862618602512,0.0175034920178017,-0.0027894697033131,0.0328431882050468,-0.0078468244788355,-0.0270226886127711,-0.0388646910836427,0.0385142914858328,-0.0618068393561332,0.0039200488024931,-0.0324343765945417,-0.0498814007128867,-0.0232931062805542,-0.0512281294479157,0.0193361508893108,0.0421706917101019,-0.063328852876139,0.0406939764839178,0.0209296948550615,-0.0636457691433199,-0.00798086283803,0.0195538811099676,-0.0223438017357547,-0.0329180890194476,0.0115870670715657,0.0303870255032279,0.0166996564428241,-0.0159447896419962,0.0249033228158257
Alan Risher,-0.0588451420611343,-0.028729963010672,0.0483663363443063,0.0486089752753558,0.0287464164247487,0.0697650347040636,0.0153947419235589,-0.1243039446133712,-0.0240325469099877,-0.0354585446160901,0.0144608342946335,-0.0247459916592435,-0.0164660297308162,-0.0571139877323465,-0.0839595539887652,0.0750831375652646,0.0200956469477182,0.0058912954185973,-0.0114123367789082,-0.0334938025619783,-0.0366901271734194,-0.0262931459990688,0.0081263948729642,0.0278751101416865,-0.0057966099695965,-0.0730107863135164,-0.0149604241912274,0.0008024026475917,0.0172328807281441,0.0912416936269204,0.0100733348598193,-0.0011934556904926,-0.0109173462281584,0.0069553502678702,-0.0197757603552995,-0.0184807313041785,-0.0614665898091192,0.0020900104158935,0.0137847851221715,-0.0312752717637265,0.0242015184306597,-0.0480553672079089,-0.0395188631670578,-0.0107931942245879,0.0134171651992611,-0.0496643641314296,0.0034844506462999
Alex Smith,0.079978037991457,-0.076139711440146,0.0326986406732167,0.0695040910700812,0.0798819240163779,-0.0481181757897326,0.0008904836045627,0.0016779394485706,-0.1529598135673525,-0.0839541948647705,-0.057774010784572,0.1508866158428954,-0.0527824984514867,-0.1291481916035777,0.0535536680920965,-0.2059780737821237,0.0421380796435175,0.0022881013580607,-0.0348284723680789,-0.020872499171834,0.0568013785619377,-0.1440173454939156,0.0355847022105659,0.0281448424756826,-0.0067334631396865,0.0944679980157552,-0.0424245159062948,-0.0055993659275269,0.0712343775825011,-0.0128912802433991,0.0118551296312401,0.0724175243484733,0.1090850785974298,-0.0217735002839442,-0.1022300795544562,-0.0031572617695239,-0.0698604297171669,-0.0724699583408228,-0.0470777383387175,0.0267832451435896,0.0289509695743585,0.0139842567391137,-0.0259212934389669,0.1112532465443161,0.0128387169840043,-0.1028915979622932,-0.0123459207592758
Alex Tanney,-0.0687982842053102,0.0287332304213743,-0.0043755669780192,0.015983404474815,0.0245505577967682,0.0516601847105021,-0.0305078318213376,0.0579475463344417,-0.0187780958320305,0.0710664900680973,-0.0424963675594458,0.0199875760892439,-0.0121905766610138,0.0243091544456383,0.0180855512478819,0.023409467834741,-0.0088869563059167,0.0287892878120949,-0.0393516109135832,-0.0293373786156916,0.0404606331207915,-0.0280104096701573,-0.0208295227516288,0.0059313126927604,-0.0116571608952827,0.0468274944148875,-0.0269201637353379,0.0117638764904425,0.0253837134617583,-0.0105870443915134,0.0035004382841617,-0.0601782415538274,-0.0320882130449596,0.0144031939233532,0.0047185604653016,-0.0087566245673664,0.0276927239341866,-0.0226000425862838,-0.0094327721627441,0.0108328067990938,0.0223162699187891,0.0154787153956267,0.0338998530660905,-0.0110386944810446,-0.0376580856363555,-0.0154447851042373,0.0008654470319709
Alex Van Pelt,-0.0351020432246809,-0.0107439875366987,-0.0381946359058552,-0.0436799071249762,0.0500920818854584,-0.0536377949643479,-0.0042934399671346,0.0351134546885943,0.0414790445899335,-0.0170138924431992,-0.0119846004433652,0.0071119089048179,0.0016214151507419,0.0443584241917342,-0.0106384144210372,0.0196785933142605,-0.0122684994260815,0.0709370645607254,-0.037613756263489,-0.0060585832987821,0.0116153344508428,0.0883712408765244,-0.0775604946797517,0.014862237762907,0.0276031841721463,0.0399467169879996,-0.0344331928822426,0.0487054342996519,-0.0674678749345424,0.0314916185882281,-0.0498434645808722,0.0278428541427712,0.0563584298227253,-0.0121939463143753,-0.0212138745421645,-0.0001908871391075,0.0486506381421719,0.0222675674500014,-0.0434250032081483,-0.0229081800595136,0.0117116658430752,0.0829915593575405,-0.0210785836777546,0.0496306293093901,-0.0915000788275565,-0.0315871309352628,-0.0761031190305076
Andre Ware,-0.0269772651806966,-0.0469778944367882,0.0643393334971761,0.0078534158130043,0.0028529679783463,0.0136075183515265,0.0369806684519109,-0.0677840871802287,-0.0483029623600411,-0.0078259854999663,0.0313112360844934,0.0078645965776494,-0.038870339221416,0.008848559475308,0.0111931123778475,-0.027578964173682,-0.002076726437683,-0.0391248776223985,-0.0555927354886649,0.0482212597774388,-0.0916262073184867,0.0407133184632964,0.0705616597275613,-0.1068745640234756,0.0045917147248551,0.051385662877967,0.0593455845791413,-0.0032750916652319,-0.0647001651794986,0.0083397964930127,-0.075641304883891,-0.0549218797927258,0.0385505902580824,-0.0320600356634053,0.0518495768112589,-0.0253458416728192,0.0549713999874633,-0.0133034423096261,0.0239913353090536,-0.0437486126301881,0.0036916233846678,0.0102277561527135,-0.0064203050509387,-0.0787335608249234,0.0345829261544682,0.0251517961864843,-0.0501052524281162
Andrew Luck,0.0911495769289087,0.0002813857444014,0.0609385260724923,0.011135820725938,-0.0672296811469654,0.0779462182812856,0.0849971867120816,-0.0105332543639977,-0.0210029116325838,0.0400015865120222,-0.0956095673378557,-0.0673518151532279,0.0658586404253493,0.0187246528571494,-0.009413306924115,-0.0278244151595344,0.0368378737311606,-0.0077649026209076,0.0035654434472661,-0.0009590264472476,0.0237286491040473,0.0605413809459736,-0.1149759284328575,0.0660125108709123,0.1736940195855016,0.0455014484224225,0.086965164001415,-0.1253692272307064,-0.0583721179375869,-0.0847352411676641,-0.0011610632740208,-0.0170868883117418,-0.0328378565991738,0.0462588322873634,0.0152827554832282,0.074550901544661,-0.0744138176968874,-0.0045323547975329,-0.062785767008897,-0.0165255538459135,-0.0190482628932822,-0.0220452442267197,-0.0032955234904624,-0.0175008115859039,-0.0838854273258621,0.1465395917406541,0.0962997291225807
