PLAYER NAME,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
A B Brown,-0.0221666326858128,0.0033859395011974,-0.0131245662511392,0.0092167846452876,-0.0136337809935544,-0.0225934225005385,0.0239276665530302,0.0024545687302871,0.0111778300668558,0.0013199851231099,-0.0004087173095673,0.0053621575712928,-0.0002669040162054,-0.0093971514231419,-0.0053692749841776,-0.0071019415540511,0.0002218323552492,0.0004313691275052,-0.0008825933699593,0.0066249430852509,0.0024580091556856,0.0027861748586407,0.0103257475864895,-0.0008018726495224,-0.0045763241722024,0.0006916217447819,0.0038309842825848,0.0014675340089001,0.0016576843989454,-0.0012775805203081,0.0023456369256307
A J Derby,-0.0058391768071172,-0.0160956933898306,0.0179673963235483,-0.0003147058448878,-0.0079474499768867,-0.018623089045969,-0.0392783116824278,0.0089511046295349,-0.0184877376953726,-0.0196967017464814,-0.0064743109985611,0.0049103018656903,-0.0138496880785122,-0.016408903014812,0.0080258303526631,-0.0099426592064388,-0.0021029239061945,-0.0168323116042827,0.0112774565660208,-0.017850371697538,0.0160683979873245,0.0009196979214692,-0.025243879791937,0.0045721515990217,0.0106313746386576,0.0059514646639469,0.0084480537172613,-0.0221460925463004,-0.0002628713878375,0.0121485057697634,0.0096088158849655
A J Dillon,-0.001479191051156,-0.0278406638328056,0.0139968367065776,-0.0227052037812771,-0.0079928602066552,-0.0127953751107887,-0.0183014422510553,0.0030499585755696,-0.0105945656033114,-0.0321285832895873,0.0254191640825174,-0.0170501102451535,0.0104864166002678,0.0031218402902126,0.0216942047003504,-0.0128228656628497,0.0107977881122086,0.0207725991964325,0.0040616841418798,-0.001590220612915,-0.0166824867989263,0.0001317358903877,0.0059170051213529,-0.0162021129585137,-0.0094217311016222,0.0036285996273943,-0.0080878217034533,-0.0241108933204767,0.0101152862783486,-0.0137814351519404,-0.0247761050436071
A J Green,0.070842939655431,-0.0345366860153873,-0.0389128267966162,0.1033725146368897,-0.0164052179281542,0.012074161972879,0.02844355563381,-0.017356502611734,0.0207507036960523,0.0046524475556122,0.0115065540494192,0.0502255430628698,-0.0144844887242928,-0.0776503442530913,0.0383250186282857,0.0711789993688772,0.0062830283828948,-0.0234528302279465,0.0486150607570806,0.0324718782717636,-0.0063403295851579,0.0365560135116106,-0.0583422045277383,-0.0825402081038747,0.0444888529891506,-0.0589167342285328,-0.0268297969683354,-0.0148478696630796,-0.0889117430222091,-0.0005965217234473,0.0168007425721176
A J Jenkins,-0.0166713293693523,-0.0018683790607394,0.0102022572214245,-0.001895611819029,-0.0154209932134498,-0.0108890884146042,0.0123312995856269,0.0036932744787877,0.00657020740525,-0.0085389862665072,-0.0225456038181192,0.0055286882717225,0.0204775725016514,-0.0191944764535541,0.0100363894146059,-0.0028248270807823,0.0075826276322713,-9.326068439201636e-05,-0.0024890525008311,0.0087050820399817,0.0061291386251375,-0.0079601029987405,0.0050485206205292,-0.005317471253211,-0.0026576681121513,0.0009929489031192,0.0045116567256529,0.0176798971853808,-0.0024160846666783,0.0036567977081231,0.0101496528546114
Aaron Bailey 2,-0.0013455907282011,0.014399141434611,0.0369231644981257,-0.0111188043596284,-0.0011832271127152,0.0058713270112738,-0.0140935013943261,-0.0047056414795348,0.0135909897526442,0.0118132057317302,-0.0071857162910963,0.0130662415249975,-0.0053896941475659,-0.01048754164882,0.0140231033327558,-0.0017628258059369,0.0110006628204631,-0.0078776448475113,-0.004162624365079,0.0015721757369061,-0.0172014152032255,-0.0044516152415421,0.0104030945214303,-0.0008982269449663,-0.0019334502897286,-0.0024997177836776,0.0019300613987275,-0.0035259501389111,-0.0084332973935921,-0.0062585817856132,-0.0311059722100092
Aaron Brown,-0.0133151919618974,-0.0153467631533194,0.0098824800413701,0.0073041789142834,-0.0063450245545737,0.0039719312554081,0.0034661035231387,0.0109213393506795,-0.0166873903034445,-0.0035519814897178,0.0049264079181585,-0.0061043064855846,-0.0003060240855231,0.0050471843050909,0.0059437003810935,-0.0061352661484646,-0.0112643741516305,0.0015144489893486,0.006617221398677,-0.0068320881942093,0.0087552712215756,-0.019489335041215,0.0022312334018919,-0.0033917778250981,0.0038247253422322,-0.0006451256219986,-0.0054216658217382,0.0238664305236159,-0.0030281641951281,0.0019263379967102,0.0012269200484725
Aaron Cox,0.0122694435906828,0.0172112794944309,0.020304638763334,0.0446916312946829,0.0161736116110933,0.0071016630504446,-0.0272093200564598,-0.0091776906759763,0.0001300095424111,-0.005305891209006,0.0266133360035816,-0.013089807523564,0.0227765555400488,-0.0240629665333034,0.0256934332136593,0.0317038729365259,-0.0161023639564864,-0.0158458772415455,0.0190890969885862,0.0293651873460787,-0.0415221281391064,0.0242817599196766,-0.0114937369429611,0.0053202474286852,-0.0389101566165764,0.036509889782684,0.0022322372189935,-0.0075575337600162,-0.0064264795191598,-0.0148973860373039,0.0299605749057993
Aaron Craver,-0.0062117809453388,0.0121150492146574,-0.0124635981335929,-0.011047023962524,0.0113422670764794,-0.0159457844302857,-0.004875224852049,0.0071869426629345,0.0231077231823948,-0.0058629210756633,-0.030330931484415,0.0113017546742852,-0.0036533031722289,0.0145088957746569,-0.0185628693237761,0.0266743124172554,-0.0112315387916075,-0.0068224215170088,0.0186308843626149,-0.0140806863221034,0.0096937263214085,0.0148506243800947,0.0040174235178682,-0.0153218819600408,-0.0160102007436504,0.013409864391358,0.0024621033303707,0.0075348037189392,-0.0194882425949326,-0.0219506955403983,-0.0320821625259283
Aaron Dobson,0.0047910828877997,-0.0156923488949976,0.0220118736180112,0.0253778955608103,-0.0175722932790048,0.0092050853028954,-0.0316919424867766,0.0258814557609653,0.0096169259465211,-0.0036491608224275,-0.0017976257170277,0.005697113908662,0.0063950157290764,0.0013841848518775,-0.027682366851473,0.003385086907524,-0.0110209233382685,0.0024397037871011,0.0249625308389345,0.0056425258499493,0.0301001591839333,-0.0160121988425911,-0.0161060110569348,-0.0042870746439558,0.0048803185935885,0.0159893307057851,-0.0005706286678284,0.0156616636876778,-0.0037566270593699,-0.0028322150993972,0.0089720640784288
