Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Mike Clark,54/54,17/29,--,--,--,--,--,50,105
Lou Michaels,48/50,18/28,--,--,--,--,--,0,102
Mac Percival,25/25,25/36,--,--,--,--,--,0,100
Don Cockroft,46/48,18/24,--,--,--,--,--,0,100
Fred Cox,31/32,19/29,--,--,--,--,--,45,88
Bruce Gossett,37/37,17/31,--,--,--,--,--,0,88
Jim Bakken,40/40,15/24,--,--,--,--,--,0,85
Charlie Durkee,27/27,19/37,--,--,--,--,--,42,84
Pete Gogolak,36/36,14/24,--,--,--,--,--,0,78
Sam Baker,17/21,19/30,--,--,--,--,--,44,74
Charlie Gogolak,30/31,9/19,--,--,--,--,--,0,57
Tommy Davis,26/26,9/16,--,--,--,--,--,0,53
Bob Etter,17/19,11/21,--,--,--,--,--,42,50
Booth Lusteg,26/29,8/20,--,--,--,--,--,0,50
Mike Mercer,12/14,7/12,--,--,--,--,--,45,33
Jerry DePoyster,18/20,3/15,--,--,--,--,--,0,27
Wayne Walker,6/6,6/14,--,--,--,--,--,0,24
Jerry Kramer,9/10,4/9,--,--,--,--,--,38,21
Dennis Patera,10/13,2/8,--,--,--,--,--,0,16
Chuck Mercein,7/7,2/5,--,--,--,--,--,21,13
Errol Mann,4/4,0/3,--,--,--,--,--,0,4
Bill Shockley,2/3,0/1,--,--,--,--,--,0,2
