Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Ka'imi Fairbairn,16,39/41,37/42,1/1,9/9,11/11,12/15,4/6,54,150
Justin Tucker,16,36/37,35/39,0/0,12/12,9/9,9/11,5/7,56,141
Harrison Butker,16,65/69,24/27,0/0,9/9,7/7,6/7,2/4,54,137
Wil Lutz,16,52/53,28/30,1/1,5/5,9/9,11/12,2/3,54,136
Stephen Gostkowski,16,49/50,27/32,0/0,11/11,10/10,4/6,2/5,52,130
Jason Myers,16,30/33,33/36,0/0,4/4,13/14,10/11,6/7,56,129
Aldrick Rosas,16,31/32,32/33,0/0,9/9,13/13,6/6,4/5,57,127
Robbie Gould,16,27/29,33/34,0/0,9/9,13/13,9/10,2/2,53,126
Mason Crosby,16,34/36,30/37,0/0,4/4,10/11,11/15,5/7,53,124
Brett Maher,16,32/33,29/36,0/0,10/10,6/8,7/11,6/7,62,119
Greg Zuerlein,11,35/36,27/31,0/0,9/9,10/10,4/6,4/6,56,116
Matt Prater,16,30/30,28/32,0/0,8/8,12/12,5/7,3/5,54,114
Sebastian Janikowski,16,48/51,22/27,0/0,2/2,9/11,8/9,3/5,56,114
Adam Vinatieri,16,44/47,23/27,0/0,8/8,6/7,5/6,4/6,54,113
Jake Elliott,16,33/35,26/31,0/0,7/7,10/11,7/8,2/5,56,111
Cody Parkey,16,42/45,23/30,0/0,6/6,7/10,9/12,1/2,50,111
Ryan Succop,16,28/31,26/30,0/0,5/6,13/13,5/7,3/4,54,106
Dustin Hopkins,16,25/26,26/29,0/0,5/5,7/7,10/12,4/5,56,103
Randy Bullock,16,39/41,19/23,0/0,4/4,7/8,6/6,2/5,51,96
Brandon McManus,16,35/35,20/25,0/0,5/5,6/6,7/7,2/7,53,95
Dan Bailey,14,30/31,21/28,0/0,5/6,11/11,4/9,1/2,52,93
Matt Bryant,13,33/35,20/21,0/0,4/4,5/5,7/7,4/5,57,93
Stephen Hauschka,16,25/26,22/28,0/0,3/3,8/8,7/10,4/7,54,91
Jason Sanders,16,35/36,18/20,0/0,7/7,3/3,7/9,1/1,50,89
Chris Boswell,15,43/48,13/20,0/0,3/3,4/6,5/10,1/1,50,82
Chandler Catanzaro,13,30/35,16/20,0/0,4/4,9/10,0/3,3/3,59,78
Greg Joseph,14,25/29,17/20,0/0,4/4,7/7,5/7,1/2,51,76
Josh Lambo,13,19/20,19/21,0/0,4/4,8/8,3/4,4/5,57,76
Daniel Carlson,12,24/24,17/21,0/0,2/2,3/4,9/12,3/3,50,75
Graham Gano,12,30/33,14/16,0/0,3/3,4/5,4/4,3/4,63,72
Michael Badgley,10,27/28,15/16,0/0,4/4,5/5,5/5,1/2,59,72
Cairo Santos,9,22/23,14/18,1/1,4/4,6/6,3/6,0/1,45,64
Caleb Sturgis,6,9/15,9/13,0/0,4/4,2/2,3/6,0/1,49,36
Zane Gonzalez,7,8/11,9/14,0/0,1/1,4/4,2/4,2/5,55,35
Matthew McCrane,5,9/9,8/12,0/0,3/3,2/2,3/5,0/2,47,33
Phil Dawson,10,15/15,5/8,0/0,2/2,2/2,1/3,0/1,43,30
Giorgio Tavecchio,3,8/8,5/5,0/0,1/1,0/0,2/2,2/2,56,23
Mike Nugent,3,4/5,6/6,0/0,3/3,0/0,2/2,1/1,52,22
Kai Forbath,3,3/3,4/5,0/0,2/2,1/1,1/1,0/1,41,15
Sam Ficken,2,10/10,1/3,0/0,0/1,1/1,0/1,0/0,34,13
Johnny Hekker,16,1/1,1/1,0/0,1/1,0/0,0/0,0/0,20,4
