Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Fred Cone,30/30,16/24,--,--,--,--,--,0,78
Lou Groza,44/45,11/22,--,--,--,--,--,0,77
George Blanda,37/37,11/16,--,--,--,--,--,0,70
Les Richter,30/31,13/24,--,--,--,--,--,0,69
Ben Agajanian,32/33,10/15,--,--,--,--,--,0,62
Bert Rechichar,25/26,10/24,--,--,--,--,--,0,55
Doak Walker,27/29,9/16,--,--,--,--,--,0,54
Dick Bielski,23/24,9/23,--,--,--,--,--,0,50
Pat Summerall,23/25,8/19,--,--,--,--,--,0,47
Vic Janowicz,28/31,6/20,--,--,--,--,--,0,46
Gordie Soltau,27/30,3/12,--,--,--,--,--,0,36
Tad Weed,12/12,3/6,--,--,--,--,--,0,21
Art Michalik,9/15,1/12,--,--,--,--,--,0,12
Bobby Walston,6/7,2/3,--,--,--,--,--,0,12
Bud McFadin,0/0,1/5,--,--,--,--,--,0,3
Dave Mann,0/2,1/1,--,--,--,--,--,0,3
Gary Kerkorian,0/0,1/2,--,--,--,--,--,0,3
Norb Hecker,2/2,0/1,--,--,--,--,--,0,2
Charlie Conerly,1/1,0/0,--,--,--,--,--,0,1
Jim Martin,0/0,0/1,--,--,--,--,--,0,0
Lamar McHan,0/2,0/0,--,--,--,--,--,0,0
Tom Keane,0/0,0/1,--,--,--,--,--,0,0
Tom Fears,0/0,0/3,--,--,--,--,--,0,0
