Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
John Kasay,16,34/35,37/45,2/2,14/14,11/12,7/10,3/7,53,145
Cary Blanchard,16,27/27,36/40,1/1,11/11,8/9,11/14,5/5,52,135
Al Del Greco,16,35/35,32/38,0/0,7/7,14/16,10/12,1/3,56,131
Jeff Wilkins,16,40/40,30/34,0/0,16/16,7/8,7/10,0/0,49,130
Chris Boniol,16,24/25,32/36,1/1,13/13,12/13,5/7,1/2,52,120
Adam Vinatieri,16,39/42,27/35,1/1,9/10,8/8,8/14,1/2,50,120
Scott Blanton,16,40/40,26/32,2/2,13/13,7/7,2/7,2/3,53,118
John Carney,16,31/31,29/36,0/0,11/13,8/8,7/12,3/3,53,118
Mike Hollis,16,27/27,30/36,2/2,9/9,12/14,5/8,2/3,53,117
Gary Anderson,16,40/40,25/29,0/0,10/11,8/9,7/9,0/0,46,115
Chris Jacke,16,51/53,21/27,0/0,6/6,9/11,5/9,1/1,53,114
Todd Peterson,16,27/27,28/34,0/0,11/13,7/7,8/11,2/3,54,111
Doug Pelfrey,16,41/41,23/28,1/1,7/7,10/11,5/9,0/0,49,110
Jason Elam,16,46/46,21/28,2/2,8/8,4/5,6/10,1/3,51,109
Cole Ford,16,36/36,24/31,0/0,9/11,10/11,5/8,0/1,47,108
Norm Johnson,16,37/37,23/30,0/0,10/12,8/10,5/7,0/1,49,106
Steve Christie,16,33/33,24/29,0/0,5/6,12/14,7/8,0/1,48,105
Morten Andersen,16,31/31,22/29,0/0,5/5,9/11,7/8,1/5,54,97
Scott Sisson,16,30/30,22/29,0/0,8/8,11/14,3/7,0/0,44,96
Brad Daluiso,16,22/22,24/27,2/2,10/10,9/9,3/6,0/0,46,94
Michael Husted,16,18/19,25/32,2/2,7/8,8/11,7/8,1/3,50,93
Chip Lohmiller,15,28/29,21/25,1/1,11/11,4/5,4/7,1/1,50,91
Matt Stover,16,34/35,19/25,0/0,8/8,5/6,5/10,1/1,50,91
Joe Nedney,16,35/36,18/29,1/1,7/7,7/11,3/8,0/2,44,89
Pete Stoyanovich,16,34/34,17/24,1/1,7/8,5/7,4/7,0/1,45,85
Doug Brien,16,18/18,21/25,0/0,4/4,9/10,5/7,3/4,54,81
Jeff Jaeger,13,23/23,19/23,0/0,4/4,3/4,12/15,0/0,49,80
Nick Lowery,16,26/27,17/24,0/0,9/9,6/7,2/8,0/0,46,77
Jason Hanson,16,36/36,12/17,0/0,4/4,4/5,3/5,1/3,51,72
Kevin Butler,7,17/19,14/17,1/1,6/6,5/8,2/2,0/0,41,59
Greg Davis,9,12/12,9/14,0/0,7/9,1/2,1/3,0/0,49,39
Carlos Huerta,4,5/5,4/7,0/0,0/0,3/5,1/2,0/0,42,17
