Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
John Carney,16,33/33,34/38,0/0,12/12,15/15,5/9,2/2,50,135
Fuad Reveiz,16,30/30,34/39,0/0,13/13,12/13,8/10,1/3,51,132
Jason Elam,16,29/29,30/37,0/0,11/11,11/11,7/12,1/3,54,119
Matt Bahr,16,36/36,27/34,0/0,14/14,9/12,4/8,0/0,48,117
Morten Andersen,16,32/32,28/39,0/0,9/9,11/14,8/10,0/6,48,116
Chris Boniol,16,48/48,22/29,3/3,3/4,10/12,6/9,0/1,47,114
Matt Stover,16,32/32,26/28,1/1,7/7,10/11,8/8,0/1,45,110
Steve Christie,16,38/38,24/28,0/0,11/12,6/7,5/7,2/2,52,110
Doug Pelfrey,16,24/25,28/33,1/1,8/8,8/10,9/10,2/4,54,108
Pete Stoyanovich,16,35/35,24/31,1/1,8/8,6/10,8/10,1/2,50,107
Doug Brien,16,60/62,15/20,1/1,4/4,5/6,5/8,0/1,48,105
Lin Elliott,16,30/30,25/30,3/3,15/17,4/6,3/4,0/0,49,105
Gary Anderson,16,32/32,24/29,1/1,7/8,8/9,7/9,1/2,50,104
Chris Jacke,16,41/43,19/26,1/1,11/11,4/6,2/5,1/3,50,98
Jeff Jaeger,16,31/31,22/28,1/1,5/5,6/9,8/11,2/2,51,97
Eddie Murray,16,33/33,21/25,1/1,8/8,10/10,2/6,0/0,42,96
Norm Johnson,16,32/32,21/25,0/0,9/9,7/7,4/4,1/5,50,95
Jason Hanson,16,39/40,18/27,0/0,6/7,7/7,5/8,0/5,49,93
Chip Lohmiller,16,30/32,20/28,0/0,9/11,5/6,5/8,1/3,54,90
Michael Husted,16,20/20,23/35,0/0,8/8,10/12,4/10,1/5,53,89
Kevin Butler,15,24/24,21/29,1/1,7/7,6/9,5/8,2/4,52,87
Nick Lowery,16,26/27,20/23,0/0,8/8,6/7,6/8,0/0,49,86
John Kasay,16,25/26,20/24,1/1,1/1,11/11,6/9,1/2,50,85
Dean Biasucci,16,37/37,16/24,1/1,5/5,3/7,5/9,2/2,50,85
Tony Zendejas,16,28/28,18/23,2/2,9/9,6/7,1/5,0/0,47,82
Greg Davis,14,17/17,20/26,0/0,10/11,3/4,6/7,1/4,51,77
Al Del Greco,16,18/18,16/20,0/0,4/5,4/4,7/8,1/3,50,66
David Treadwell,13,22/23,11/17,1/1,5/5,4/7,1/4,0/0,41,55
Brad Daluiso,16,5/5,11/11,2/2,1/1,5/5,2/2,1/1,52,38
Todd Peterson,2,4/4,2/4,0/0,1/1,1/1,0/2,0/0,35,10
Pat O'Neill,16,0/0,0/1,0/0,0/0,0/0,0/1,0/0,0,0
