Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Fred Cox,44/44,23/35,--,--,--,--,--,53,113
Tommy Davis,52/53,17/27,--,--,--,--,--,0,103
Lou Michaels,48/48,17/28,--,--,--,--,--,0,99
Jim Bakken,33/33,21/31,--,--,--,--,--,0,96
Lou Groza,45/45,16/25,--,--,--,--,--,0,93
Don Chandler,37/38,17/26,--,--,--,--,--,49,88
Danny Villanueva,37/38,16/27,--,--,--,--,--,41,85
Roger LeClerc,52/52,11/26,--,--,--,--,--,0,85
Bruce Gossett,30/32,15/26,--,--,--,--,--,0,75
Sam Baker,38/40,9/23,--,--,--,--,--,39,65
Bob Jencks,29/33,10/22,--,--,--,--,--,0,59
Wayne Walker,33/33,8/22,--,--,--,--,--,0,57
Mike Clark,19/24,11/19,--,--,--,--,--,0,52
Bob Timberlake,21/22,1/15,--,--,--,--,--,0,24
Andy Stynchula,12/13,3/7,--,--,--,--,--,0,21
Dave Lloyd,7/7,1/2,--,--,--,--,--,42,10
Chuck Mercein,0/0,0/2,--,--,--,--,--,0,0
Jerry Hillebrand,0/0,0/1,--,--,--,--,--,0,0
