Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Fred Cox,43/43,26/37,7/7,7/7,8/11,4/10,0/2,48,121
Mike Clark,43/44,20/36,7/8,6/7,4/6,3/11,0/4,47,103
Bruce Gossett,36/36,22/34,7/7,8/8,6/7,1/11,0/1,44,102
Errol Mann,26/26,25/37,5/6,9/10,7/11,3/8,1/2,50,101
Tom Dempsey,33/35,22/41,5/6,6/7,3/6,7/11,1/11,55,99
Curt Knight,35/36,16/27,7/8,4/5,5/7,0/5,0/2,38,83
Don Cockroft,45/45,12/23,0/0,7/8,3/8,2/6,0/1,45,81
Sam Baker,31/31,16/30,4/6,2/3,4/6,6/13,0/2,47,79
Bob Etter,33/33,15/30,6/6,5/5,4/8,0/9,0/2,34,78
Lou Michaels,33/34,14/31,5/5,3/3,3/9,3/11,0/3,49,75
Jim Bakken,38/40,12/24,2/2,4/8,3/4,3/7,0/3,46,74
Pete Gogolak,33/33,11/21,3/3,4/5,1/4,3/8,0/1,45,66
Gene Mingo,26/26,12/26,5/6,1/4,4/7,2/9,0/0,41,62
Mac Percival,26/26,8/21,1/2,3/6,4/8,0/3,0/2,38,50
Mike Mercer,23/23,5/17,2/2,1/3,1/7,1/5,0/0,48,38
Momcilo Gavric,22/24,3/11,0/0,2/3,1/2,0/5,0/1,32,31
Tommy Davis,13/13,3/10,2/2,1/2,0/2,0/4,0/0,29,22
Booth Lusteg,12/12,1/5,0/0,1/1,0/1,0/2,0/1,28,15
