Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
David Ray,14,40/42,30/47,9/10,7/9,9/16,5/11,0/1,48,130
Roy Gerela,14,36/37,29/43,9/10,10/12,5/9,5/12,0/0,49,123
Garo Yepremian,14,38/38,25/37,5/5,8/10,6/9,5/9,1/4,53,113
Nick Mike-Mayer,14,34/34,26/38,5/5,7/10,6/9,7/12,1/2,52,112
Jim Turner,14,40/40,22/33,5/5,5/5,8/9,3/9,1/5,50,106
Tom Dempsey,14,34/34,24/40,7/7,4/7,7/11,4/9,2/6,51,106
Bruce Gossett,14,26/26,26/33,4/4,9/12,8/9,4/7,1/1,54,104
Curt Knight,14,37/37,22/42,8/8,5/7,6/13,3/9,0/5,42,103
George Blanda,14,31/31,23/33,10/10,7/8,3/4,3/11,0/0,49,100
Jim Bakken,14,31/31,23/32,4/4,6/7,10/12,3/8,0/1,46,100
Toni Fritsch,13,43/43,18/28,10/10,6/7,2/6,0/3,0/2,37,97
Fred Cox,14,33/33,21/35,7/7,7/9,4/7,3/10,0/2,41,96
Horst Muhlmann,14,31/32,21/31,5/5,6/7,5/9,4/6,1/4,51,94
Jan Stenerud,14,21/23,24/38,5/6,3/4,8/10,8/15,0/3,47,93
John Leypoldt,14,27/27,21/30,7/7,3/5,5/6,4/8,2/4,52,90
Don Cockroft,14,24/24,22/31,4/4,7/8,4/7,7/11,0/1,45,90
Chester Marcol,14,19/20,21/35,7/7,4/6,8/12,2/7,0/3,46,82
Bobby Howfield,14,27/27,17/24,4/4,5/6,5/7,3/6,0/1,44,78
Pete Gogolak,14,25/25,17/28,7/7,5/6,1/4,4/10,0/1,45,76
George Hunt,14,22/24,16/28,6/6,7/9,3/5,0/5,0/3,38,70
Skip Butler,14,21/21,15/24,4/4,2/2,6/8,3/8,0/2,49,66
Jeff White,11,21/25,14/25,6/8,2/3,3/5,3/7,0/2,48,63
Errol Mann,8,14/14,13/19,2/2,2/3,7/9,1/4,1/1,52,53
Bill McClard,8,9/9,13/24,2/2,5/6,4/5,2/10,0/1,43,48
Ray Wersching,14,13/15,11/25,4/4,5/6,2/5,0/8,0/2,39,46
Jim O'Brien,10,14/14,8/14,2/2,1/3,5/6,0/2,0/1,39,38
Mirro Roder,13,11/12,8/16,1/1,2/2,1/3,4/7,0/3,47,35
Mac Percival,4,10/10,6/8,4/4,0/0,2/3,0/1,0/0,33,28
Happy Feller,6,7/7,4/12,4/5,0/0,0/4,0/3,0/0,18,19
Dennis Partee,14,6/6,1/2,1/1,0/1,0/0,0/0,0/0,14,9
Bill Bell,3,4/5,1/4,0/0,0/0,1/3,0/0,0/1,36,7
Mike Clark,4,1/2,1/2,0/0,0/1,1/1,0/0,0/0,33,4
Marv Bateman,13,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0,1
