Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Lou Groza,32/32,15/22,--,--,--,--,--,0,77
Sam Baker,29/30,14/23,--,--,--,--,--,0,71
Paige Cothren,38/38,11/19,--,--,--,--,--,0,71
George Blanda,23/23,14/26,--,--,--,--,--,0,65
Ben Agajanian,32/32,10/18,--,--,--,--,--,0,62
Fred Cone,26/26,12/17,--,--,--,--,--,0,62
Gordie Soltau,33/33,9/15,--,--,--,--,--,0,60
Bobby Walston,20/21,9/12,--,--,--,--,--,0,47
Bobby Layne,25/25,6/11,--,--,--,--,--,0,43
Pat Summerall,24/26,6/17,--,--,--,--,--,0,42
Bert Rechichar,22/25,3/13,--,--,--,--,--,0,31
Jim Martin,5/5,7/14,--,--,--,--,--,0,26
Steve Myhra,14/16,4/6,--,--,--,--,--,0,26
Gary Glick,10/12,5/18,--,--,--,--,--,0,25
Dean Derby,3/3,2/4,--,--,--,--,--,0,9
Earl Girard,2/3,1/3,--,--,--,--,--,0,5
Paul Hornung,0/0,0/4,--,--,--,--,--,0,0
Len Dawson,0/2,0/1,--,--,--,--,--,0,0
Dick Bielski,0/0,0/2,--,--,--,--,--,0,0
