Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Rolf Benirschke,9,32/34,16/22,2/2,6/7,0/1,7/7,1/5,51,80
Mark Moseley,9,16/19,20/21,1/1,6/6,8/8,5/6,0/0,48,76
Nick Lowery,9,17/17,19/24,2/2,4/4,5/5,8/10,0/3,47,74
Bill Capece,9,14/14,18/23,0/0,10/11,5/6,1/3,2/3,51,68
Jim Breech,9,25/26,14/18,2/2,3/3,5/6,3/5,1/2,50,67
Uwe Von Schamann,9,21/22,15/20,0/0,8/9,4/5,3/5,0/1,47,66
Jan Stenerud,9,25/27,13/18,1/1,4/5,5/5,3/6,0/1,48,64
Chris Bahr,9,32/33,10/16,1/1,2/3,4/5,3/5,0/2,43,62
Ray Wersching,9,23/25,12/17,0/0,1/3,5/6,6/7,0/1,45,59
Pat Leahy,9,26/31,11/17,1/1,3/5,4/5,3/6,0/0,49,59
Rafael Septien,9,28/28,10/14,1/1,3/3,3/4,2/4,1/2,53,58
Joe Danelo,9,18/18,12/21,0/0,5/5,5/7,2/8,0/1,45,54
Gary Anderson,9,22/22,10/12,0/0,4/4,1/2,5/5,0/1,48,52
Mick Luckhurst,9,21/22,10/14,0/0,6/6,0/3,2/3,2/2,51,51
Mike Lansford,9,23/24,9/15,0/0,4/5,5/8,0/0,0/2,39,50
Eddie Murray,7,16/16,11/12,0/0,6/6,2/2,3/4,0/0,49,49
Rich Karlis,9,15/16,11/13,2/2,3/3,3/4,3/4,0/0,47,48
Rick Danmeier,9,23/23,8/14,0/0,4/5,1/2,3/6,0/1,43,47
Norm Johnson,9,13/14,10/14,0/0,3/4,5/6,2/3,0/1,48,43
Tony Franklin,9,23/25,6/9,0/0,1/1,1/1,4/5,0/2,47,41
Bob Thomas,4,9/9,10/12,1/1,0/0,4/5,5/5,0/1,46,39
Neil O'Donoghue,8,15/16,8/13,1/1,2/3,3/3,2/6,0/0,48,39
Matt Bahr,9,17/17,7/15,1/1,3/4,1/3,2/7,0/0,46,38
Efren Herrera,7,11/12,8/14,1/1,1/2,2/4,4/7,0/0,49,35
Florian Kempf,9,16/18,4/6,0/0,1/1,3/3,0/1,0/1,37,28
Danny Miller,5,9/10,6/11,0/0,3/3,0/4,2/3,1/1,58,27
Mike Wood,6,6/6,6/10,0/0,0/1,3/5,2/3,1/1,51,24
John Roveto,7,10/10,4/13,1/1,0/0,0/4,2/4,1/4,51,22
John Smith,4,6/7,5/8,0/1,2/2,2/2,1/3,0/0,42,21
Toni Fritsch,5,8/9,4/7,1/1,1/2,0/1,2/3,0/0,42,20
Morten Andersen,8,6/6,2/5,0/0,0/0,1/1,1/3,0/1,45,12
Rex Robinson,3,5/5,1/2,0/0,1/1,0/1,0/0,0/0,24,8
Nick Mike-Mayer,2,4/5,1/4,0/0,1/2,0/0,0/2,0/0,21,7
Russell Erxleben,9,1/1,0/1,0/0,0/1,0/0,0/0,0/0,0,1
Steve Cox,9,0/0,0/1,0/0,0/0,0/0,0/0,0/1,0,0
