Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Ray Wersching,16,56/56,25/35,1/1,8/8,8/11,7/13,1/2,53,131
Mark Moseley,16,48/51,24/31,1/1,9/10,12/13,1/5,1/2,51,120
Gary Anderson,16,45/45,24/32,0/0,8/9,6/9,8/11,2/3,55,117
Neil O'Donoghue,16,48/51,23/35,0/0,7/7,7/9,8/16,1/3,52,117
Paul McFadden,16,26/27,30/37,0/0,4/5,13/16,10/12,3/4,52,116
Mike Lansford,16,37/38,25/33,2/2,9/9,10/13,3/7,1/2,50,112
Norm Johnson,16,50/51,20/24,0/0,9/10,4/4,6/7,1/3,50,110
Tony Franklin,16,42/42,22/28,2/2,10/10,4/7,6/8,0/1,48,108
Nick Lowery,16,35/35,23/33,0/0,7/7,6/11,8/10,2/5,52,104
Jim Breech,16,37/37,22/31,0/0,9/10,10/12,3/4,0/5,48,103
Rafael Septien,16,33/34,23/29,2/2,6/7,9/9,4/8,2/3,52,102
Bob Thomas,16,35/37,22/28,3/3,6/7,5/6,6/9,2/3,52,101
Rich Karlis,16,38/41,21/28,1/1,6/7,7/8,6/9,1/3,50,101
Chris Bahr,16,40/42,20/27,1/1,7/7,4/7,7/11,1/1,50,100
Matt Bahr,16,25/25,24/32,3/3,12/12,2/7,6/9,1/1,50,97
Obed Ariri,16,38/40,19/26,0/0,7/7,6/7,6/10,0/2,49,95
Morten Andersen,16,34/34,20/27,0/0,9/9,4/5,5/10,2/3,53,94
Uwe Von Schamann,16,66/70,9/19,0/0,7/7,2/5,0/4,0/3,37,93
Rolf Benirschke,14,41/41,17/26,1/1,4/6,3/4,8/11,1/4,51,92
Mick Luckhurst,16,31/31,20/27,0/0,4/4,9/10,4/9,3/4,52,91
Eddie Murray,16,31/31,20/27,1/1,1/2,5/7,12/13,1/4,52,91
Jan Stenerud,16,30/31,20/23,2/2,3/3,9/9,3/5,3/4,54,90
Pat Leahy,16,38/39,17/24,2/2,5/6,7/8,2/5,1/3,52,89
Ali Haji-Sheikh,16,32/35,17/33,1/1,3/3,8/13,5/12,0/4,48,83
Al Del Greco,9,34/34,9/12,0/0,2/2,3/4,4/5,0/1,45,61
Raul Allegre,12,14/14,11/18,0/0,4/4,1/2,3/6,3/6,54,47
Joe Cooper,7,13/13,11/13,2/2,2/2,4/4,3/5,0/0,44,46
Joe Danelo,9,17/17,8/16,0/0,5/5,2/4,0/4,1/3,52,41
Florian Kempf,9,14/14,4/6,0/0,3/3,0/1,1/2,0/0,49,26
Chuck Nelson,7,14/14,3/5,0/0,0/0,1/2,2/3,0/0,47,23
Eddie Garcia,7,14/15,3/9,0/0,0/2,1/3,1/3,1/1,51,23
Dean Biasucci,15,13/14,3/5,0/0,1/1,0/0,1/1,1/3,50,22
Benny Ricardo,2,5/6,3/3,0/0,1/1,1/1,1/1,0/0,42,14
Steve Cox,16,0/0,1/3,0/0,0/0,0/0,0/0,1/3,60,3
