Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Jay Feely,16,42/43,32/40,0/0,8/10,12/14,11/13,1/3,52,138
David Akers,16,43/43,30/34,0/0,9/9,14/16,6/7,1/2,51,133
John Carney,16,37/37,31/35,0/0,9/9,11/13,11/12,0/1,48,130
Martin Gramatica,16,32/32,32/39,0/0,7/8,14/15,6/10,5/6,53,128
Sebastian Janikowski,16,50/50,26/33,0/0,10/11,7/8,7/12,2/2,51,128
Ryan Longwell,16,44/44,28/34,1/1,8/9,12/13,7/10,0/1,49,128
Jason Elam,16,42/43,26/36,1/1,9/9,7/9,5/11,4/6,55,120
Adam Vinatieri,16,36/36,27/30,0/0,6/6,12/12,8/10,1/2,57,117
Morten Andersen,13,51/51,22/26,0/0,6/6,10/10,5/9,1/1,50,117
Mike Hollis,16,40/40,25/33,0/0,7/8,8/10,7/10,3/5,54,115
Olindo Mare,15,42/43,24/31,0/0,13/14,2/3,7/11,2/3,53,114
Joe Nedney,16,36/36,25/31,0/0,9/9,10/12,5/8,1/2,53,111
Matt Bryant,16,30/32,26/32,2/2,7/7,14/19,3/4,0/0,47,108
Rian Lindell,16,38/38,23/29,1/1,9/9,8/10,4/5,1/4,52,107
John Hall,16,35/37,24/31,0/0,9/9,9/11,6/10,0/1,46,107
Mike Vanderjagt,16,34/34,23/31,1/1,7/8,6/7,6/12,3/3,54,103
Jose Cortez,14,34/34,23/32,0/0,11/13,8/9,4/10,0/0,45,103
Phil Dawson,16,34/35,22/28,0/0,9/10,6/8,5/7,2/3,52,100
Jason Hanson,16,31/31,23/28,0/0,8/8,8/9,7/8,0/3,49,100
Matt Stover,15,33/33,21/25,0/0,9/9,4/5,7/10,1/1,51,96
Paul Edinger,16,29/29,22/28,0/0,4/4,5/6,8/10,5/8,53,95
Jeff Wilkins,16,37/37,19/25,0/0,5/5,8/10,6/9,0/1,47,94
Gary Anderson,14,36/37,18/23,1/1,8/8,5/5,3/8,1/1,53,90
Steve Christie,16,35/36,18/26,0/0,8/8,5/6,4/9,1/3,53,89
Neil Rackers,16,30/32,15/18,2/2,5/5,3/3,3/5,2/3,54,75
Bill Gramatica,16,29/29,15/21,0/0,6/7,2/2,6/8,1/4,50,74
Kris Brown,16,20/20,17/24,0/1,3/3,1/1,11/14,2/5,51,71
Jeff Reed,6,10/11,17/19,0/0,5/5,5/5,6/7,1/2,50,61
Billy Cundiff,16,25/25,12/19,0/0,3/3,5/7,4/8,0/1,48,61
Todd Peterson,10,25/26,12/21,1/1,2/3,6/10,3/7,0/0,46,61
Shayne Graham,11,21/21,13/18,1/1,2/4,2/3,6/8,2/2,50,60
James Tuthill,11,20/21,10/16,0/0,3/3,4/7,2/5,1/1,53,50
Jeff Chandler,6,14/14,8/12,1/1,2/2,1/1,4/7,0/1,47,38
Tim Seder,5,11/11,8/12,0/0,4/4,2/3,2/4,0/1,43,35
Hayden Epstein,6,13/13,5/9,0/0,3/3,2/3,0/2,0/1,34,28
Danny Boyd,4,7/7,5/5,0/0,3/3,2/2,0/0,0/0,33,22
Doug Brien,6,5/7,5/6,0/0,3/3,1/1,1/2,0/0,42,20
John Kasay,2,5/5,2/5,0/0,2/2,0/0,0/2,0/1,27,11
Brett Conway,1,4/4,1/1,0/0,0/0,1/1,0/0,0/0,35,7
Michael Husted,6,3/3,1/1,0/0,0/0,1/1,0/0,0/0,38,6
Richie Cunningham,1,2/2,1/1,0/0,1/1,0/0,0/0,0/0,23,5
Jon Hilbert,1,3/3,0/2,0/0,0/0,0/1,0/1,0/0,0,3
J.R. Jenkins,7,0/0,0/1,0/0,0/0,0/0,0/0,0/1,0,0
