Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Lou Groza,37/38,16/24,--,--,--,--,--,0,85
Doak Walker,43/43,11/17,--,--,--,--,--,0,76
Ben Agajanian,35/35,13/25,--,--,--,--,--,0,74
Gordie Soltau,31/33,11/18,--,--,--,--,--,0,64
Les Richter,38/38,8/15,--,--,--,--,--,0,62
Fred Cone,27/29,9/16,--,--,--,--,--,0,54
Bobby Walston,36/39,4/10,--,--,--,--,--,0,48
George Blanda,22/22,8/16,--,--,--,--,--,0,46
Pat Summerall,21/23,8/18,--,--,--,--,--,0,45
Gary Kerkorian,11/12,5/10,--,--,--,--,--,0,26
Bill George,13/14,4/6,--,--,--,--,--,0,25
Paul Held,14/16,3/5,--,--,--,--,--,0,23
Vic Janowicz,9/9,4/8,--,--,--,--,--,0,21
Ralph Felton,16/17,1/2,--,--,--,--,--,0,19
Bert Rechichar,1/1,6/13,--,--,--,--,--,0,19
Ed Kissell,8/9,2/4,--,--,--,--,--,0,14
Nick Bolkovac,3/3,3/4,--,--,--,--,--,0,12
Joe Perry,6/7,1/3,--,--,--,--,--,0,9
Bob Carey,2/2,1/1,--,--,--,--,--,0,5
Jim Martin,0/0,1/6,--,--,--,--,--,0,3
Ken Konz,3/3,0/0,--,--,--,--,--,0,3
Pete Perini,1/1,0/0,--,--,--,--,--,0,1
Tom Fears,1/1,0/0,--,--,--,--,--,0,1
Jim Kincaid,1/1,0/0,--,--,--,--,--,0,1
Jack Crittendon,0/0,0/1,--,--,--,--,--,0,0
