Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Don Hutson,33/34,1/4,--,--,--,--,--,0,36
Frank Maznicki,21/22,4/5,--,--,--,--,--,0,33
Ward Cuff,18/18,3/11,--,--,--,--,--,0,27
Chet Adams,14/15,3/6,--,--,--,--,--,0,23
Bill Daddio,8/8,5/10,--,--,--,--,--,0,23
Lee Artoe,20/22,0/1,--,--,--,--,--,0,20
Bob Masterson,17/19,1/5,--,--,--,--,--,0,20
Merl Condit,10/10,3/6,--,--,--,--,--,0,19
Len Barnum,7/8,3/7,--,--,--,--,--,0,16
Armand Niccolai,9/9,2/14,--,--,--,--,--,0,15
Ted Fritsch,1/1,4/5,--,--,--,--,--,0,13
Dick Erdlitz,8/8,0/0,--,--,--,--,--,0,8
Jack Sanders,7/8,0/0,--,--,--,--,--,0,7
Augie Lio,5/5,0/4,--,--,--,--,--,0,5
Dick Poillon,2/2,1/2,--,--,--,--,--,0,5
Milt Simington,2/3,1/1,--,--,--,--,--,0,5
Joe Stydahar,5/8,0/0,--,--,--,--,--,0,5
Roy Zimmerman,1/1,1/1,--,--,--,--,--,0,4
Boyd Clay,4/4,0/0,--,--,--,--,--,0,4
Ted Pavelec,0/0,1/2,--,--,--,--,--,0,3
Steve Juzwik,3/3,0/0,--,--,--,--,--,0,3
Andy Farkas,3/3,0/0,--,--,--,--,--,0,3
Lou Brock,2/2,0/1,--,--,--,--,--,0,2
Dick Weisgerber,2/2,0/0,--,--,--,--,--,0,2
Dick Todd,2/3,0/0,--,--,--,--,--,0,2
Hank Soar,2/3,0/2,--,--,--,--,--,0,2
Pop Ivy,2/2,0/0,--,--,--,--,--,0,2
Dean McAdams,2/2,0/0,--,--,--,--,--,0,2
Thurman Jones,1/1,0/0,--,--,--,--,--,0,1
Steve Lach,1/1,0/0,--,--,--,--,--,0,1
Andy Uram,1/1,0/0,--,--,--,--,--,0,1
Ernie Steele,1/1,0/0,--,--,--,--,--,0,1
George Somers,1/1,0/1,--,--,--,--,--,0,1
Dick Riffle,1/1,0/0,--,--,--,--,--,0,1
Ray Graves,1/1,0/0,--,--,--,--,--,0,1
Joe Pasqua,1/1,0/0,--,--,--,--,--,0,1
Gary Famiglietti,0/1,0/0,--,--,--,--,--,0,0
George Smith,0/0,0/1,--,--,--,--,--,0,0
Andy Marefos,0/0,0/2,--,--,--,--,--,0,0
Ed Kasky,0/0,0/1,--,--,--,--,--,0,0
Andy Tomasic,0/1,0/0,--,--,--,--,--,0,0
Johnny Lascari,0/0,0/1,--,--,--,--,--,0,0
