Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Nick Folk,17,42/47,36/39,0/0,9/9,11/11,11/11,5/8,53,150
Daniel Carlson,17,30/33,40/43,0/0,10/11,12/12,12/13,6/7,56,150
Matt Gay,17,48/49,32/34,0/0,6/6,15/15,7/8,4/5,55,144
Justin Tucker,17,32/32,35/37,0/0,7/7,9/9,13/15,6/6,66,137
Matt Prater,17,47/49,30/37,0/0,11/11,9/11,3/5,7/10,62,137
Tyler Bass,17,51/51,28/32,0/0,15/15,7/8,4/5,2/4,57,135
Chris Boswell,17,27/29,36/40,0/0,9/9,8/9,11/13,8/9,56,135
Greg Joseph,17,36/40,33/38,0/0,8/8,11/12,7/9,7/9,55,135
Jake Elliott,17,44/44,30/33,0/0,7/7,10/10,10/13,3/3,58,134
Ryan Succop,17,56/59,25/30,0/0,11/11,7/8,7/10,0/1,48,131
Dustin Hopkins,17,40/44,30/34,1/1,8/8,6/6,13/14,2/5,50,130
Evan McPherson,16,46/48,28/33,0/0,5/5,8/8,6/9,9/11,58,130
Greg Zuerlein,16,42/48,29/35,0/0,5/5,15/16,7/9,2/5,56,129
Mason Crosby,17,49/51,25/34,0/0,9/9,9/13,4/8,3/4,54,124
Harrison Butker,16,47/49,25/28,0/0,3/3,11/11,4/5,7/9,56,122
Randy Bullock,16,42/45,26/31,0/0,5/5,12/12,8/13,1/1,51,120
Brandon McManus,17,33/34,26/31,0/0,7/8,6/6,8/8,5/9,61,111
Younghoe Koo,17,30/30,27/29,0/0,8/8,9/9,6/7,4/5,54,111
Cairo Santos,17,27/28,26/30,0/0,10/10,5/5,11/13,0/2,47,105
Graham Gano,17,17/17,29/33,0/0,5/5,12/13,5/5,7/10,55,104
Jason Sanders,17,34/35,23/31,0/0,6/6,7/9,8/10,2/6,51,103
Robbie Gould,13,39/40,20/23,0/0,6/6,4/4,7/9,3/4,52,99
Jason Myers,17,44/47,17/23,0/0,2/2,9/11,3/5,3/5,53,95
Michael Badgley,13,40/41,18/22,0/0,4/4,6/7,8/10,0/1,46,94
Joey Slye,12,18/22,23/25,0/0,9/9,5/5,5/7,4/4,56,87
Zane Gonzalez,12,22/23,20/22,0/0,6/6,1/1,10/10,3/5,57,82
Chase McLaughlin,16,36/37,15/21,0/0,3/3,4/4,4/10,4/4,57,81
Matthew Wright,14,13/15,21/24,0/0,7/7,7/7,3/4,4/6,56,76
Brett Maher,8,10/12,16/18,0/0,4/4,8/9,4/4,0/1,42,58
Ka'imi Fairbairn,13,13/16,15/19,0/0,4/4,5/5,2/4,4/6,61,58
Riley Patterson,7,16/16,13/14,0/0,3/3,6/6,4/4,0/1,49,55
Matt Ammendola,11,14/15,13/19,0/0,5/5,6/6,2/5,0/3,49,53
Rodrigo Blankenship,5,7/8,11/14,0/0,3/3,3/4,5/6,0/1,48,40
Brian Johnson,7,9/13,10/10,0/0,5/5,3/3,1/1,1/1,52,39
Austin Seibert,6,5/5,10/12,0/0,0/0,4/4,5/6,1/2,52,35
Eddy Pineiro,5,9/10,8/8,0/0,2/2,2/2,3/3,1/1,51,33
Tristan Vizcaino,6,10/15,6/7,0/0,3/3,2/2,1/2,0/0,46,28
Lirim Hajrullahu,4,8/8,4/5,0/0,2/2,2/2,0/1,0/0,35,20
Aldrick Rosas,5,14/14,2/5,0/0,0/0,0/1,2/2,0/2,44,20
Ryan Santoso,4,6/8,4/5,0/0,3/3,1/1,0/1,0/0,35,18
Elliott Fry,2,4/5,4/5,0/0,0/0,3/4,1/1,0/0,44,16
Dominik Eberle,1,5/5,2/3,0/0,1/1,0/0,0/0,1/2,51,11
Chris Blewitt,2,2/2,2/5,0/0,0/0,0/0,1/4,1/1,52,8
Josh Lambo,3,5/7,0/3,0/0,0/0,0/0,0/1,0/2,0,5
Chris Naggar,1,1/2,1/1,0/0,0/0,1/1,0/0,0/0,37,4
Cody Parkey,1,3/5,0/0,0/0,0/0,0/0,0/0,0/0,0,3
Mitch Wishnowsky,17,1/2,0/1,0/0,0/0,0/0,0/1,0/0,0,1
Alex Kessman,1,0/2,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Bradley Pinion,15,0/0,0/1,0/0,0/0,0/0,0/0,0/1,0,0
