Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Errol Mann,14,39/42,20/28,1/1,7/8,7/10,5/8,0/1,42,99
Efren Herrera,14,39/41,18/29,2/2,5/7,4/8,6/11,1/1,52,93
Rafael Septien,14,32/35,18/30,1/1,10/11,5/6,2/10,0/2,45,86
Toni Linhart,14,32/35,17/26,0/0,5/8,5/7,7/10,0/1,45,83
Chris Bahr,14,25/26,19/27,1/1,10/11,4/8,4/6,0/1,47,82
Mark Moseley,14,19/19,21/37,1/1,3/3,4/5,9/22,4/6,54,82
Don Cockroft,14,30/31,17/23,0/0,6/6,6/8,5/9,0/0,44,81
John Smith,14,33/33,15/21,1/1,5/6,8/10,1/4,0/0,44,78
Rolf Benirschke,14,21/24,17/23,0/0,5/5,6/9,6/8,0/1,47,72
Jim Turner,14,31/34,13/19,0/0,3/4,7/10,3/5,0/0,48,70
Bob Thomas,14,27/30,14/27,0/0,6/9,6/10,2/6,0/2,47,69
Garo Yepremian,14,37/40,10/22,0/0,3/4,5/7,2/9,0/2,48,67
Pat Leahy,14,18/21,15/25,0/1,7/8,6/8,2/6,0/2,48,63
Joe Danelo,14,19/20,14/23,1/1,7/8,3/5,2/6,1/3,51,61
Roy Gerela,14,34/37,9/14,0/0,4/5,2/2,3/6,0/1,49,61
John Leypoldt,13,33/37,9/18,1/2,2/3,2/4,3/4,1/5,51,60
Jim Bakken,14,35/36,7/16,0/0,2/2,3/5,2/8,0/1,49,56
Toni Fritsch,9,19/20,12/16,1/1,5/6,5/6,1/2,0/1,46,55
Ray Wersching,10,23/23,10/17,0/0,0/2,5/5,4/7,1/3,50,53
Jan Stenerud,14,27/28,8/18,0/0,6/6,2/5,0/5,0/2,37,51
Chester Marcol,14,11/14,13/21,2/2,2/3,4/8,5/6,0/2,44,50
Fred Cox,14,25/29,8/17,0/0,3/7,4/6,1/4,0/0,42,49
Nick Mike-Mayer,10,14/14,10/22,0/0,4/5,4/9,2/7,0/1,44,44
Richie Szaro,14,29/31,5/12,0/0,3/4,2/3,0/2,0/3,31,44
Steve Mike-Mayer,14,19/21,8/19,0/0,2/5,3/7,3/7,0/0,47,43
Carson Long,9,13/14,7/11,0/0,2/2,2/3,3/6,0/0,45,34
Fred Steinfort,7,13/13,6/11,0/0,3/3,2/4,1/3,0/1,40,31
Horst Muhlmann,9,17/19,3/8,0/0,1/1,1/5,1/2,0/0,44,26
Tom Dempsey,5,8/11,4/6,0/0,3/3,1/2,0/1,0/0,37,20
Allan Leavitt,8,5/5,5/10,1/1,2/3,1/2,1/3,0/1,40,20
Dave Green,14,5/6,4/7,0/0,3/3,0/2,1/2,0/0,40,17
Neil O'Donoghue,5,4/5,2/6,0/0,1/2,1/2,0/1,0/1,30,10
Tom Wittum,14,2/4,1/2,0/0,1/2,0/0,0/0,0/0,28,5
Ove Johansson,2,1/3,1/4,0/1,0/0,1/3,0/0,0/0,32,4
Skip Butler,1,2/3,0/3,0/0,0/1,0/0,0/2,0/0,0,2
Dan Pastorini,14,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Mike Michel,13,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0,0
