Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Roy Zimmerman,32/34,4/8,--,--,--,--,--,0,44
Ken Strong,23/24,6/12,--,--,--,--,--,0,41
Pete Gudauskas,36/37,0/0,--,--,--,--,--,0,36
Don Hutson,31/33,0/3,--,--,--,--,--,0,31
Frankie Sinkwich,24/30,2/8,--,--,--,--,--,0,30
Joe Aguirre,15/18,4/8,--,--,--,--,--,0,27
Lou Zontini,14/16,3/6,--,--,--,--,--,0,23
Augie Lio,10/11,2/8,--,--,--,--,--,0,16
Conway Baker,11/15,0/0,--,--,--,--,--,0,11
Frank Kinard,9/9,0/0,--,--,--,--,--,0,9
Walter West,6/8,0/0,--,--,--,--,--,0,6
Ward Cuff,2/2,1/4,--,--,--,--,--,0,5
Larry Weldon,4/4,0/0,--,--,--,--,--,0,4
Tommy Colella,0/0,1/1,--,--,--,--,--,0,3
Marshall Robnett,1/1,0/2,--,--,--,--,--,0,1
Ben Kish,1/1,0/0,--,--,--,--,--,0,1
Glen Sorenson,1/1,0/1,--,--,--,--,--,0,1
Pug Manders,0/0,0/1,--,--,--,--,--,0,0
Bob Masterson,0/0,0/5,--,--,--,--,--,0,0
Keith Ranspot,0/0,0/1,--,--,--,--,--,0,0
