Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Bruce Gossett,29/29,28/49,--,--,--,--,--,0,113
Danny Villanueva,56/56,17/31,--,--,--,--,--,42,107
Charlie Gogolak,39/41,22/34,--,--,--,--,--,0,105
Lou Michaels,35/36,21/39,--,--,--,--,--,0,98
Mike Clark,34/34,21/32,--,--,--,--,--,0,97
Jim Bakken,27/28,23/40,--,--,--,--,--,0,96
Sam Baker,38/39,18/25,--,--,--,--,--,51,92
Fred Cox,34/34,18/33,--,--,--,--,--,44,88
Tommy Davis,38/39,16/31,--,--,--,--,--,0,86
Lou Groza,51/52,9/23,--,--,--,--,--,0,78
Roger LeClerc,24/25,18/30,--,--,--,--,--,0,78
Pete Gogolak,29/31,16/28,--,--,--,--,--,0,77
Don Chandler,41/43,12/28,--,--,--,--,--,47,77
Garo Yepremian,11/11,13/22,--,--,--,--,--,0,50
Lou Kirouac,19/24,9/18,--,--,--,--,--,47,46
Wayne Walker,11/11,2/8,--,--,--,--,--,0,17
Wade Traynham,2/2,0/1,--,--,--,--,--,0,2
Milt Plum,1/1,0/0,--,--,--,--,--,0,1
