Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Stephen Gostkowski,16,52/52,33/36,0/0,6/6,11/11,12/14,4/5,57,151
Graham Gano,16,56/59,30/36,1/1,10/10,4/5,13/16,2/4,52,146
Chandler Catanzaro,16,53/58,28/31,1/1,12/12,9/9,6/7,0/2,47,137
Blair Walsh,16,33/37,34/39,0/0,9/9,13/15,6/7,6/8,54,135
Josh Brown,16,44/45,30/32,1/1,6/6,12/12,8/10,3/3,53,134
Cairo Santos,16,39/41,30/37,0/0,7/8,10/10,9/11,4/8,53,129
Justin Tucker,16,29/29,33/40,0/0,10/10,9/9,10/11,4/10,52,128
Stephen Hauschka,16,40/44,29/31,0/0,9/9,7/7,7/9,6/6,54,127
Robbie Gould,16,28/29,33/39,1/1,8/8,10/12,7/9,7/9,55,127
Brandon McManus,16,35/36,30/35,0/0,12/12,8/8,5/8,5/7,57,125
Mike Nugent,16,48/49,23/28,0/0,6/6,5/6,10/13,2/3,52,117
Dan Bailey,16,25/25,30/32,0/0,9/9,10/10,6/7,5/6,54,115
Dustin Hopkins,15,39/40,25/28,0/0,7/7,9/9,7/8,2/4,54,114
Chris Boswell,12,26/27,29/32,1/1,9/9,8/8,9/12,2/2,51,113
Jason Myers,16,32/39,26/30,0/0,9/10,8/8,6/8,3/4,58,110
Mason Crosby,16,36/36,24/28,1/1,7/7,4/4,8/11,4/5,56,108
Adam Vinatieri,16,32/35,25/27,0/0,7/8,6/6,8/8,4/5,55,107
Travis Coons,16,22/24,28/32,0/0,11/11,10/10,7/9,0/2,47,106
Josh Lambo,16,28/32,26/32,0/0,4/4,7/7,11/16,4/5,54,106
Dan Carpenter,16,34/40,23/27,0/0,5/5,8/9,7/8,3/5,52,103
Matt Prater,16,36/39,22/24,0/0,3/3,8/9,6/6,5/6,59,102
Sebastian Janikowski,16,38/39,21/26,0/0,7/7,5/6,5/8,4/5,56,101
Connor Barth,12,25/26,23/28,0/0,9/9,8/8,3/6,3/5,53,94
Phil Dawson,16,20/21,24/27,0/0,9/10,6/6,6/8,3/3,54,92
Caleb Sturgis,13,35/37,18/22,0/0,4/4,8/10,4/4,2/4,53,89
Greg Zuerlein,14,26/28,20/30,1/1,2/2,9/10,5/8,3/9,61,86
Nick Novak,13,29/31,18/21,0/0,6/6,6/6,4/4,2/5,51,83
Randy Bullock,11,22/25,19/23,1/1,4/4,6/6,8/11,0/1,49,79
Andrew Franks,16,33/36,13/16,1/1,3/3,4/4,4/6,1/2,53,72
Ryan Succop,16,29/31,14/16,0/0,3/3,3/3,7/7,1/3,51,71
Matt Bryant,10,26/26,14/18,1/1,4/4,3/4,6/9,0/0,47,68
Kai Forbath,11,34/35,10/15,0/0,2/3,3/4,3/5,2/3,57,64
Nick Folk,8,19/19,13/16,0/0,2/2,6/6,3/6,2/2,55,58
Zach Hocker,8,12/13,10/14,0/0,3/3,5/6,1/3,1/2,51,42
Shayne Graham,5,8/8,11/13,0/0,2/2,4/4,2/4,3/3,54,41
Josh Scobee,4,6/7,6/10,0/0,2/2,1/1,3/7,0/0,45,24
Kyle Brindza,4,6/8,6/12,0/0,1/2,2/3,1/3,2/4,58,24
Cody Parkey,3,7/7,3/4,0/0,1/1,1/1,1/2,0/0,46,16
Ryan Quigley,15,4/4,0/0,0/0,0/0,0/0,0/0,0/0,0,4
