Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
David Akers,16,47/47,32/38,0/0,12/12,10/12,9/11,1/3,50,143
Sebastian Janikowski,16,43/43,33/41,0/0,8/8,13/14,8/12,4/7,59,142
Adam Vinatieri,16,51/51,26/28,0/0,8/8,9/10,9/10,0/0,48,129
Matt Bryant,16,44/44,28/31,0/0,11/11,8/9,8/10,1/1,51,128
Nick Folk,16,37/37,30/39,1/1,10/11,14/16,3/6,2/5,56,127
Josh Brown,16,26/27,33/39,0/0,11/12,12/14,7/9,3/4,53,125
Neil Rackers,16,43/43,27/30,0/0,8/8,11/11,5/7,3/4,57,124
Billy Cundiff,16,39/39,26/29,0/0,11/11,8/9,7/8,0/1,49,117
Dan Carpenter,16,25/25,30/41,1/1,9/9,5/5,11/18,4/8,60,115
David Buehler,16,42/44,24/32,0/0,8/8,4/7,8/11,4/6,53,114
Mason Crosby,16,46/46,22/28,1/1,7/8,4/5,8/10,2/4,56,112
Robbie Gould,16,35/35,25/30,1/1,9/9,8/9,4/7,3/4,54,110
Rob Bironas,16,38/38,24/26,0/0,6/6,8/9,8/8,2/3,55,110
Nate Kaeding,13,40/40,23/28,0/0,6/6,7/8,9/10,1/4,50,109
Josh Scobee,16,41/41,22/28,2/2,3/3,6/7,9/14,2/2,59,107
Olindo Mare,16,31/31,25/30,2/2,10/12,7/7,5/7,1/2,51,106
Connor Barth,16,36/36,23/28,0/0,6/6,10/10,6/10,1/2,53,105
Jeff Reed,14,32/32,24/32,2/2,9/10,8/9,3/7,2/4,53,104
Ryan Succop,16,42/42,20/26,0/0,6/6,7/9,6/8,1/3,53,102
Jay Feely,16,29/29,24/27,0/0,8/8,6/6,8/10,2/3,55,101
Graham Gano,16,28/28,24/35,1/1,8/10,4/7,11/14,0/3,49,100
Garrett Hartley,14,40/40,20/25,1/1,4/6,7/9,6/7,2/2,52,100
Lawrence Tynes,15,43/43,19/23,0/0,12/12,2/4,3/4,2/3,53,100
Phil Dawson,16,28/28,23/28,3/3,7/7,10/10,3/5,0/3,48,97
John Kasay,16,17/17,25/29,0/0,9/9,2/2,11/14,3/4,55,92
Ryan Longwell,16,30/31,17/18,0/0,7/7,8/9,2/2,0/0,48,81
Rian Lindell,16,31/32,16/21,1/1,6/6,5/6,2/3,2/5,51,79
Matt Prater,12,28/29,16/18,0/0,3/3,7/7,4/5,2/3,59,76
Shayne Graham,9,39/41,12/12,1/1,5/5,5/5,1/1,0/0,41,75
Mike Nugent,9,17/17,15/19,0/0,5/5,7/7,1/3,2/4,54,62
Shaun Suisham,7,19/19,14/15,1/1,4/4,1/1,8/9,0/0,48,61
Stephen Gostkowski,8,26/26,10/13,0/0,2/2,6/7,2/3,0/1,43,56
Dave Rayner,8,16/16,13/16,0/0,3/3,3/3,5/8,2/2,55,55
Jason Hanson,8,19/19,12/14,0/0,1/1,4/4,4/5,3/4,52,55
Joe Nedney,9,17/17,11/13,0/0,6/6,2/2,1/2,2/3,51,50
Clint Stitser,5,8/10,7/8,0/0,4/5,2/2,1/1,0/0,47,29
Stephen Hauschka,4,10/10,6/7,0/0,1/1,3/3,2/3,0/0,46,28
Kris Brown,3,8/8,4/5,0/0,1/1,3/3,0/0,0/1,36,20
John Carney,2,3/3,5/6,0/0,1/2,4/4,0/0,0/0,32,18
Aaron Pettrey,2,5/5,2/4,1/1,1/2,0/0,0/1,0/0,28,11
Shane Andrus,2,3/3,2/4,0/0,1/1,1/2,0/1,0/0,38,9
Wes Welker,15,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0,1
Ndamukong Suh,16,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0,0
