Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Tony Franklin,16,44/45,32/41,1/1,7/7,15/17,9/16,0/0,49,140
Kevin Butler,16,36/37,28/41,1/1,11/14,9/12,6/8,1/6,52,120
Ray Wersching,16,41/42,25/35,0/0,6/6,14/18,4/9,1/2,50,116
Chuck Nelson,16,44/47,22/28,0/0,7/8,9/10,4/7,2/3,53,110
Morten Andersen,16,30/30,26/30,1/1,11/11,6/7,6/6,2/5,53,108
Norm Johnson,16,42/42,22/35,0/0,6/8,8/9,3/11,5/7,54,108
Raul Allegre,13,33/33,24/32,0/0,10/11,8/8,6/11,0/2,46,105
Rich Karlis,16,44/45,20/28,0/0,3/4,8/8,8/14,1/2,51,104
Jim Breech,16,50/51,17/32,1/2,4/5,5/7,5/14,2/4,51,101
Nick Lowery,16,43/43,19/26,1/1,5/6,5/5,8/13,0/1,47,100
Chris Bahr,16,36/36,21/28,3/3,6/6,6/9,5/8,1/2,52,99
Gary Anderson,16,32/32,21/32,0/1,6/7,6/7,9/14,0/3,45,95
Tony Zendejas,15,28/29,22/27,1/1,7/7,7/9,6/7,1/3,51,94
Fuad Reveiz,16,52/55,14/22,1/1,5/5,4/6,3/8,1/2,52,94
Pat Leahy,16,44/44,16/19,1/1,5/5,4/4,5/8,1/1,50,92
Matt Bahr,12,30/30,20/26,4/4,7/9,7/8,1/2,1/3,52,90
Rafael Septien,16,43/43,15/21,0/0,4/5,6/7,4/7,1/2,50,88
Rolf Benirschke,16,39/41,16/25,1/1,6/9,5/8,3/5,1/2,50,87
Paul McFadden,16,26/27,20/31,0/0,6/6,10/12,3/10,1/3,50,86
Eddie Murray,16,31/32,18/25,2/2,1/2,7/8,6/8,2/5,52,85
Mike Lansford,16,34/35,17/24,1/1,5/6,6/9,4/6,1/2,50,85
Scott Norwood,16,32/34,17/27,1/1,6/6,7/7,3/8,0/5,48,83
Al Del Greco,16,29/29,17/27,0/0,8/8,4/6,3/9,2/4,50,80
Donald Igwebuike,16,26/27,17/24,0/0,5/5,7/8,3/6,2/5,55,77
Dean Biasucci,16,26/27,13/25,0/0,4/4,2/5,5/8,2/8,52,65
Mick Luckhurst,10,21/21,14/24,1/1,1/2,5/7,7/11,0/3,49,63
Mark Moseley,10,25/28,12/19,2/2,5/6,4/5,1/6,0/0,45,61
Max Zendejas,9,23/28,9/14,0/0,5/5,2/3,2/4,0/2,42,50
John Lee,11,14/17,8/13,0/0,2/3,5/6,1/4,0/0,47,38
Ali Haji-Sheikh,6,7/8,9/12,1/1,3/3,2/4,3/3,0/1,47,34
Eric Schubert,5,9/9,3/11,0/0,2/2,0/4,1/5,0/0,46,18
Joe Cooper,2,4/4,2/4,0/0,2/2,0/1,0/1,0/0,21,10
Steve Cox,16,0/0,3/6,0/0,0/0,0/0,1/1,2/5,57,9
Bob Thomas,1,4/4,0/1,0/0,0/0,0/1,0/0,0/0,0,4
Jess Atkinson,1,3/3,0/0,0/0,0/0,0/0,0/0,0/0,0,3
Rick Donnelly,16,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0,1
