Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Lou Michaels,32/33,26/42,--,--,--,--,--,0,110
Don Chandler,47/48,19/28,--,--,--,--,--,0,104
Sam Baker,50/51,14/27,--,--,--,--,--,53,92
Lou Groza,33/35,14/31,--,--,--,--,--,0,75
Roger LeClerc,36/40,13/27,--,--,--,--,--,0,75
Bob Khayat,38/38,11/25,--,--,--,--,--,0,71
Tommy Davis,36/36,10/23,--,--,--,--,--,0,66
Jerry Kramer,38/39,9/11,--,--,--,--,--,37,65
Wayne Walker,37/37,9/22,--,--,--,--,--,0,64
Jim Christopherson,28/28,11/20,--,--,--,--,--,44,61
Dick Bielski,25/28,11/25,--,--,--,--,--,0,58
Danny Villanueva,26/27,10/20,--,--,--,--,--,0,56
Gerry Perry,38/39,5/12,--,--,--,--,--,0,53
Bobby Walston,36/38,4/15,--,--,--,--,--,0,48
Paul Hornung,14/14,6/10,--,--,--,--,--,45,32
Milt Plum,0/0,5/12,--,--,--,--,--,0,15
Wendell Harris,6/9,1/3,--,--,--,--,--,0,9
John Wittenborn,0/0,2/4,--,--,--,--,--,0,6
Mike Mercer,3/3,0/5,--,--,--,--,--,0,3
Bobby Joe Conrad,0/0,0/1,--,--,--,--,--,0,0
Jim Bakken,0/0,0/1,--,--,--,--,--,0,0
