Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Ward Cuff,19/20,5/13,--,--,--,--,--,0,34
Bob Snyder,20/24,2/2,--,--,--,--,--,0,26
Don Hutson,20/24,1/1,--,--,--,--,--,0,23
Clarke Hinkle,2/2,6/14,--,--,--,--,--,0,20
Bill Daddio,8/9,4/8,--,--,--,--,--,0,20
Andy Marefos,6/6,4/5,--,--,--,--,--,0,18
Bob Masterson,8/8,3/6,--,--,--,--,--,0,17
Merl Condit,11/12,2/11,--,--,--,--,--,0,17
Chet Adams,13/14,1/2,--,--,--,--,--,0,16
Joe Aguirre,8/9,2/5,--,--,--,--,--,0,14
Armand Niccolai,8/9,2/4,--,--,--,--,--,0,14
Nick Basca,9/9,1/2,--,--,--,--,--,0,12
Augie Lio,12/13,0/5,--,--,--,--,--,0,12
Joe Maniaci,8/8,1/1,--,--,--,--,--,0,11
Dean McAdams,3/3,2/3,--,--,--,--,--,0,9
Len Barnum,2/2,2/6,--,--,--,--,--,0,8
Ki Aldrich,4/5,1/3,--,--,--,--,--,0,7
Chuck Hanneman,4/4,1/4,--,--,--,--,--,0,7
Lee Artoe,3/4,1/7,--,--,--,--,--,0,6
Dick Plasman,6/9,0/0,--,--,--,--,--,0,6
Jack Sanders,5/5,0/0,--,--,--,--,--,0,5
Lou Zontini,5/7,0/4,--,--,--,--,--,0,5
Herm Rohrig,1/1,1/1,--,--,--,--,--,0,4
Hal Lahar,1/3,1/1,--,--,--,--,--,0,4
Joe Stydahar,4/4,0/0,--,--,--,--,--,0,4
Eddie Jankowski,1/2,1/1,--,--,--,--,--,0,4
Boyd Clay,1/1,1/2,--,--,--,--,--,0,4
Bob Adkins,3/3,0/0,--,--,--,--,--,0,3
Hank Soar,3/3,0/0,--,--,--,--,--,0,3
Tiny Engebretsen,0/0,1/3,--,--,--,--,--,0,3
Win Pedersen,0/0,1/1,--,--,--,--,--,0,3
Frank Kinard,3/5,0/0,--,--,--,--,--,0,3
Wes McAfee,2/2,0/0,--,--,--,--,--,0,2
Bob Nowaskey,1/2,0/0,--,--,--,--,--,0,1
Larry Peace,1/1,0/0,--,--,--,--,--,0,1
Dan DeSantis,1/1,0/0,--,--,--,--,--,0,1
Frank Balasz,1/1,0/0,--,--,--,--,--,0,1
Buddy Parker,0/1,0/0,--,--,--,--,--,0,0
Marion Pugh,0/1,0/0,--,--,--,--,--,0,0
Kay Eakin,0/0,0/1,--,--,--,--,--,0,0
George Somers,0/0,0/2,--,--,--,--,--,0,0
