Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Jay Feely,16,43/43,35/42,0/0,11/13,13/14,8/10,3/5,52,148
Neil Rackers,15,20/20,40/42,0/0,11/11,10/10,13/14,6/7,54,140
Shayne Graham,16,47/47,28/32,0/0,11/11,10/11,7/9,0/1,49,131
Lawrence Tynes,16,44/45,27/33,1/1,8/8,12/13,4/8,2/3,52,125
John Kasay,16,43/44,26/34,1/1,8/8,8/8,6/9,3/8,52,121
Mike Vanderjagt,16,52/52,23/25,1/1,9/9,6/7,7/8,0/0,48,121
Jeff Wilkins,16,36/36,27/31,0/0,6/7,8/8,9/11,4/5,53,117
Jeff Reed,16,45/45,24/29,0/0,9/9,9/9,6/9,0/2,44,117
Jason Elam,16,43/44,24/32,0/0,9/10,5/5,9/13,1/4,51,115
Rian Lindell,16,26/26,29/35,0/0,8/9,11/13,7/10,3/3,53,113
Matt Stover,16,23/23,30/34,1/1,8/8,10/11,11/14,0/0,49,113
Nate Kaeding,16,49/49,21/24,1/1,3/3,9/9,8/11,0/0,49,112
Josh Brown,16,56/57,18/25,0/0,5/5,4/5,4/7,5/8,55,110
Olindo Mare,16,33/33,25/30,0/0,9/10,9/12,6/6,1/2,53,108
Josh Scobee,16,38/39,23/30,0/0,9/9,7/8,5/10,2/3,53,107
Paul Edinger,16,31/31,25/34,0/0,11/11,3/8,8/10,3/5,56,106
Todd Peterson,16,35/35,23/25,0/0,9/10,11/11,3/4,0/0,43,104
Kris Brown,16,24/24,26/34,0/0,9/9,12/17,4/6,1/2,53,102
Phil Dawson,16,19/21,27/29,2/2,11/11,9/11,5/5,0/0,44,100
Adam Vinatieri,16,40/41,20/25,0/0,7/7,9/10,4/6,0/2,49,100
Rob Bironas,16,30/32,23/29,0/0,10/10,6/7,5/7,2/5,53,99
John Carney,16,22/22,25/32,1/1,12/13,4/6,8/12,0/0,49,97
Joe Nedney,15,19/19,26/28,0/0,4/4,10/11,10/10,2/3,56,97
Matt Bryant,15,31/31,21/25,0/0,2/4,8/8,10/11,1/2,50,94
Sebastian Janikowski,16,30/30,20/30,1/1,7/8,5/6,7/12,0/3,49,90
Ryan Longwell,16,30/31,20/27,0/0,7/7,6/10,3/5,4/5,53,90
Mike Nugent,16,24/24,22/28,0/0,8/9,7/7,7/10,0/2,49,90
Jason Hanson,15,27/27,19/24,1/1,9/9,3/3,4/7,2/4,52,84
Robbie Gould,13,19/20,21/27,0/0,9/9,9/10,3/8,0/0,45,82
David Akers,12,23/23,16/22,0/0,3/3,7/8,5/9,1/2,50,71
John Hall,10,27/27,12/14,1/1,3/3,3/3,5/6,0/1,45,63
Jose Cortez,12,18/19,12/17,0/0,5/6,4/5,3/6,0/0,45,54
Nick Novak,10,15/15,8/10,1/1,1/1,5/7,1/1,0/0,40,39
Billy Cundiff,6,14/14,5/8,1/1,1/1,2/5,0/0,1/1,56,29
Todd France,4,6/6,7/9,0/0,4/4,1/1,2/4,0/0,44,27
Shaun Suisham,3,8/8,3/4,0/0,3/3,0/0,0/1,0/0,22,17
Doug Brien,3,7/7,1/4,0/0,0/0,0/2,1/2,0/0,48,10
Michael Koenen,16,0/0,1/2,0/0,0/0,0/0,0/0,1/2,58,3
Doug Flutie,5,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0,1
Mark Simoneau,16,1/2,0/0,0/0,0/0,0/0,0/0,0/0,0,1
Dave Rayner,14,0/0,0/1,0/0,0/0,0/0,0/0,0/1,0,0
Aaron Elling,9,0/0,0/1,0/0,0/0,0/0,0/0,0/1,0,0
Remy Hamilton,1,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0,0
