Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Morten Andersen,12,37/37,28/36,3/3,6/6,9/9,8/12,2/6,52,121
Jim Breech,12,25/27,24/30,0/0,6/7,12/12,6/11,0/0,46,97
Dean Biasucci,12,24/24,24/27,0/0,5/6,12/12,6/7,1/2,50,96
Tony Zendejas,13,32/33,20/26,2/2,5/5,4/6,8/12,1/1,52,92
Roger Ruzek,12,26/26,22/25,0/0,8/8,6/7,8/10,0/0,49,92
Rich Karlis,12,37/37,18/25,0/0,9/9,4/6,4/7,1/3,51,91
Gary Anderson,12,21/21,22/27,0/0,8/9,5/5,7/11,2/2,52,87
Mike Lansford,15,36/38,17/21,1/1,6/6,3/4,7/9,0/1,48,87
Norm Johnson,13,40/40,15/20,0/0,7/7,4/7,4/5,0/1,49,85
Kevin Butler,12,28/30,19/28,0/0,11/11,5/5,1/6,2/6,52,85
Pat Leahy,12,31/31,18/22,0/0,11/11,5/6,2/4,0/1,42,85
Chris Bahr,13,27/28,19/29,0/0,6/6,10/13,3/10,0/0,48,84
Paul McFadden,12,36/36,16/26,1/1,3/4,6/10,6/9,0/2,49,84
Nick Lowery,12,26/26,19/23,1/1,4/4,8/10,4/6,2/2,54,83
Ray Wersching,12,44/46,13/17,0/0,5/5,5/5,3/7,0/0,45,83
Tony Franklin,14,37/38,15/26,0/0,5/5,6/11,3/7,1/3,50,82
Eddie Murray,12,21/21,20/32,1/1,6/6,7/12,5/11,1/2,53,81
Raul Allegre,12,25/26,17/27,1/1,7/8,4/5,3/9,2/4,53,76
Jeff Jaeger,10,33/33,14/22,0/0,6/6,3/6,5/9,0/1,48,75
Chuck Nelson,12,36/37,13/24,0/0,10/12,2/4,0/6,1/2,51,75
Ali Haji-Sheikh,11,29/32,13/19,0/0,5/5,6/10,2/4,0/0,41,68
Donald Igwebuike,12,24/26,14/18,0/0,2/2,6/6,6/9,0/1,48,66
Vince Abbott,12,22/23,13/22,0/0,2/3,9/10,2/6,0/3,47,61
Max Zendejas,10,13/15,16/19,0/0,3/3,6/7,7/8,0/1,48,61
Scott Norwood,12,31/31,10/15,0/0,3/4,4/6,3/5,0/0,45,61
Jim Gallery,13,30/31,9/19,0/0,4/5,2/7,3/7,0/0,48,57
Fuad Reveiz,11,28/30,9/11,1/1,2/2,2/2,4/6,0/0,48,55
Al Del Greco,8,19/20,9/15,0/0,3/5,4/6,2/4,0/0,47,46
Mick Luckhurst,12,17/17,9/13,1/1,1/1,2/2,3/5,2/4,50,44
Van Tiffin,4,11/11,5/7,0/0,1/1,1/2,2/3,1/1,50,26
Mike Prindle,3,6/6,6/7,0/0,3/3,3/3,0/1,0/0,35,24
John Diettrich,2,5/5,6/6,0/0,2/2,1/1,3/3,0/0,45,23
Matt Bahr,3,9/10,4/5,0/0,2/2,2/3,0/0,0/0,31,21
Willie Beecher,3,12/12,3/4,1/1,0/0,1/1,1/2,0/0,40,21
Jeff Brockhaus,3,11/13,3/6,0/0,2/3,1/2,0/1,0/0,39,20
Tim Lashar,3,10/10,3/4,0/0,3/3,0/0,0/1,0/0,27,19
Luis Zendejas,2,10/10,3/4,0/0,0/0,1/1,1/2,1/1,50,19
Steve Jordan,3,7/7,3/5,0/0,1/1,2/2,0/2,0/0,36,16
Mike Clendenen,3,7/7,3/4,0/0,1/1,2/2,0/1,0/0,35,16
Obed Ariri,2,6/6,3/5,1/1,1/1,1/1,0/2,0/0,39,15
Greg Davis,3,6/6,3/4,0/0,1/1,1/1,1/2,0/0,42,15
Florian Kempf,1,1/1,4/5,0/0,1/1,1/2,2/2,0/0,48,13
Jeff Gaffney,3,4/5,3/6,0/0,3/3,0/3,0/0,0/0,27,13
Pat Ragusa,3,7/7,2/4,0/0,1/1,1/2,0/1,0/0,34,13
George Benyola,3,3/3,3/5,0/0,2/2,0/1,1/2,0/0,45,12
Brian Franco,2,2/2,3/4,0/0,3/3,0/1,0/0,0/0,28,11
Dave Jacobs,3,2/4,3/5,0/0,1/1,0/1,2/3,0/0,44,11
James Hamrick,3,4/4,2/2,0/0,1/1,0/0,1/1,0/0,40,10
Scott Hagler,2,4/4,2/2,0/0,2/2,0/0,0/0,0/0,24,10
David Trout,3,10/10,0/2,0/0,0/1,0/1,0/0,0/0,0,10
Jason Staurovsky,2,6/6,1/3,0/0,1/2,0/0,0/1,0/0,24,9
Mike Cofer,2,5/7,1/1,0/0,1/1,0/0,0/0,0/0,27,8
Dale Dawson,3,4/4,1/5,0/0,0/0,1/2,0/3,0/0,34,7
Todd Schlopy,3,1/2,2/5,0/0,1/1,1/3,0/1,0/0,31,7
David Hardy,2,7/7,0/1,0/0,0/0,0/1,0/0,0/0,0,7
Massimo Manca,3,3/3,1/2,0/0,1/1,0/0,0/1,0/0,28,6
Steve Cox,12,3/3,1/2,0/0,0/0,0/0,1/1,0/1,40,6
Eric Schubert,1,1/1,1/2,0/0,1/1,0/0,0/1,0/0,23,4
Brendan Toibin,1,4/4,0/2,0/0,0/0,0/1,0/1,0/0,0,4
Jess Atkinson,1,1/1,1/1,0/0,1/1,0/0,0/0,0/0,27,4
Kerry Brady,1,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0,1
