Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Mike Hollis,16,41/41,31/36,2/2,12/14,8/9,7/9,2/2,52,134
Richie Cunningham,16,24/24,34/37,1/1,16/16,9/9,7/10,1/1,52,126
Gary Anderson,16,38/38,29/36,0/0,11/11,9/12,8/10,1/3,51,125
Jason Elam,15,46/46,26/36,0/0,10/11,10/12,3/8,3/5,53,124
Ryan Longwell,16,48/48,24/30,4/4,7/8,10/13,2/4,1/1,50,120
John Hall,16,36/36,28/41,1/1,10/11,11/17,2/6,4/6,55,120
Cary Blanchard,16,21/21,32/41,0/0,9/9,12/14,10/15,1/3,50,117
Olindo Mare,16,33/33,28/36,2/2,14/15,8/10,3/6,1/3,50,117
Jason Hanson,16,39/40,26/29,0/0,10/10,8/9,5/5,3/5,55,117
Adam Vinatieri,16,40/40,25/29,0/0,11/11,7/9,6/8,1/1,52,115
Pete Stoyanovich,16,35/36,26/27,0/0,9/9,3/3,12/13,2/2,54,113
Al Del Greco,16,32/32,27/35,2/2,6/6,10/11,7/14,2/2,52,113
Matt Stover,16,32/32,26/34,0/0,8/9,12/12,6/11,0/2,49,110
Greg Davis,16,31/32,26/34,0/0,8/10,12/12,6/12,0/0,45,109
Jeff Wilkins,16,32/32,25/37,0/0,8/9,8/12,7/14,2/2,52,107
Norm Johnson,16,40/40,22/25,1/1,6/6,8/8,6/8,1/2,52,106
Morten Andersen,16,35/35,23/27,1/1,10/10,7/7,3/6,2/3,55,104
Todd Peterson,16,37/37,22/28,0/0,9/9,7/10,5/7,1/2,52,103
Chris Boniol,16,33/33,22/31,0/0,7/7,11/12,4/11,0/1,49,99
Brad Daluiso,16,27/29,22/32,1/1,6/6,6/7,8/14,1/4,52,93
Steve Christie,16,21/21,24/30,0/0,6/6,9/12,8/10,1/2,55,93
John Kasay,16,25/25,22/26,1/1,6/7,8/8,4/4,3/6,54,91
Doug Brien,16,22/22,23/27,1/1,2/2,10/10,6/9,4/5,53,91
Jeff Jaeger,16,20/20,21/26,0/0,8/9,8/10,4/6,1/1,52,83
Scott Blanton,15,34/34,16/24,2/2,4/4,5/6,4/8,1/4,50,82
Doug Pelfrey,16,41/43,12/16,0/0,4/4,3/3,5/7,0/2,46,77
Cole Ford,16,33/35,13/22,0/0,3/5,4/6,5/10,1/1,53,72
Michael Husted,16,32/35,13/17,0/0,5/5,2/3,5/6,1/3,54,71
Eddie Murray,12,23/24,12/17,0/0,7/7,1/3,4/6,0/1,49,59
Joe Nedney,10,19/19,11/17,1/1,3/3,4/4,3/7,0/2,45,52
Kevin Butler,6,9/10,8/12,0/0,4/4,2/4,2/4,0/0,49,33
John Carney,4,5/5,7/7,0/0,3/3,2/2,2/2,0/0,41,26
Scott Bentley,1,4/4,2/3,0/0,1/1,1/1,0/1,0/0,33,10
Chris Jacke,1,5/5,0/0,0/0,0/0,0/0,0/0,0/0,0,5
Toby Gowin,16,0/0,0/1,0/0,0/0,0/0,0/0,0/1,0,0
