Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Toni Linhart,14,49/50,20/27,0/0,9/9,10/11,1/7,0/0,41,109
Mark Moseley,14,31/32,22/34,1/1,7/8,8/11,6/13,0/1,49,97
Jim Bakken,14,33/35,20/27,0/0,10/11,6/8,4/8,0/0,43,93
Jan Stenerud,14,27/33,21/38,0/0,7/12,6/8,7/15,1/3,52,90
Fred Cox,14,32/36,19/31,0/0,5/7,10/12,4/11,0/1,49,89
Efren Herrera,14,34/34,18/23,1/1,8/8,6/8,3/5,0/1,46,88
John Smith,14,42/46,15/25,0/1,4/4,4/6,7/14,0/0,49,87
Tom Dempsey,14,36/44,17/26,2/2,5/8,4/5,6/10,0/1,49,87
Roy Gerela,14,40/43,14/26,2/2,2/6,6/10,4/7,0/1,47,82
Jim Turner,14,36/39,15/21,1/1,7/8,4/5,3/7,0/0,47,81
Chris Bahr,14,39/42,14/27,1/1,6/8,2/4,3/8,2/6,51,81
Richie Szaro,14,25/29,18/23,1/1,8/8,4/5,4/7,1/2,50,79
Garo Yepremian,14,29/31,16/23,0/0,9/10,2/4,4/8,1/1,53,77
Steve Mike-Mayer,14,26/30,16/28,3/3,5/8,4/8,4/8,0/1,45,74
Don Cockroft,14,27/30,15/28,2/2,3/6,5/6,4/11,1/3,50,72
Skip Butler,14,24/24,16/27,1/1,4/4,7/10,3/8,1/4,54,72
Bob Thomas,14,27/30,12/25,0/0,3/3,4/6,5/11,0/5,47,63
Errol Mann,13,35/37,8/21,0/0,2/3,4/7,2/9,0/2,49,59
George Jakowenko,11,21/24,12/17,0/0,4/4,4/6,4/7,0/0,49,57
Chester Marcol,14,24/27,10/19,1/1,3/3,4/8,2/5,0/2,45,54
Benny Ricardo,10,21/23,11/18,1/1,4/7,3/3,3/6,0/1,43,54
Horst Muhlmann,14,18/19,11/16,1/1,5/5,4/4,1/6,0/0,44,51
Nick Mike-Mayer,14,20/20,10/21,2/2,2/4,1/5,5/10,0/0,46,50
Pat Leahy,14,16/20,11/16,1/1,5/5,3/5,2/5,0/0,47,49
John Leypoldt,12,22/25,8/15,0/0,2/3,1/4,5/7,0/1,48,46
Joe Danelo,14,20/21,8/21,1/1,3/3,3/11,0/2,1/4,50,44
Dave Green,14,11/14,8/15,1/1,2/3,3/6,2/5,0/0,45,35
Toni Fritsch,5,11/14,6/12,0/0,1/2,2/4,3/6,0/0,48,29
Fred Steinfort,7,16/19,4/8,0/0,1/1,2/4,1/3,0/0,44,28
Ray Wersching,9,14/16,4/8,0/0,1/1,2/3,1/3,0/1,45,26
Don Bitterlich,3,7/7,1/4,0/0,1/1,0/2,0/1,0/0,27,10
Steve Zabel,14,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0,1
Mirro Roder,2,0/0,0/3,0/0,0/0,0/2,0/1,0/0,0,0
Ray Guy,14,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0,0
