Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Lou Groza,32/32,19/33,--,--,--,--,--,0,89
Bob Waterfield,44/45,11/18,--,--,--,--,--,0,77
Pat Harder,34/35,11/23,--,--,--,--,--,0,67
Bobby Walston,31/31,11/20,--,--,--,--,--,0,64
Ray Poole,26/27,10/17,--,--,--,--,--,0,56
Gordie Soltau,34/36,6/12,--,--,--,--,--,0,52
George Blanda,30/30,6/25,--,--,--,--,--,0,48
Gary Kerkorian,35/41,4/9,--,--,--,--,--,0,47
Fred Cone,32/34,1/1,--,--,--,--,--,0,35
Joe Geri,22/24,2/18,--,--,--,--,--,0,28
George Buksar,15/18,3/7,--,--,--,--,--,0,24
Bill Reichardt,5/5,5/20,--,--,--,--,--,0,20
Doak Walker,5/5,3/5,--,--,--,--,--,0,14
Forrest Grigg,9/12,0/3,--,--,--,--,--,0,9
Pat Cannamela,8/10,0/1,--,--,--,--,--,0,8
Wilford White,1/1,2/3,--,--,--,--,--,0,7
Eddie Bagdon,4/6,1/3,--,--,--,--,--,0,7
Eddie LeBaron,6/7,0/0,--,--,--,--,--,0,6
Keith Flowers,3/5,0/0,--,--,--,--,--,0,3
Bob Gain,3/3,0/0,--,--,--,--,--,0,3
Bobby Layne,2/2,0/0,--,--,--,--,--,0,2
Ray Mathews,1/1,0/0,--,--,--,--,--,0,1
Julie Rykovich,1/1,0/0,--,--,--,--,--,0,1
Jim Hardy,1/1,0/0,--,--,--,--,--,0,1
Ed Kissell,0/0,0/2,--,--,--,--,--,0,0
Bob Carey,0/0,0/1,--,--,--,--,--,0,0
