Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Scott Norwood,16,33/33,32/37,1/1,10/10,15/16,6/9,0/1,49,129
Mike Cofer,16,40/41,27/38,1/1,9/10,9/11,7/11,1/5,52,121
Gary Anderson,16,34/35,28/36,1/1,11/11,9/10,6/12,1/2,52,118
Mike Lansford,16,45/48,24/32,1/1,9/12,8/10,6/8,0/1,49,117
Tony Zendejas,16,48/50,22/34,1/1,3/5,7/8,9/16,2/4,52,114
Dean Biasucci,16,39/40,25/32,0/0,8/8,5/6,6/10,6/8,53,114
Pat Leahy,16,43/43,23/28,0/0,9/9,7/8,7/10,0/1,48,112
Morten Andersen,16,32/33,26/36,1/1,11/12,8/11,5/8,1/4,51,110
Chuck Nelson,16,48/49,20/25,2/3,7/7,10/10,1/5,0/0,49,108
Rich Karlis,16,36/37,23/36,1/1,9/10,6/13,5/8,2/4,51,105
Norm Johnson,16,39/39,22/28,1/1,4/4,7/9,10/14,0/0,47,105
Matt Bahr,16,32/33,24/29,1/1,10/12,8/10,5/6,0/0,47,104
Nick Lowery,16,23/23,27/32,0/0,7/8,9/11,8/10,3/3,51,104
Chip Lohmiller,16,40/41,19/26,1/1,6/8,5/7,7/10,0/0,46,97
Luis Zendejas,14,35/36,20/27,2/2,6/6,7/9,4/7,1/3,50,95
Chris Bahr,16,37/39,18/29,1/1,7/7,3/6,6/11,1/4,50,91
Jim Breech,16,56/59,11/16,1/1,5/5,3/4,2/5,0/1,45,89
Kevin Butler,16,37/38,15/19,1/1,4/4,7/8,3/6,0/0,45,82
Greg Davis,16,25/27,19/30,1/1,3/4,6/9,8/12,1/4,52,82
Eddie Murray,16,22/23,20/21,1/1,8/8,9/9,2/2,0/1,48,82
Al Del Greco,16,42/44,12/21,1/1,4/6,3/3,3/9,1/2,51,78
Donald Igwebuike,12,21/21,19/25,1/1,6/6,7/8,3/6,2/4,53,78
Paul McFadden,10,25/27,14/19,0/0,4/4,4/6,5/6,1/3,50,67
Roger Ruzek,14,27/27,12/22,0/0,4/5,4/7,3/7,1/3,50,63
Fuad Reveiz,11,31/32,8/12,0/0,4/4,3/4,1/2,0/2,45,55
Max Zendejas,8,17/19,9/16,0/0,2/3,4/5,2/6,1/2,50,44
Raul Allegre,6,14/14,10/11,0/0,3/3,5/6,2/2,0/0,48,44
Vince Abbott,11,15/15,8/12,0/0,3/3,2/4,3/5,0/0,48,39
Jason Staurovsky,8,14/15,7/11,0/0,3/4,4/5,0/2,0/0,35,35
Steve DeLine,5,12/12,6/8,0/0,3/3,1/1,2/4,0/0,45,30
Teddy Garcia,16,11/16,6/13,0/0,2/3,1/3,2/5,1/2,50,29
Dean Dorsey,6,12/13,5/10,0/0,4/4,1/2,0/4,0/0,34,27
Tony Franklin,5,6/7,4/11,0/0,1/2,2/4,0/1,1/4,51,18
Dale Dawson,5,4/5,3/6,0/0,2/3,1/2,0/1,0/0,32,13
John Carney,4,6/6,2/5,0/0,2/3,0/1,0/1,0/0,29,12
Lee Johnson,12,0/0,1/2,0/0,0/0,0/0,0/0,1/2,50,3
Curtis Burrow,1,2/4,0/1,0/0,0/0,0/0,0/1,0/0,0,2
Ray Criswell,16,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0,1
