Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Bob Waterfield,43/45,9/16,--,--,--,--,--,0,70
Cliff Patton,42/43,9/18,--,--,--,--,--,0,69
Ben Agajanian,35/36,8/13,--,--,--,--,--,0,59
Pat Harder,45/47,3/5,--,--,--,--,--,0,54
Dick Poillon,34/37,4/7,--,--,--,--,--,0,46
Bill Dudley,30/32,5/14,--,--,--,--,--,0,45
Johnny Lujack,42/44,1/1,--,--,--,--,--,0,45
Nick Scollard,18/21,3/10,--,--,--,--,--,0,27
Ted Fritsch,11/13,5/20,--,--,--,--,--,0,26
George Blanda,0/0,7/15,--,--,--,--,--,0,21
Joe Glamp,18/18,1/6,--,--,--,--,--,0,21
Vinnie Yablonski,1/1,5/6,--,--,--,--,--,0,16
Joe Geri,12/13,1/1,--,--,--,--,--,0,15
Joe Muha,5/5,0/1,--,--,--,--,--,0,5
Joe Ethridge,1/1,1/2,--,--,--,--,--,0,4
Fred Gehrke,2/3,0/1,--,--,--,--,--,0,2
