Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Jason Myers,17,41/42,34/37,0/0,9/9,15/16,4/6,6/6,56,143
Justin Tucker,17,31/32,37/43,0/0,13/13,11/11,4/5,9/14,58,142
Daniel Carlson,17,35/36,34/37,0/0,9/9,11/11,3/4,11/13,57,137
Brett Maher,17,50/53,29/32,0/0,9/9,5/5,6/7,9/11,60,137
Robbie Gould,17,50/51,27/32,0/0,13/14,5/5,7/11,2/2,51,131
Tyler Bass,16,48/50,27/31,0/0,4/4,11/13,10/11,2/3,56,129
Younghoe Koo,17,33/35,32/37,0/0,9/9,7/7,9/10,7/11,54,129
Eddy Pineiro,17,30/32,33/35,0/0,2/2,16/17,13/14,2/2,54,129
Nick Folk,17,32/35,32/37,1/1,9/9,8/8,10/14,4/5,54,128
Riley Patterson,17,36/37,30/35,0/0,8/8,10/11,10/13,2/3,53,126
Jason Sanders,17,41/44,26/32,0/0,5/6,7/7,12/13,2/6,55,119
Graham Gano,17,32/34,29/32,0/0,2/2,9/10,10/11,8/9,57,119
Greg Zuerlein,17,28/29,30/37,0/0,5/5,10/10,9/11,6/11,60,118
Greg Joseph,17,40/46,26/33,0/0,10/10,5/5,7/8,4/10,61,118
Ryan Succop,17,24/25,31/38,0/0,10/11,7/8,12/12,2/7,54,117
Matt Gay,17,31/32,28/30,0/0,9/9,8/8,4/4,7/9,58,115
Mason Crosby,17,37/39,25/29,0/0,10/10,8/8,6/7,1/4,56,112
Evan McPherson,16,40/44,24/29,1/1,5/6,4/4,9/13,5/5,59,112
Ka'imi Fairbairn,17,24/24,29/31,0/0,7/7,7/8,9/10,6/6,56,111
Jake Elliott,16,51/53,20/23,0/0,6/6,8/9,1/2,5/6,56,111
Chase McLaughlin,16,21/21,30/36,0/0,7/7,5/6,9/11,9/12,54,111
Brandon McManus,17,25/27,28/36,0/0,6/7,4/6,10/10,8/13,55,109
Cade York,17,35/37,24/32,0/0,5/5,9/12,6/8,4/7,58,107
Michael Badgley,13,33/33,24/28,0/0,6/7,7/7,9/11,2/3,53,105
Wil Lutz,17,33/33,23/31,0/0,6/6,9/11,4/8,4/6,60,102
Joey Slye,17,24/28,25/30,1/1,8/8,4/5,8/10,4/6,58,99
Harrison Butker,13,38/41,18/24,0/0,7/7,4/5,4/5,3/7,62,92
Cairo Santos,16,27/32,21/23,0/0,4/4,7/7,6/7,4/5,51,90
Cameron Dicker,11,24/24,21/22,0/0,7/7,7/7,7/7,0/1,48,87
Matt Prater,13,17/18,22/25,0/0,1/1,10/10,6/8,5/6,57,83
Randy Bullock,15,28/28,17/20,0/0,5/5,5/5,6/8,1/2,51,79
Chris Boswell,12,18/18,20/28,0/0,4/4,4/5,5/10,7/9,59,78
Matthew Wright,6,15/15,15/18,0/0,1/1,6/7,6/8,2/2,59,60
Dustin Hopkins,5,12/12,9/10,0/0,2/2,6/6,1/2,0/0,43,39
Austin Seibert,3,12/12,3/5,0/0,0/0,1/1,2/3,0/1,48,21
Matt Ammendola,4,5/7,5/7,1/1,3/3,1/2,0/1,0/0,31,20
Rodrigo Blankenship,3,4/5,4/5,0/0,2/2,0/0,1/2,1/1,50,16
Taylor Bertolet,2,6/6,3/3,0/0,3/3,0/0,0/0,0/0,28,15
Caleb Shudak,1,1/1,3/4,0/0,1/1,2/3,0/0,0/0,38,10
Tristan Vizcaino,1,3/3,2/2,0/0,0/0,1/1,1/1,0/0,46,9
Nick Sciba,1,1/1,2/2,0/0,1/1,1/1,0/0,0/0,38,7
Dominik Eberle,1,2/4,1/1,0/0,0/0,0/0,1/1,0/0,49,5
Josh Lambo,1,3/4,0/0,0/0,0/0,0/0,0/0,0/0,0,3
Mitch Wishnowsky,17,1/2,0/0,0/0,0/0,0/0,0/0,0/0,0,1
Justin Reid,17,1/2,0/0,0/0,0/0,0/0,0/0,0/0,0,1
