Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Toni Fritsch,14,38/40,22/35,2/2,13/14,4/9,3/9,0/1,43,104
Jim Bakken,14,40/41,19/24,0/0,10/11,5/7,4/6,0/0,48,97
Jan Stenerud,14,30/31,22/32,1/1,7/8,8/9,5/10,1/4,51,96
Roy Gerela,14,44/46,17/21,4/4,7/7,5/7,1/2,0/1,42,95
Tom Dempsey,14,31/36,21/26,2/2,7/7,7/10,4/5,1/2,51,94
Jim Turner,14,23/26,21/28,1/1,7/9,7/9,4/6,2/3,53,86
Skip Butler,14,31/34,18/30,0/0,8/9,4/8,6/12,0/1,48,85
Fred Cox,14,46/48,13/17,0/0,3/3,6/6,3/7,1/1,52,85
Mark Moseley,14,37/39,16/25,0/0,1/3,9/10,6/9,0/3,48,85
George Blanda,14,44/48,13/21,2/2,7/8,4/6,0/5,0/0,37,83
Horst Muhlmann,14,21/24,20/29,1/1,8/11,3/3,7/13,1/1,51,81
Toni Linhart,14,51/52,10/18,2/2,0/3,7/10,1/3,0/0,42,81
Garo Yepremian,14,40/46,13/16,1/1,5/5,6/7,1/2,0/1,40,79
John Leypoldt,14,51/57,9/16,0/1,2/2,4/5,3/7,0/1,45,78
Don Cockroft,14,21/24,17/23,1/1,7/9,4/6,5/5,0/2,49,72
Dave Green,14,40/45,10/21,1/1,5/8,1/7,3/5,0/0,48,70
Steve Mike-Mayer,14,27/31,14/28,2/2,7/9,1/3,3/7,1/7,54,69
Errol Mann,14,25/29,14/21,1/1,6/6,4/9,3/5,0/0,47,67
Pat Leahy,14,27/30,13/21,0/0,3/3,3/5,7/12,0/1,47,66
John Smith,14,33/33,9/17,1/1,1/1,5/6,2/8,0/1,46,60
Bob Thomas,14,18/22,13/23,0/0,3/7,5/6,4/7,1/3,55,57
Ray Wersching,14,20/21,12/24,0/0,4/4,5/9,3/9,0/2,45,56
Joe Danelo,12,20/23,11/16,1/1,6/7,2/3,2/5,0/0,48,53
Richie Szaro,11,17/17,10/16,1/1,4/4,3/4,1/5,1/2,50,47
Nick Mike-Mayer,14,30/33,4/10,0/0,3/3,0/3,1/4,0/0,44,42
George Hunt,14,24/29,6/11,0/0,2/2,3/6,1/3,0/0,41,42
Bill McClard,3,1/1,1/5,0/0,0/1,0/2,1/2,0/0,42,4
Chester Marcol,1,0/0,1/1,0/0,1/1,0/0,0/0,0/0,21,3
Dave Pureifory,14,2/4,0/0,0/0,0/0,0/0,0/0,0/0,0,2
