Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Bob Waterfield,41/43,13/23,--,--,--,--,--,0,80
Lou Groza,43/43,10/23,--,--,--,--,--,0,73
Ray Poole,30/31,12/16,--,--,--,--,--,0,66
Doak Walker,43/44,6/12,--,--,--,--,--,0,61
Bill Dudley,21/22,10/13,--,--,--,--,--,0,51
Harvey Johnson,31/31,6/14,--,--,--,--,--,0,49
Gordie Soltau,30/32,6/18,--,--,--,--,--,0,48
Bobby Walston,28/31,6/11,--,--,--,--,--,0,46
Fred Cone,29/35,5/7,--,--,--,--,--,0,44
George Blanda,26/26,6/17,--,--,--,--,--,0,44
Joe Geri,21/22,7/14,--,--,--,--,--,0,42
Cliff Patton,19/19,5/8,--,--,--,--,--,0,34
Vinnie Yablonski,8/8,2/5,--,--,--,--,--,0,14
Johnny Lujack,10/11,0/0,--,--,--,--,--,0,10
Pat Harder,0/0,3/5,--,--,--,--,--,0,9
Tom Fears,6/7,0/0,--,--,--,--,--,0,6
Wilford White,1/1,1/2,--,--,--,--,--,0,4
Walt Michaels,0/0,0/1,--,--,--,--,--,0,0
Elroy Hirsch,0/1,0/0,--,--,--,--,--,0,0
Norb Hecker,0/0,0/1,--,--,--,--,--,0,0
