Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Bob Waterfield,37/37,6/9,--,--,--,--,--,0,55
Augie Lio,27/27,6/11,--,--,--,--,--,0,45
Ken Strong,32/32,4/9,--,--,--,--,--,0,44
Ward Cuff,28/30,5/12,--,--,--,--,--,0,43
Ted Fritsch,13/15,9/17,--,--,--,--,--,0,40
Dick Poillon,21/21,6/16,--,--,--,--,--,0,39
Frank Maznicki,25/26,4/9,--,--,--,--,--,0,37
Nick Scollard,21/24,0/1,--,--,--,--,--,0,21
Bill Dudley,12/14,2/7,--,--,--,--,--,0,18
Jack Helms,4/6,3/4,--,--,--,--,--,0,13
Joe Stydahar,12/13,0/2,--,--,--,--,--,0,12
Chuck DeShane,10/10,0/1,--,--,--,--,--,0,10
Roy Zimmerman,2/2,2/4,--,--,--,--,--,0,8
Pat Harder,5/5,0/0,--,--,--,--,--,0,5
Merl Condit,4/4,0/2,--,--,--,--,--,0,4
Damon Tassos,3/3,0/1,--,--,--,--,--,0,3
Roy McKay,2/2,0/0,--,--,--,--,--,0,2
Bob deLauer,0/0,0/2,--,--,--,--,--,0,0
Jim Peebles,0/0,0/2,--,--,--,--,--,0,0
Gary Famiglietti,0/0,0/1,--,--,--,--,--,0,0
Don Eliason,0/1,0/0,--,--,--,--,--,0,0
