Player Name,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Paige Cothren,42/42,14/25,--,--,--,--,--,0,84
Tom Miner,31/31,14/28,--,--,--,--,--,0,73
George Blanda,36/37,11/23,--,--,--,--,--,0,69
Sam Baker,25/25,13/26,--,--,--,--,--,0,64
Pat Summerall,28/30,12/23,--,--,--,--,--,0,64
Lou Groza,36/38,8/19,--,--,--,--,--,0,60
Steve Myhra,48/51,4/10,--,--,--,--,--,0,60
Paul Hornung,22/23,11/21,--,--,--,--,--,0,55
Gordie Soltau,29/34,8/21,--,--,--,--,--,0,53
Bobby Joe Conrad,33/35,6/17,--,--,--,--,--,0,51
Jim Martin,28/28,7/19,--,--,--,--,--,0,49
Bobby Walston,31/31,6/14,--,--,--,--,--,0,49
Gerry Perry,1/1,4/4,--,--,--,--,--,0,13
Bert Rechichar,0/0,1/4,--,--,--,--,--,0,3
Milt Plum,2/2,0/0,--,--,--,--,--,0,2
Bill George,1/1,0/0,--,--,--,--,--,0,1
Bobby Layne,1/3,0/0,--,--,--,--,--,0,1
George Shaw,0/1,0/0,--,--,--,--,--,0,0
