Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Chester Marcol,14,19/19,25/39,3/3,7/7,8/12,6/12,1/5,52,94
Roy Gerela,14,33/35,20/29,0/0,8/9,8/12,4/7,0/1,45,93
Errol Mann,14,23/26,23/32,0/0,6/8,13/15,4/8,0/1,42,92
John Smith,14,42/43,16/22,0/0,6/7,8/10,2/5,0/0,46,90
John Leypoldt,14,25/29,19/33,0/0,8/10,6/9,5/12,0/2,47,82
Mark Moseley,13,27/29,18/30,1/1,2/5,9/13,6/10,0/1,48,81
George Blanda,14,44/46,11/17,1/1,3/3,5/8,2/3,0/2,49,77
Jan Stenerud,14,24/26,17/24,1/1,7/7,5/8,3/4,1/4,50,75
Don Cockroft,14,29/30,14/16,1/1,7/7,3/3,3/4,0/1,46,71
Jim Bakken,14,30/36,13/22,0/0,2/3,5/9,6/10,0/0,47,69
Fred Cox,14,32/39,12/20,0/0,7/7,3/7,2/6,0/0,46,68
Jim Turner,14,35/38,11/21,0/1,3/4,6/7,2/8,0/1,43,68
Garo Yepremian,14,43/43,8/15,0/1,4/5,2/3,2/4,0/2,43,67
Horst Muhlmann,14,32/35,11/18,1/1,2/2,5/9,3/6,0/0,47,65
Bruce Gossett,14,25/27,11/24,2/2,5/7,2/3,2/12,0/0,46,58
Toni Linhart,14,22/22,12/20,0/0,8/8,2/5,2/6,0/1,45,58
Efren Herrera,11,33/33,8/13,1/1,5/5,2/4,0/2,0/1,39,57
Skip Butler,14,29/29,9/19,0/0,4/7,2/4,3/7,0/1,46,56
Tom Dempsey,14,26/30,10/16,1/1,1/2,4/6,4/6,0/1,48,56
David Ray,13,25/31,9/16,1/1,5/6,2/5,1/4,0/0,46,52
Pete Gogolak,14,21/23,10/19,0/0,2/3,6/8,2/8,0/0,42,51
Bill McClard,14,19/20,9/16,0/0,4/6,2/4,1/4,2/2,52,46
Mirro Roder,14,17/17,9/13,0/0,4/5,3/5,2/3,0/0,44,44
Nick Mike-Mayer,14,12/12,9/16,0/0,2/4,5/5,2/6,0/1,47,39
Pat Leahy,6,18/19,6/11,0/0,3/5,2/4,1/2,0/0,45,36
Dennis Partee,14,26/28,1/5,0/0,1/2,0/2,0/1,0/0,22,29
Bobby Howfield,7,8/12,6/7,0/1,1/1,3/3,2/2,0/0,43,26
Ray Wersching,14,0/0,5/11,0/0,1/1,1/3,3/4,0/3,42,15
Mike Bragg,14,7/8,1/1,0/0,1/1,0/0,0/0,0/0,25,10
Mac Percival,3,4/5,2/8,0/0,1/1,1/4,0/3,0/0,33,10
Mike Burke,8,1/3,0/0,0/0,0/0,0/0,0/0,0/0,0,1
Deacon Jones,14,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0,1
Greg Gantt,14,1/2,0/0,0/0,0/0,0/0,0/0,0/0,0,1
