Player Name,Games Played,Extra Points Kicks,Field Goals,0-19,20-29,30-39,40-49,50+,Long,Points
Nick Lowery,16,37/38,34/37,2/2,5/5,21/22,6/7,0/1,48,139
Chip Lohmiller,16,41/41,30/40,2/2,10/10,12/14,3/6,3/8,56,131
Kevin Butler,16,36/37,26/37,1/1,8/8,5/8,8/13,4/7,52,114
Mike Cofer,16,39/39,24/36,0/0,10/10,7/9,5/11,2/6,56,111
Scott Norwood,16,50/52,20/29,0/0,9/11,5/8,6/10,0/0,48,110
David Treadwell,16,34/36,25/34,0/0,13/14,4/6,8/13,0/1,49,109
Roger Ruzek,16,45/48,21/29,2/2,5/7,9/12,4/7,1/1,53,108
Greg Davis,16,40/40,22/33,0/0,6/6,8/9,6/13,2/5,53,106
Norm Johnson,16,33/34,23/32,2/2,7/7,8/14,5/6,1/3,51,102
Pat Leahy,16,32/32,23/26,2/2,12/12,6/7,3/5,0/0,47,101
Pete Stoyanovich,16,37/37,21/25,2/2,7/8,6/7,4/5,2/3,53,100
Chris Jacke,16,28/29,23/30,0/0,9/9,10/13,2/4,2/4,53,97
Steve Christie,16,27/27,23/27,0/0,7/7,10/13,4/5,2/2,54,96
Gary Anderson,16,32/32,20/25,1/1,3/3,8/8,8/11,0/2,48,92
Jim Breech,16,41/44,17/21,0/0,6/6,5/6,6/9,0/0,46,92
Morten Andersen,16,29/29,21/27,0/0,5/5,5/6,8/12,3/4,52,92
Mike Lansford,16,42/43,15/24,3/4,4/4,5/7,3/9,0/0,46,87
Jeff Jaeger,16,40/42,15/20,1/1,5/5,2/3,6/9,1/2,50,85
John Carney,12,27/28,19/21,2/2,8/8,6/7,3/3,0/1,43,84
Dean Biasucci,16,32/33,17/24,1/1,5/6,7/8,2/4,2/5,55,83
Al Del Greco,16,31/31,17/27,1/1,4/4,7/10,3/6,2/6,50,82
Ken Willis,16,26/26,18/25,0/0,4/4,7/9,7/8,0/4,49,80
Matt Bahr,13,29/30,17/23,2/2,7/7,3/3,5/9,0/2,49,80
Eddie Murray,11,34/34,13/19,0/0,6/6,4/6,3/5,0/2,47,73
Teddy Garcia,9,26/28,14/20,0/0,5/5,4/5,5/7,0/3,49,68
Jason Staurovsky,16,19/19,16/22,1/1,3/3,3/3,8/11,1/4,53,67
Jerry Kauric,14,24/27,14/20,0/0,5/5,5/8,4/7,0/0,47,66
Fuad Reveiz,13,26/27,13/19,1/1,5/6,3/4,4/8,0/0,45,65
Donald Igwebuike,8,19/19,14/16,0/0,5/5,6/6,3/5,0/0,48,61
Tony Zendejas,7,20/21,7/12,0/0,2/3,3/5,2/4,0/0,45,41
Rich Karlis,6,12/12,4/7,0/0,3/3,1/3,0/0,0/1,39,24
Raul Allegre,3,9/9,4/5,0/0,1/1,1/1,2/3,0/0,46,21
Lee Johnson,16,0/0,0/1,0/0,0/0,0/0,0/0,0/1,0,0
